,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
163,2,Kaiserslautern,13,2,0,2,1,0,1,4,17,D,15,2012-01-28,Augsburg,D1,8,5,3,15,D,4,Augsburg_Kaiserslautern_2011
164,1,Wolfsburg,15,2,0,0,0,0,0,2,20,H,8,2012-01-28,Bayern Munich,D1,0,7,4,9,D,4,Bayern Munich_Wolfsburg_2011
165,1,Hoffenheim,13,3,0,1,2,0,0,4,23,H,8,2012-01-28,Dortmund,D1,5,9,6,18,H,2,Dortmund_Hoffenheim_2011
166,1,Schalke 04,12,1,0,4,1,1,0,2,22,A,14,2012-01-28,FC Koln,D1,5,3,4,8,H,1,FC Koln_Schalke 04_2011
167,3,Hamburg,19,1,0,2,0,0,2,1,30,A,13,2012-01-28,Hertha,D1,5,3,6,18,A,7,Hertha_Hamburg_2011
168,3,Leverkusen,18,1,0,1,1,0,0,2,16,D,13,2012-01-28,Werder Bremen,D1,7,4,4,16,H,6,Werder Bremen_Leverkusen_2011
169,2,Freiburg,18,3,1,1,3,0,0,2,19,H,5,2012-01-29,Mainz,D1,1,10,4,18,H,3,Mainz_Freiburg_2011
170,0,M'gladbach,11,0,0,3,0,0,1,1,14,A,18,2012-01-29,Stuttgart,D1,8,5,6,14,A,1,Stuttgart_M'gladbach_2011
171,1,Dortmund,19,0,0,2,0,0,0,0,19,A,11,2012-02-03,Nurnberg,D1,6,3,7,12,D,1,Nurnberg_Dortmund_2011
172,2,Bayern Munich,18,1,0,1,1,0,0,2,16,D,22,2012-02-04,Hamburg,D1,8,1,5,13,H,10,Hamburg_Bayern Munich_2011
173,0,Hannover,16,0,0,1,0,1,0,2,24,A,9,2012-02-04,Hertha,D1,4,3,4,15,D,1,Hertha_Hannover_2011
174,4,Augsburg,21,2,0,2,1,0,1,2,16,D,11,2012-02-04,Hoffenheim,D1,5,4,3,13,D,7,Hoffenheim_Augsburg_2011
175,1,Stuttgart,19,2,1,2,1,1,1,6,29,D,14,2012-02-04,Leverkusen,D1,4,6,3,13,D,3,Leverkusen_Stuttgart_2011
176,2,Mainz,19,1,0,1,0,0,1,2,18,D,15,2012-02-04,Schalke 04,D1,2,2,13,10,A,2,Schalke 04_Mainz_2011
177,1,M'gladbach,16,0,0,0,0,0,0,1,8,D,5,2012-02-04,Wolfsburg,D1,0,2,8,11,D,3,Wolfsburg_M'gladbach_2011
178,2,Werder Bremen,20,2,0,2,1,0,1,2,19,D,8,2012-02-05,Freiburg,D1,2,6,7,18,D,1,Freiburg_Werder Bremen_2011
179,2,FC Koln,14,0,0,1,0,1,0,0,13,A,18,2012-02-05,Kaiserslautern,D1,4,3,3,6,D,9,Kaiserslautern_FC Koln_2011
180,2,Freiburg,24,3,0,2,2,0,2,1,11,H,8,2012-02-10,Wolfsburg,D1,2,8,5,15,D,3,Wolfsburg_Freiburg_2011
181,1,Kaiserslautern,12,2,0,0,2,0,0,2,25,H,5,2012-02-11,Bayern Munich,D1,1,10,6,18,H,1,Bayern Munich_Kaiserslautern_2011
182,0,Leverkusen,14,1,0,0,1,0,0,0,14,H,3,2012-02-11,Dortmund,D1,1,5,3,14,H,4,Dortmund_Leverkusen_2011
183,3,Hannover,16,1,0,1,1,0,0,3,12,D,15,2012-02-11,Mainz,D1,7,4,7,13,H,7,Mainz_Hannover_2011
184,1,Schalke 04,10,3,0,0,3,0,0,3,9,H,10,2012-02-11,M'gladbach,D1,1,4,2,10,H,1,M'gladbach_Schalke 04_2011
185,1,Hertha,18,5,1,0,4,0,0,1,14,H,4,2012-02-11,Stuttgart,D1,0,12,4,19,H,3,Stuttgart_Hertha_2011
186,3,Hoffenheim,24,1,0,1,0,0,1,4,28,D,11,2012-02-11,Werder Bremen,D1,6,4,9,14,A,5,Werder Bremen_Hoffenheim_2011
187,2,Nurnberg,23,0,0,0,0,0,0,4,23,D,12,2012-02-12,Augsburg,D1,4,1,6,9,D,3,Augsburg_Nurnberg_2011
188,3,Hamburg,18,0,0,1,0,0,0,1,17,A,19,2012-02-12,FC Koln,D1,4,2,5,10,D,6,FC Koln_Hamburg_2011
189,1,Mainz,20,1,0,1,1,0,1,1,15,D,7,2012-02-17,Hoffenheim,D1,3,2,6,16,D,4,Hoffenheim_Mainz_2011
190,2,Bayern Munich,21,0,0,0,0,0,0,1,19,D,9,2012-02-18,Freiburg,D1,2,2,6,13,D,10,Freiburg_Bayern Munich_2011
191,1,Werder Bremen,15,1,0,3,0,0,2,3,25,A,13,2012-02-18,Hamburg,D1,9,6,3,18,A,2,Hamburg_Werder Bremen_2011
192,0,Dortmund,16,0,0,1,0,0,0,0,19,A,14,2012-02-18,Hertha,D1,6,2,2,6,D,5,Hertha_Dortmund_2011
193,3,M'gladbach,18,1,0,2,0,0,2,1,18,A,8,2012-02-18,Kaiserslautern,D1,2,6,2,14,A,0,Kaiserslautern_M'gladbach_2011
194,0,Augsburg,9,4,0,1,1,0,0,4,21,H,6,2012-02-18,Leverkusen,D1,3,9,5,12,H,6,Leverkusen_Augsburg_2011
195,3,FC Koln,16,2,0,1,1,0,0,3,18,H,7,2012-02-18,Nurnberg,D1,5,3,6,19,H,3,Nurnberg_FC Koln_2011
196,0,Stuttgart,11,4,0,2,2,0,0,0,18,H,11,2012-02-19,Hannover,D1,6,6,10,21,H,5,Hannover_Stuttgart_2011
197,1,Wolfsburg,12,4,0,0,2,0,0,1,23,H,13,2012-02-19,Schalke 04,D1,6,9,6,13,H,4,Schalke 04_Wolfsburg_2011
198,1,Hamburg,15,1,0,1,1,0,0,3,18,D,11,2012-02-24,M'gladbach,D1,5,5,3,9,H,6,M'gladbach_Hamburg_2011
199,0,Hertha,21,3,0,0,0,0,0,4,23,H,7,2012-02-25,Augsburg,D1,1,5,4,11,D,8,Augsburg_Hertha_2011
200,1,Leverkusen,14,0,0,2,0,0,1,0,15,A,22,2012-02-25,FC Koln,D1,7,4,2,11,A,7,FC Koln_Leverkusen_2011
201,1,Kaiserslautern,11,4,0,0,3,0,0,3,17,H,6,2012-02-25,Mainz,D1,2,8,6,11,H,4,Mainz_Kaiserslautern_2011
202,0,Freiburg,11,4,0,1,2,0,1,0,13,H,10,2012-02-25,Stuttgart,D1,3,8,5,17,H,7,Stuttgart_Freiburg_2011
203,3,Nurnberg,15,0,0,1,0,0,0,3,20,A,11,2012-02-25,Werder Bremen,D1,5,5,3,20,D,6,Werder Bremen_Nurnberg_2011
204,2,Hoffenheim,24,1,0,2,0,0,1,1,19,A,14,2012-02-25,Wolfsburg,D1,7,5,6,13,A,1,Wolfsburg_Hoffenheim_2011
205,1,Schalke 04,9,2,0,0,1,0,0,2,14,H,12,2012-02-26,Bayern Munich,D1,4,7,10,23,H,3,Bayern Munich_Schalke 04_2011
206,3,Hannover,13,3,0,1,1,0,0,4,14,H,7,2012-02-26,Dortmund,D1,2,6,4,21,H,2,Dortmund_Hannover_2011
207,0,Mainz,11,2,0,1,1,0,0,0,15,H,5,2012-03-03,Dortmund,D1,3,5,5,18,H,2,Dortmund_Mainz_2011
208,2,Schalke 04,16,2,1,1,1,0,0,1,20,H,15,2012-03-03,Freiburg,D1,4,2,6,11,H,4,Freiburg_Schalke 04_2011
209,1,Stuttgart,14,0,0,4,0,1,2,3,26,A,15,2012-03-03,Hamburg,D1,8,3,1,9,A,4,Hamburg_Stuttgart_2011
210,1,Augsburg,16,2,0,2,1,1,1,3,29,D,15,2012-03-03,Hannover,D1,7,3,1,12,D,4,Hannover_Augsburg_2011
211,2,Werder Bremen,13,1,0,0,0,0,0,1,19,H,17,2012-03-03,Hertha,D1,3,2,0,5,D,7,Hertha_Werder Bremen_2011
212,2,Wolfsburg,12,0,0,0,0,0,0,1,22,D,15,2012-03-03,Kaiserslautern,D1,6,5,6,12,D,9,Kaiserslautern_Wolfsburg_2011
213,2,Bayern Munich,17,2,0,0,0,0,0,3,15,H,15,2012-03-03,Leverkusen,D1,5,8,3,15,D,8,Leverkusen_Bayern Munich_2011
214,3,FC Koln,21,1,0,1,1,0,0,2,18,D,9,2012-03-04,Hoffenheim,D1,3,7,7,23,H,2,Hoffenheim_FC Koln_2011
215,1,M'gladbach,13,1,0,0,0,0,0,1,11,H,8,2012-03-04,Nurnberg,D1,4,4,5,16,D,0,Nurnberg_M'gladbach_2011
216,0,Kaiserslautern,11,0,0,0,0,0,0,0,22,D,7,2012-03-09,Stuttgart,D1,1,9,8,22,D,3,Stuttgart_Kaiserslautern_2011
217,2,Dortmund,16,0,0,0,0,0,0,2,16,D,14,2012-03-10,Augsburg,D1,3,2,2,4,D,5,Augsburg_Dortmund_2011
218,0,Hoffenheim,11,7,0,1,5,0,0,1,16,H,4,2012-03-10,Bayern Munich,D1,0,10,13,19,H,4,Bayern Munich_Hoffenheim_2011
219,2,Hertha,13,1,1,0,1,2,0,3,22,H,14,2012-03-10,FC Koln,D1,7,5,5,16,H,5,FC Koln_Hertha_2011
220,0,Nurnberg,18,2,0,1,2,1,0,5,19,H,15,2012-03-10,Mainz,D1,2,3,4,13,H,5,Mainz_Nurnberg_2011
221,2,Freiburg,8,0,0,0,0,0,0,1,9,D,6,2012-03-10,M'gladbach,D1,3,3,3,13,D,4,M'gladbach_Freiburg_2011
222,5,Leverkusen,25,3,0,2,2,0,1,1,16,H,7,2012-03-10,Wolfsburg,D1,4,6,4,11,H,3,Wolfsburg_Leverkusen_2011
223,3,Hamburg,20,3,0,1,3,0,1,4,16,H,20,2012-03-11,Schalke 04,D1,5,7,4,11,H,7,Schalke 04_Hamburg_2011
224,0,Hannover,16,3,0,0,1,0,0,4,29,H,14,2012-03-11,Werder Bremen,D1,4,7,2,10,H,3,Werder Bremen_Hannover_2011
225,1,Stuttgart,19,1,0,2,0,0,2,2,19,A,12,2012-03-16,Hoffenheim,D1,8,5,3,18,A,6,Hoffenheim_Stuttgart_2011
226,2,Mainz,12,2,0,1,1,0,1,2,21,H,10,2012-03-17,Augsburg,D1,3,5,6,10,D,2,Augsburg_Mainz_2011
227,1,Werder Bremen,11,1,0,0,1,0,0,3,17,H,4,2012-03-17,Dortmund,D1,2,5,9,18,H,4,Dortmund_Werder Bremen_2011
228,0,Freiburg,16,1,0,3,0,0,2,3,25,A,12,2012-03-17,Hamburg,D1,5,6,4,15,A,5,Hamburg_Freiburg_2011
229,3,Bayern Munich,15,0,0,6,0,0,3,1,9,A,15,2012-03-17,Hertha,D1,7,2,2,7,A,4,Hertha_Bayern Munich_2011
230,2,M'gladbach,16,1,0,2,0,0,1,2,16,A,11,2012-03-17,Leverkusen,D1,7,5,4,22,A,1,Leverkusen_M'gladbach_2011
231,0,Wolfsburg,16,1,0,3,1,0,2,1,16,A,10,2012-03-17,Nurnberg,D1,4,1,2,5,A,5,Nurnberg_Wolfsburg_2011
232,0,FC Koln,12,4,0,1,1,0,1,1,17,H,14,2012-03-18,Hannover,D1,7,10,8,18,D,7,Hannover_FC Koln_2011
233,0,Schalke 04,13,1,0,4,1,0,2,0,15,A,19,2012-03-18,Kaiserslautern,D1,5,3,3,10,A,5,Kaiserslautern_Schalke 04_2011
234,4,Hamburg,25,2,0,1,0,0,0,2,16,H,6,2012-03-23,Wolfsburg,D1,1,4,10,15,D,3,Wolfsburg_Hamburg_2011
235,1,Hannover,16,2,0,1,1,0,0,2,15,H,8,2012-03-24,Bayern Munich,D1,2,6,6,12,H,1,Bayern Munich_Hannover_2011
236,2,Kaiserslautern,24,2,0,0,2,0,0,1,17,H,4,2012-03-24,Freiburg,D1,4,3,4,10,H,2,Freiburg_Kaiserslautern_2011
237,1,Hertha,13,1,0,3,0,0,1,1,8,A,13,2012-03-24,Mainz,D1,6,4,12,15,A,8,Mainz_Hertha_2011
238,3,Hoffenheim,15,1,0,2,1,0,0,3,19,A,13,2012-03-24,M'gladbach,D1,3,3,3,12,H,3,M'gladbach_Hoffenheim_2011
