,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,HC,HS,HTR,AC,idGame
0,0,Schalke 04,22,1,0,0,0,0,0,1,19,H,8,2004-08-06,Werder Bremen,D1,5,9,D,2,Werder Bremen_Schalke 04_2004
1,0,Wolfsburg,9,1,0,2,1,0,1,3,20,A,9,2004-08-07,Dortmund,D1,7,24,D,3,Dortmund_Wolfsburg_2004
2,1,Hansa Rostock,16,0,0,0,0,0,0,2,24,D,7,2004-08-07,Freiburg,D1,5,13,D,5,Freiburg_Hansa Rostock_2004
3,3,Bayern Munich,18,0,0,2,0,0,1,1,24,A,12,2004-08-07,Hamburg,D1,5,13,A,3,Hamburg_Bayern Munich_2004
4,1,Bochum,18,2,0,2,2,0,0,2,14,D,12,2004-08-07,Hertha,D1,2,21,H,1,Hertha_Bochum_2004
5,3,Nurnberg,24,1,0,3,0,0,1,2,21,A,24,2004-08-07,Kaiserslautern,D1,10,14,A,8,Kaiserslautern_Nurnberg_2004
6,2,Hannover,21,2,0,1,0,0,1,3,20,H,14,2004-08-07,Leverkusen,D1,2,11,A,2,Leverkusen_Hannover_2004
7,0,M'gladbach,15,0,1,0,0,0,0,2,17,D,6,2004-08-08,Bielefeld,D1,8,14,D,3,Bielefeld_M'gladbach_2004
8,1,Mainz,17,4,0,2,2,0,0,2,13,H,7,2004-08-08,Stuttgart,D1,3,11,H,4,Stuttgart_Mainz_2004
9,4,Hertha,16,1,0,1,0,1,1,5,27,D,9,2004-08-14,Bayern Munich,D1,6,19,A,2,Bayern Munich_Hertha_2004
10,1,Werder Bremen,18,0,0,4,0,0,0,2,23,A,14,2004-08-14,Hansa Rostock,D1,6,11,D,4,Hansa Rostock_Werder Bremen_2004
11,1,Hamburg,16,2,0,1,0,0,1,3,30,H,8,2004-08-14,Mainz,D1,1,14,A,9,Mainz_Hamburg_2004
12,4,Dortmund,17,2,0,3,2,0,3,1,24,A,12,2004-08-14,M'gladbach,D1,5,18,A,4,M'gladbach_Dortmund_2004
13,2,Stuttgart,19,1,1,1,1,0,1,4,16,D,5,2004-08-14,Nurnberg,D1,2,16,D,3,Nurnberg_Stuttgart_2004
14,1,Kaiserslautern,10,2,1,1,1,0,1,2,16,H,5,2004-08-14,Schalke 04,D1,11,21,D,2,Schalke 04_Kaiserslautern_2004
15,3,Leverkusen,25,2,0,2,1,0,0,1,27,D,18,2004-08-15,Bochum,D1,7,13,H,5,Bochum_Leverkusen_2004
16,1,Freiburg,25,0,0,1,0,0,0,1,13,A,7,2004-08-15,Wolfsburg,D1,10,14,D,2,Wolfsburg_Freiburg_2004
17,1,Bochum,18,1,1,2,0,0,1,4,22,A,8,2004-08-28,Bielefeld,D1,13,21,A,2,Bielefeld_Bochum_2004
18,0,M'gladbach,15,1,0,1,1,0,0,3,11,D,13,2004-08-28,Freiburg,D1,3,10,H,3,Freiburg_M'gladbach_2004
19,1,Nurnberg,20,4,0,3,2,0,1,3,22,H,15,2004-08-28,Hamburg,D1,6,14,H,5,Hamburg_Nurnberg_2004
20,1,Mainz,20,1,0,1,0,0,0,1,24,D,8,2004-08-28,Hertha,D1,3,13,D,4,Hertha_Mainz_2004
21,3,Stuttgart,26,2,0,3,2,0,1,0,13,A,18,2004-08-28,Kaiserslautern,D1,2,10,H,5,Kaiserslautern_Stuttgart_2004
22,2,Bayern Munich,15,4,0,1,1,0,0,1,21,H,16,2004-08-28,Leverkusen,D1,7,17,H,3,Leverkusen_Bayern Munich_2004
23,2,Hansa Rostock,18,0,0,2,0,1,1,2,19,A,9,2004-08-28,Schalke 04,D1,6,19,A,4,Schalke 04_Hansa Rostock_2004
24,3,Hannover,11,1,0,1,1,0,0,1,16,D,11,2004-08-29,Dortmund,D1,0,11,H,7,Dortmund_Hannover_2004
25,2,Wolfsburg,21,1,0,2,0,0,0,1,23,A,7,2004-08-29,Werder Bremen,D1,7,26,D,0,Werder Bremen_Wolfsburg_2004
26,1,Bielefeld,15,1,0,0,1,0,0,1,19,H,5,2004-09-11,Bayern Munich,D1,3,14,H,3,Bayern Munich_Bielefeld_2004
27,1,Dortmund,18,2,0,2,1,0,0,4,24,D,15,2004-09-11,Bochum,D1,3,11,H,7,Bochum_Dortmund_2004
28,0,Leverkusen,10,2,0,0,0,0,0,1,18,H,6,2004-09-11,Mainz,D1,2,11,D,4,Mainz_Leverkusen_2004
29,3,Werder Bremen,24,3,0,1,1,0,0,2,18,H,16,2004-09-11,M'gladbach,D1,3,13,H,5,M'gladbach_Werder Bremen_2004
30,0,Hertha,25,0,0,0,0,0,0,2,14,D,12,2004-09-11,Nurnberg,D1,7,21,D,5,Nurnberg_Hertha_2004
31,1,Hamburg,20,2,0,0,1,0,0,3,20,H,14,2004-09-11,Stuttgart,D1,4,11,H,5,Stuttgart_Hamburg_2004
32,3,Schalke 04,20,3,0,0,2,0,0,5,20,H,18,2004-09-11,Wolfsburg,D1,6,20,H,4,Wolfsburg_Schalke 04_2004
33,1,Freiburg,22,2,0,2,2,0,0,1,14,D,13,2004-09-12,Hannover,D1,5,8,H,7,Hannover_Freiburg_2004
34,2,Kaiserslautern,19,2,0,3,0,0,2,2,20,A,18,2004-09-12,Hansa Rostock,D1,8,20,A,2,Hansa Rostock_Kaiserslautern_2004
35,2,Mainz,17,1,1,1,0,0,0,4,20,D,18,2004-09-18,Bielefeld,D1,4,15,D,3,Bielefeld_Mainz_2004
36,3,Bayern Munich,15,2,0,2,1,0,0,2,13,D,18,2004-09-18,Dortmund,D1,1,8,H,7,Dortmund_Bayern Munich_2004
37,5,Wolfsburg,19,1,0,2,1,1,1,3,18,A,14,2004-09-18,Hansa Rostock,D1,7,12,D,6,Hansa Rostock_Wolfsburg_2004
38,3,Hamburg,25,2,0,1,1,0,0,5,28,H,16,2004-09-18,Kaiserslautern,D1,4,14,H,5,Kaiserslautern_Hamburg_2004
39,2,Nurnberg,13,2,0,2,0,0,1,3,28,D,15,2004-09-18,Leverkusen,D1,4,13,A,4,Leverkusen_Nurnberg_2004
40,2,M'gladbach,21,3,0,2,1,0,1,1,14,H,11,2004-09-18,Schalke 04,D1,11,19,D,4,Schalke 04_M'gladbach_2004
41,2,Hannover,19,3,1,0,1,0,0,1,13,H,7,2004-09-18,Werder Bremen,D1,4,20,H,3,Werder Bremen_Hannover_2004
42,3,Bochum,10,1,0,1,0,0,0,1,15,D,8,2004-09-19,Freiburg,D1,5,12,D,4,Freiburg_Bochum_2004
43,3,Stuttgart,13,0,0,0,0,1,0,2,24,D,12,2004-09-19,Hertha,D1,4,11,D,3,Hertha_Stuttgart_2004
44,3,Freiburg,19,3,0,1,2,0,1,2,18,H,14,2004-09-25,Bayern Munich,D1,11,15,H,4,Bayern Munich_Freiburg_2004
45,2,Werder Bremen,17,1,0,4,0,0,0,2,18,A,22,2004-09-25,Bochum,D1,3,9,D,3,Bochum_Werder Bremen_2004
46,1,Schalke 04,18,1,0,0,0,0,0,0,19,H,13,2004-09-25,Hannover,D1,4,15,D,8,Hannover_Schalke 04_2004
