,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,HC,HS,HTR,AC,idGame
0,4,M'gladbach,15,3,0,0,1,1,0,2,18,H,10,2005-08-05,Bayern Munich,D1,5,19,H,9,Bayern Munich_M'gladbach_2005
1,5,Stuttgart,19,1,1,1,1,0,1,3,19,D,11,2005-08-06,Duisburg,D1,5,11,D,4,Duisburg_Stuttgart_2005
2,2,Mainz,31,1,0,0,0,0,0,3,38,H,19,2005-08-06,FC Koln,D1,5,14,D,2,FC Koln_Mainz_2005
3,2,Nurnberg,14,3,0,0,2,0,0,2,15,H,17,2005-08-06,Hamburg,D1,2,12,H,4,Hamburg_Nurnberg_2005
4,2,Hertha,15,2,0,2,0,0,0,0,12,D,15,2005-08-06,Hannover,D1,2,12,D,8,Hannover_Hertha_2005
5,0,Bielefeld,14,5,0,2,3,0,2,1,14,H,10,2005-08-06,Werder Bremen,D1,5,17,H,2,Werder Bremen_Bielefeld_2005
6,2,Dortmund,18,2,0,2,1,0,0,1,11,D,16,2005-08-06,Wolfsburg,D1,5,12,H,6,Wolfsburg_Dortmund_2005
7,1,Leverkusen,21,1,0,4,1,0,1,0,23,A,13,2005-08-07,Ein Frankfurt,D1,7,17,D,3,Ein Frankfurt_Leverkusen_2005
8,1,Kaiserslautern,17,2,0,1,0,0,1,1,24,H,7,2005-08-07,Schalke 04,D1,12,24,A,4,Schalke 04_Kaiserslautern_2005
9,3,Hamburg,22,0,0,2,0,0,0,3,20,A,13,2005-08-13,Bielefeld,D1,2,14,D,3,Bielefeld_Hamburg_2005
10,0,Schalke 04,22,1,0,2,1,0,1,3,22,A,15,2005-08-13,Dortmund,D1,2,10,D,3,Dortmund_Schalke 04_2005
11,3,Ein Frankfurt,19,2,0,0,0,0,0,2,23,H,12,2005-08-13,Hertha,D1,9,13,D,2,Hertha_Ein Frankfurt_2005
12,3,Duisburg,21,5,0,3,2,0,1,3,15,H,11,2005-08-13,Kaiserslautern,D1,4,28,H,3,Kaiserslautern_Duisburg_2005
13,1,Bayern Munich,13,2,0,5,1,0,3,0,12,A,13,2005-08-13,Leverkusen,D1,7,15,A,1,Leverkusen_Bayern Munich_2005
14,1,Wolfsburg,16,1,1,1,0,0,1,3,23,D,8,2005-08-13,M'gladbach,D1,20,16,A,1,M'gladbach_Wolfsburg_2005
15,0,Hannover,8,1,0,1,0,0,1,3,18,D,13,2005-08-13,Nurnberg,D1,4,23,A,6,Nurnberg_Hannover_2005
16,2,Werder Bremen,13,0,0,2,0,0,1,4,26,A,11,2005-08-14,Mainz,D1,5,15,A,12,Mainz_Werder Bremen_2005
17,3,FC Koln,21,2,1,3,0,0,1,6,20,A,14,2005-08-14,Stuttgart,D1,10,19,A,3,Stuttgart_FC Koln_2005
18,0,Hertha,15,3,0,0,0,0,0,5,27,H,7,2005-08-27,Bayern Munich,D1,5,18,D,3,Bayern Munich_Hertha_2005
19,2,Nurnberg,19,1,0,0,0,0,0,2,18,H,11,2005-08-27,Ein Frankfurt,D1,13,11,D,4,Ein Frankfurt_Nurnberg_2005
20,3,Kaiserslautern,12,2,0,3,0,0,1,3,21,A,16,2005-08-27,FC Koln,D1,11,17,A,5,FC Koln_Kaiserslautern_2005
21,1,Hannover,20,1,0,1,1,0,1,4,16,D,10,2005-08-27,Hamburg,D1,9,18,D,4,Hamburg_Hannover_2005
22,1,M'gladbach,16,1,0,1,0,0,1,3,21,D,6,2005-08-27,Schalke 04,D1,6,23,A,1,Schalke 04_M'gladbach_2005
23,2,Stuttgart,21,1,0,1,1,0,0,2,20,D,11,2005-08-27,Werder Bremen,D1,6,23,H,4,Werder Bremen_Stuttgart_2005
24,4,Leverkusen,15,2,2,1,1,0,1,1,16,H,13,2005-08-27,Wolfsburg,D1,10,11,D,5,Wolfsburg_Leverkusen_2005
25,2,Mainz,28,2,0,0,2,0,0,3,23,H,18,2005-08-28,Bielefeld,D1,3,6,H,6,Bielefeld_Mainz_2005
26,1,Dortmund,18,1,0,1,0,0,0,3,10,D,19,2005-08-28,Duisburg,D1,5,14,D,4,Duisburg_Dortmund_2005
27,2,Ein Frankfurt,17,2,0,0,1,0,0,1,15,H,16,2005-09-10,Hannover,D1,1,13,H,6,Hannover_Ein Frankfurt_2005
28,1,Werder Bremen,16,1,0,5,0,0,3,3,15,A,18,2005-09-10,Kaiserslautern,D1,2,12,A,6,Kaiserslautern_Werder Bremen_2005
