,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Wolfsburg,6,2,0,1,1,0,0,3,25,H,11,2010-08-20,Bayern Munich,D1,5,5,9,17,H,3,Bayern Munich_Wolfsburg_2010
1,1,Kaiserslautern,10,1,0,3,1,1,0,2,25,A,17,2010-08-21,FC Koln,D1,6,4,5,10,H,6,FC Koln_Kaiserslautern_2010
2,0,St Pauli,12,1,0,3,0,0,0,0,13,A,17,2010-08-21,Freiburg,D1,7,3,3,9,D,6,Freiburg_St Pauli_2010
3,2,Schalke 04,11,2,1,1,0,0,0,0,17,H,13,2010-08-21,Hamburg,D1,4,6,7,18,D,4,Hamburg_Schalke 04_2010
4,0,Ein Frankfurt,9,2,0,1,1,0,1,1,14,H,17,2010-08-21,Hannover,D1,3,7,2,13,D,6,Hannover_Ein Frankfurt_2010
5,1,Werder Bremen,24,4,0,1,4,0,1,2,16,H,10,2010-08-21,Hoffenheim,D1,2,7,5,10,H,5,Hoffenheim_Werder Bremen_2010
6,1,Nurnberg,15,1,0,1,1,0,1,1,18,D,10,2010-08-21,M'gladbach,D1,5,5,6,12,D,5,M'gladbach_Nurnberg_2010
7,0,Leverkusen,20,0,0,2,0,0,2,0,13,A,15,2010-08-22,Dortmund,D1,4,6,8,14,A,1,Dortmund_Leverkusen_2010
8,4,Stuttgart,16,2,0,0,1,0,0,1,13,H,14,2010-08-22,Mainz,D1,5,6,5,17,H,4,Mainz_Stuttgart_2010
9,0,Bayern Munich,24,2,0,0,2,1,0,1,13,H,20,2010-08-27,Kaiserslautern,D1,3,2,7,11,H,7,Kaiserslautern_Bayern Munich_2010
10,2,Hamburg,12,1,0,3,1,0,0,1,12,A,14,2010-08-28,Ein Frankfurt,D1,4,7,4,12,H,6,Ein Frankfurt_Hamburg_2010
11,2,Freiburg,12,1,0,2,1,0,1,1,28,A,5,2010-08-28,Nurnberg,D1,3,4,4,17,D,2,Nurnberg_Freiburg_2010
12,2,Hannover,10,1,0,2,0,0,1,2,22,A,11,2010-08-28,Schalke 04,D1,4,5,15,15,A,1,Schalke 04_Hannover_2010
13,2,Hoffenheim,16,0,0,1,0,0,0,0,16,A,8,2010-08-28,St Pauli,D1,3,4,5,12,D,9,St Pauli_Hoffenheim_2010
14,1,FC Koln,14,4,0,2,2,0,1,2,18,H,11,2010-08-28,Werder Bremen,D1,5,9,6,17,H,7,Werder Bremen_FC Koln_2010
15,3,Mainz,11,3,0,4,3,0,1,3,19,A,13,2010-08-28,Wolfsburg,D1,4,4,5,8,H,5,Wolfsburg_Mainz_2010
16,1,M'gladbach,12,3,0,6,1,0,3,1,11,A,16,2010-08-29,Leverkusen,D1,10,6,4,12,A,8,Leverkusen_M'gladbach_2010
17,0,Dortmund,16,1,0,3,0,0,3,2,18,A,16,2010-08-29,Stuttgart,D1,9,5,7,11,A,3,Stuttgart_Dortmund_2010
18,1,Schalke 04,18,2,0,0,1,0,0,1,16,H,14,2010-09-10,Hoffenheim,D1,5,8,3,23,H,6,Hoffenheim_Schalke 04_2010
19,0,Werder Bremen,14,0,0,0,0,0,0,0,13,D,13,2010-09-11,Bayern Munich,D1,3,7,11,14,D,4,Bayern Munich_Werder Bremen_2010
20,2,Wolfsburg,18,2,0,0,0,0,0,3,23,H,6,2010-09-11,Dortmund,D1,1,10,4,20,D,0,Dortmund_Wolfsburg_2010
21,1,Stuttgart,20,2,0,1,0,0,1,1,17,H,18,2010-09-11,Freiburg,D1,8,5,6,19,A,7,Freiburg_Stuttgart_2010
22,3,Nurnberg,12,1,0,1,0,0,0,3,18,D,10,2010-09-11,Hamburg,D1,3,2,4,7,D,2,Hamburg_Nurnberg_2010
23,2,Leverkusen,18,2,0,2,1,1,0,4,14,D,12,2010-09-11,Hannover,D1,4,3,6,9,H,5,Hannover_Leverkusen_2010
24,3,Ein Frankfurt,18,0,0,4,0,0,2,2,12,A,11,2010-09-11,M'gladbach,D1,6,5,9,16,A,6,M'gladbach_Ein Frankfurt_2010
25,3,St Pauli,19,1,0,0,1,0,0,3,15,H,11,2010-09-12,FC Koln,D1,1,6,6,15,H,10,FC Koln_St Pauli_2010
26,1,Kaiserslautern,12,2,0,1,0,0,1,5,25,H,10,2010-09-12,Mainz,D1,4,5,2,16,A,7,Mainz_Kaiserslautern_2010
27,1,Freiburg,13,0,0,1,0,0,0,2,17,A,17,2010-09-17,Ein Frankfurt,D1,5,3,4,10,D,4,Ein Frankfurt_Freiburg_2010
28,0,FC Koln,10,0,0,0,0,0,0,1,20,D,8,2010-09-18,Bayern Munich,D1,2,4,10,21,D,1,Bayern Munich_FC Koln_2010
29,1,Hoffenheim,17,2,0,2,0,0,1,0,16,D,6,2010-09-18,Kaiserslautern,D1,4,5,9,16,A,3,Kaiserslautern_Hoffenheim_2010
30,0,M'gladbach,10,7,0,0,2,0,0,2,15,H,7,2010-09-18,Stuttgart,D1,2,12,8,24,H,4,Stuttgart_M'gladbach_2010
31,1,Mainz,11,0,0,2,0,0,0,1,10,A,11,2010-09-18,Werder Bremen,D1,7,4,5,12,D,6,Werder Bremen_Mainz_2010
32,2,Hannover,13,2,0,0,0,0,0,2,17,H,9,2010-09-18,Wolfsburg,D1,1,6,3,12,D,5,Wolfsburg_Hannover_2010
33,1,Nurnberg,10,0,0,0,0,0,0,2,16,D,7,2010-09-19,Leverkusen,D1,2,3,3,10,D,2,Leverkusen_Nurnberg_2010
34,0,Dortmund,16,1,0,3,0,1,1,3,15,A,23,2010-09-19,Schalke 04,D1,11,1,4,8,A,10,Schalke 04_Dortmund_2010
35,2,Hamburg,19,1,0,1,0,0,0,2,15,D,10,2010-09-19,St Pauli,D1,2,3,6,7,D,5,St Pauli_Hamburg_2010
36,2,Werder Bremen,21,4,0,1,1,0,1,3,18,H,12,2010-09-21,Hannover,D1,2,8,5,14,D,2,Hannover_Werder Bremen_2010
37,1,Bayern Munich,12,1,0,2,1,0,0,2,15,A,12,2010-09-21,Hoffenheim,D1,6,3,3,11,H,8,Hoffenheim_Bayern Munich_2010
38,3,FC Koln,17,2,0,0,0,0,0,3,21,H,8,2010-09-21,Mainz,D1,2,7,9,20,D,1,Mainz_FC Koln_2010
39,1,Kaiserslautern,8,5,0,0,2,0,0,4,16,H,9,2010-09-22,Dortmund,D1,3,11,1,21,H,4,Dortmund_Kaiserslautern_2010
40,3,Schalke 04,16,1,0,2,0,1,1,3,12,A,7,2010-09-22,Freiburg,D1,6,1,7,8,A,2,Freiburg_Schalke 04_2010
41,0,Wolfsburg,10,1,0,3,1,0,1,0,15,A,8,2010-09-22,Hamburg,D1,4,7,15,19,D,1,Hamburg_Wolfsburg_2010
42,2,Ein Frankfurt,9,2,1,1,1,0,1,1,18,H,7,2010-09-22,Leverkusen,D1,3,4,4,13,D,7,Leverkusen_Ein Frankfurt_2010
