,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
197,3.2,2.1,3.2,-0.5,2.0,3.4,3.3,-0.5,3.2,3.25,2.0,3.4,3.25,2.0,2.1,1.84,2.0,3.5,2.0,1.95,1.7,3.1,1.66,2.1,3.3,2.05,1.85,1.75,-0.5,1.95,3.0,3.2,3.25,2.1,Stuttgart,Hertha,Stuttgart_Hertha_2004
198,3.3,1.9,3.4,-0.5,2.0,3.4,3.3,-0.5,3.6,3.5,1.91,3.55,3.25,1.9,2.0,1.78,1.83,3.5,2.06,1.95,1.8,3.5,1.7,2.05,3.25,2.1,1.8,1.65,-0.5,2.05,3.1,3.25,3.25,2.05,Bielefeld,Nurnberg,Bielefeld_Nurnberg_2004
199,3.6,1.55,6.5,-1.0,1.5,6.0,4.1,-1.0,5.5,6.0,1.44,6.75,3.5,1.5,2.0,1.82,1.5,5.2,2.02,1.5,1.8,4.8,1.83,1.55,3.75,2.075,1.825,1.71,-1.0,2.0,3.5,3.6,3.5,1.98,Dortmund,Mainz,Dortmund_Mainz_2004
200,3.5,5.0,1.5,1.0,6.0,1.53,3.9,1.0,1.53,1.5,6.0,1.53,3.5,6.0,2.05,1.8,5.5,1.5,2.04,5.6,1.75,1.5,1.9,6.75,3.6,1.975,1.925,1.6,1.0,2.15,3.7,3.4,3.6,1.9,Freiburg,Bayern Munich,Freiburg_Bayern Munich_2004
201,3.25,2.4,2.6,0.0,2.5,2.6,3.3,0.0,2.5,2.5,2.38,2.7,3.2,2.5,2.0,1.96,2.4,2.6,1.88,2.4,1.8,2.6,1.9,2.5,3.2,1.95,1.95,1.65,0.0,2.05,3.0,3.2,3.25,1.9,Hansa Rostock,M'gladbach,Hansa Rostock_M'gladbach_2004
202,3.2,1.9,3.4,-0.5,1.91,3.75,3.35,-0.5,3.1,3.5,1.91,3.6,3.25,1.9,2.05,1.9,2.05,3.6,1.94,1.9,1.75,3.5,1.71,2.0,3.25,1.95,1.95,1.65,-0.5,2.05,3.1,3.25,3.25,2.0,Hertha,Hamburg,Hertha_Hamburg_2004
203,3.4,1.9,3.6,-0.5,1.91,3.75,3.35,-0.5,3.5,3.25,1.83,3.6,3.25,2.0,2.2,1.74,1.83,3.6,2.1,1.9,1.65,3.5,2.0,2.0,3.25,2.075,1.825,1.6,-0.25,2.15,3.1,3.25,3.25,1.72,Kaiserslautern,Wolfsburg,Kaiserslautern_Wolfsburg_2004
204,3.75,1.4,7.0,-1.25,1.4,7.5,4.2,-1.25,7.0,7.5,1.4,7.25,3.75,1.4,2.3,1.88,1.4,6.6,1.96,1.4,1.6,6.0,1.9,1.41,4.0,1.95,1.95,1.5,-1.25,2.35,3.9,3.75,4.25,1.9,Werder Bremen,Bochum,Werder Bremen_Bochum_2004
205,3.3,1.9,3.4,-0.5,1.95,3.5,3.4,-0.5,3.6,3.5,1.91,3.85,3.25,1.9,2.1,1.92,1.83,3.75,1.92,1.85,1.7,3.5,1.76,1.95,3.3,1.95,1.95,1.55,-0.5,2.25,3.1,3.25,3.25,1.95,Leverkusen,Stuttgart,Leverkusen_Stuttgart_2004
206,3.6,1.45,6.5,-1.0,1.44,7.0,4.1,-1.0,6.5,6.5,1.44,7.2,3.75,1.44,2.05,2.06,1.44,6.0,1.78,1.45,1.75,5.4,2.02,1.47,3.75,1.8,2.1,1.6,-1.0,2.15,3.8,3.6,3.85,1.78,Schalke 04,Hannover,Schalke 04_Hannover_2004
