,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,20:00:00,0,Norwich,9,0,4,1,4,M Oliver,0,0,2,9,H,12,2019-08-09,Liverpool,E0,5,7,11,15,H,2,Liverpool_Norwich_2019
1,12:30:00,2,Man City,6,0,0,5,0,M Dean,0,1,2,13,A,14,2019-08-10,West Ham,E0,9,3,1,5,A,1,West Ham_Man City_2019
2,15:00:00,2,Sheffield United,10,0,1,1,0,K Friend,0,0,1,19,D,8,2019-08-10,Bournemouth,E0,3,3,3,13,D,4,Bournemouth_Sheffield United_2019
3,15:00:00,0,Southampton,6,0,3,0,0,G Scott,0,0,0,12,H,11,2019-08-10,Burnley,E0,3,4,2,10,D,7,Burnley_Southampton_2019
4,15:00:00,2,Everton,16,1,0,0,0,J Moss,0,0,1,14,D,10,2019-08-10,Crystal Palace,E0,3,2,6,6,D,2,Crystal Palace_Everton_2019
5,15:00:00,0,Brighton,15,0,0,3,0,C Pawson,0,1,1,11,A,5,2019-08-10,Watford,E0,3,3,5,11,A,2,Watford_Brighton_2019
6,17:30:00,1,Aston Villa,13,0,3,1,0,C Kavanagh,0,1,0,9,H,7,2019-08-10,Tottenham,E0,4,7,14,31,A,0,Tottenham_Aston Villa_2019
7,14:00:00,0,Wolves,3,0,0,0,0,A Marriner,0,0,2,13,D,8,2019-08-11,Leicester,E0,2,1,12,15,D,3,Leicester_Wolves_2019
8,14:00:00,1,Arsenal,12,0,0,1,0,M Atkinson,0,0,3,7,A,8,2019-08-11,Newcastle,E0,2,2,5,9,D,3,Newcastle_Arsenal_2019
9,16:30:00,3,Chelsea,15,0,4,0,1,A Taylor,0,0,4,13,H,18,2019-08-11,Man United,E0,7,5,3,11,H,5,Man United_Chelsea_2019
10,12:30:00,2,Burnley,13,0,2,1,1,M Dean,0,1,1,11,H,18,2019-08-17,Arsenal,E0,5,9,10,16,D,7,Arsenal_Burnley_2019
11,15:00:00,0,Bournemouth,10,0,1,2,0,M Atkinson,0,2,2,13,A,12,2019-08-17,Aston Villa,E0,4,7,10,22,A,5,Aston Villa_Bournemouth_2019
12,15:00:00,0,West Ham,11,0,1,1,0,A Taylor,0,0,2,10,D,8,2019-08-17,Brighton,E0,3,4,8,16,D,6,Brighton_West Ham_2019
13,15:00:00,2,Watford,11,0,1,0,1,L Mason,0,0,3,11,H,8,2019-08-17,Everton,E0,2,2,4,12,H,7,Everton_Watford_2019
