,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
109,0,Aston Villa,6,3,0,1,2,M Dean,0,0,3,15,H,13,2015-11-02,Tottenham,E0,2,6,4,17,H,3,Tottenham_Aston Villa_2015
110,2,Newcastle,9,0,0,1,0,L Mason,0,1,2,11,A,2,2015-11-07,Bournemouth,E0,1,5,16,20,A,0,Bournemouth_Newcastle_2015
111,0,Watford,10,2,0,1,0,R East,0,0,1,10,H,8,2015-11-07,Leicester,E0,4,6,4,12,D,2,Leicester_Watford_2015
112,1,West Brom,11,2,1,0,0,M Dean,0,0,3,10,H,4,2015-11-07,Man United,E0,0,3,5,13,D,1,Man United_West Brom_2015
113,1,Swansea,12,1,0,0,0,M Clattenburg,0,0,0,7,H,8,2015-11-07,Norwich,E0,0,5,5,9,D,2,Norwich_Swansea_2015
114,3,Chelsea,13,1,0,0,0,A Taylor,0,0,1,10,H,19,2015-11-07,Stoke,E0,4,2,1,8,D,9,Stoke_Chelsea_2015
115,1,Southampton,3,0,0,1,0,M Jones,0,0,3,7,A,11,2015-11-07,Sunderland,E0,4,3,10,9,D,11,Sunderland_Southampton_2015
116,1,Everton,11,1,0,1,1,P Tierney,0,1,2,12,D,13,2015-11-07,West Ham,E0,4,5,3,16,D,5,West Ham_Everton_2015
117,0,Tottenham,12,1,0,1,0,M Atkinson,0,1,1,17,D,14,2015-11-08,Arsenal,E0,4,4,7,10,A,6,Arsenal_Tottenham_2015
118,1,Man City,7,0,0,0,0,C Pawson,0,0,1,7,D,13,2015-11-08,Aston Villa,E0,3,0,3,3,D,8,Aston Villa_Man City_2015
119,1,Crystal Palace,7,1,0,2,1,N Swarbrick,0,1,2,6,A,9,2015-11-08,Liverpool,E0,4,4,14,22,D,6,Liverpool_Crystal Palace_2015
