,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
173,5.5,1.22,12.0,-1.75,1.17,17.0,5.4,-1.75,12.0,15.0,1.17,16.0,6.5,1.16,2.1,2.0,1.16,12.0,1.84,1.2,1.7,9.5,2.0,1.2,6.0,1.85,2.05,1.65,-1.75,2.05,4.8,5.5,5.5,1.8,Chelsea,Norwich,Chelsea_Norwich_2004
174,4.8,1.22,12.0,-1.75,1.22,12.0,5.4,-1.75,10.0,13.0,1.17,13.0,5.5,1.22,2.05,2.0,1.22,12.0,1.92,1.2,1.75,9.5,1.9,1.23,5.5,1.9,2.0,1.6,-1.75,2.15,4.8,5.5,5.25,1.9,Man United,Crystal Palace,Man United_Crystal Palace_2004
175,3.2,1.9,3.75,-0.25,1.91,4.0,3.15,-0.5,3.5,4.33,1.83,3.6,3.1,1.9,1.75,1.84,1.9,3.5,2.0,2.0,2.05,3.5,1.72,2.0,3.25,1.725,2.175,1.95,-0.5,1.75,3.1,3.2,3.3,2.0,Middlesbrough,Aston Villa,Middlesbrough_Aston Villa_2004
176,3.25,1.7,5.0,-0.75,1.73,5.0,3.25,-0.75,4.2,5.0,1.62,5.0,3.4,1.72,1.8,1.78,1.72,4.5,2.06,1.75,2.0,4.2,1.97,1.75,3.3,2.1,1.8,1.95,-0.5,1.75,3.2,3.25,3.25,1.75,Tottenham,Southampton,Tottenham_Southampton_2004
177,3.2,1.75,4.0,-0.5,1.83,4.33,3.25,-0.5,3.75,4.33,1.73,4.2,3.1,1.9,1.75,1.9,1.83,4.5,1.94,1.75,2.05,4.0,1.82,1.91,3.25,1.95,1.95,1.95,-0.5,1.75,3.2,3.4,3.2,1.91,Liverpool,Newcastle,Liverpool_Newcastle_2004
178,3.5,4.4,1.57,1.0,6.0,1.62,3.5,1.0,1.53,1.57,5.0,1.6,3.5,6.5,2.0,1.92,5.5,1.6,1.92,5.25,1.8,1.65,1.9,6.0,3.4,1.9,2.0,1.85,1.0,1.85,3.3,3.5,3.5,1.9,Portsmouth,Arsenal,Portsmouth_Arsenal_2004
179,3.2,2.1,3.5,-0.25,2.1,3.4,3.15,-0.5,3.5,3.75,1.91,3.6,3.2,2.0,1.7,1.75,1.9,3.5,2.1,2.0,2.1,3.1,2.05,2.05,3.25,1.875,2.025,2.05,-0.25,1.65,3.0,3.2,3.2,1.7,Charlton,Fulham,Charlton_Fulham_2004
180,5.0,1.25,10.0,-1.5,1.29,11.0,5.0,-1.5,9.5,13.0,1.25,12.0,5.0,1.25,2.25,1.98,1.22,10.0,1.86,1.25,1.61,9.0,2.0,1.26,4.75,1.85,2.05,2.15,-1.5,1.6,4.5,4.5,5.0,1.8,Arsenal,Fulham,Arsenal_Fulham_2004
181,3.1,2.4,2.75,0.0,2.6,2.6,3.1,0.0,2.5,2.62,2.38,2.65,3.2,2.62,1.75,2.02,2.5,2.75,1.82,2.4,2.05,2.7,2.0,2.55,3.2,1.825,2.075,1.75,0.0,1.95,2.9,3.0,3.25,1.8,Birmingham,Middlesbrough,Birmingham_Middlesbrough_2004
182,3.1,2.4,2.5,0.0,2.6,2.6,3.1,0.0,2.37,2.6,2.5,2.6,3.25,2.6,1.8,1.96,2.62,2.75,1.88,2.4,2.0,2.7,1.95,2.6,3.2,1.925,1.975,1.79,0.0,1.9,2.9,3.2,3.2,1.85,Blackburn,Newcastle,Blackburn_Newcastle_2004
183,4.33,1.27,9.0,-1.5,1.29,11.0,4.5,-1.5,8.5,12.0,1.3,10.0,4.5,1.3,2.1,2.04,1.28,9.0,1.88,1.3,1.7,8.5,1.95,1.3,4.75,1.9,2.0,2.05,-1.5,1.65,4.3,4.0,4.75,1.85,Chelsea,Aston Villa,Chelsea_Aston Villa_2004
184,3.1,2.4,2.6,0.0,2.4,2.8,3.15,0.0,2.62,2.75,2.38,2.72,3.2,2.5,1.7,2.04,2.37,2.8,1.8,2.35,2.1,2.7,2.0,2.5,3.25,1.825,2.075,1.75,0.0,1.95,2.9,3.2,3.2,1.8,Crystal Palace,Portsmouth,Crystal Palace_Portsmouth_2004
185,3.2,1.85,4.0,-0.5,1.91,4.0,3.2,-0.5,3.75,4.0,1.8,3.9,3.25,1.9,1.6,1.78,1.83,4.3,2.06,1.8,2.3,3.6,1.77,1.95,3.25,2.1,1.8,1.71,-0.5,2.0,3.1,3.2,3.25,1.95,Everton,Man City,Everton_Man City_2004
186,4.0,1.35,9.0,1.25,1.33,9.0,4.2,-1.5,8.0,10.0,1.29,9.5,5.0,1.28,2.3,1.82,1.33,8.25,2.02,1.35,1.6,7.0,1.85,1.33,4.5,1.775,2.125,2.15,-1.5,1.6,4.0,4.33,4.5,1.95,Man United,Bolton,Man United_Bolton_2004
187,3.2,2.9,2.25,0.25,2.9,2.3,3.1,0.0,2.25,2.3,2.75,2.4,3.25,3.0,1.7,1.72,2.75,2.4,2.12,2.75,2.1,2.2,1.75,2.85,3.25,1.925,1.925,1.71,0.0,2.0,3.0,3.2,3.25,2.1,Norwich,Tottenham,Norwich_Tottenham_2004
188,3.1,2.4,2.5,0.0,2.4,2.8,3.1,0.0,2.62,2.6,2.4,2.85,3.25,2.6,1.75,2.1,2.37,3.0,1.74,2.25,2.05,2.7,2.1,2.4,3.25,1.725,2.175,1.75,0.0,1.95,2.9,3.25,3.25,1.75,Southampton,Charlton,Southampton_Charlton_2004
189,3.3,4.2,1.5,0.75,6.0,1.57,3.3,0.75,1.66,1.66,6.0,1.67,3.4,5.5,1.75,1.78,4.5,1.65,2.06,5.15,2.05,1.7,1.8,5.75,3.6,2.075,1.825,1.75,0.75,1.95,3.2,3.4,3.3,2.0,West Brom,Liverpool,West Brom_Liverpool_2004
190,3.3,4.2,1.73,0.5,4.2,1.83,3.2,0.5,1.8,1.72,4.0,1.8,3.5,4.75,1.8,1.76,3.75,1.85,2.08,4.0,2.0,1.7,1.8,4.5,3.4,2.1,1.8,2.0,0.5,1.71,3.2,3.4,3.3,1.9,Aston Villa,Man United,Aston Villa_Man United_2004
191,3.2,2.2,3.5,-0.5,1.91,4.0,3.05,-0.5,3.5,3.75,1.91,3.75,3.2,2.0,1.75,1.78,1.9,4.0,2.06,1.9,2.05,3.0,1.74,1.95,3.25,2.125,1.775,2.0,-0.5,1.71,2.9,3.2,3.3,2.0,Bolton,Blackburn,Bolton_Blackburn_2004
192,3.1,2.5,2.75,-0.25,2.6,2.6,3.2,0.0,2.5,2.6,2.25,2.6,3.2,2.62,1.65,2.04,2.5,2.55,1.8,2.5,2.2,2.5,2.0,2.6,3.2,2.15,1.75,2.05,0.0,1.65,3.0,3.2,3.25,1.8,Charlton,Everton,Charlton_Everton_2004
193,3.2,2.4,2.8,-0.25,2.3,3.0,3.1,-0.25,2.75,2.9,2.2,3.0,3.2,2.37,1.65,1.78,2.25,3.1,2.06,2.2,2.2,2.7,2.05,2.3,3.25,2.1,1.8,2.05,0.0,1.65,2.9,3.2,3.2,1.7,Fulham,Birmingham,Fulham_Birmingham_2004
194,3.75,1.35,9.0,-1.5,1.36,9.0,4.5,-1.5,8.0,9.0,1.33,9.0,4.33,1.36,2.0,1.8,1.36,9.0,2.04,1.3,1.8,7.0,1.65,1.36,4.2,2.025,1.875,1.71,-1.5,2.0,4.0,3.75,4.33,1.91,Liverpool,Southampton,Liverpool_Southampton_2004
195,3.5,1.55,5.5,-1.0,1.53,6.5,3.55,-1.25,5.5,6.5,1.53,6.75,3.75,1.53,1.95,1.82,1.53,6.5,2.02,1.5,1.85,4.8,1.8,1.53,3.6,1.75,2.15,1.79,-1.25,1.9,3.5,3.5,3.6,2.0,Man City,West Brom,Man City_West Brom_2004
196,3.6,1.45,6.0,-1.0,1.5,7.0,3.6,-1.0,6.5,7.0,1.5,7.0,3.75,1.5,1.95,2.1,1.44,7.5,1.74,1.45,1.85,5.4,1.72,1.5,3.75,1.775,2.125,1.79,-1.25,1.9,3.8,3.4,3.7,2.02,Middlesbrough,Norwich,Middlesbrough_Norwich_2004
197,3.4,4.6,1.44,1.0,6.5,1.53,3.45,1.0,1.5,1.53,6.5,1.55,3.75,6.5,1.95,1.96,6.0,1.55,1.88,6.0,1.85,1.6,1.9,6.75,3.6,1.9,2.0,1.9,1.0,1.79,3.4,3.6,3.5,1.9,Portsmouth,Chelsea,Portsmouth_Chelsea_2004
