,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
130,20:00:00,1,Fulham,7,1,1,1,0,G Scott,0,1,2,17,D,11,2020-12-19,Newcastle,E0,4,5,2,12,A,9,Newcastle_Fulham_2020
131,12:00:00,1,Sheffield United,9,1,1,1,0,P Bankes,0,0,5,11,D,5,2020-12-20,Brighton,E0,3,5,14,21,D,2,Brighton_Sheffield United_2020
132,14:15:00,2,Leicester,15,0,0,2,0,C Pawson,0,1,2,14,A,17,2020-12-20,Tottenham,E0,4,3,5,8,A,3,Tottenham_Leicester_2020
133,16:30:00,1,Leeds,6,0,6,2,4,A Taylor,0,1,0,6,H,17,2020-12-20,Man United,E0,3,14,11,26,H,13,Man United_Leeds_2020
134,19:15:00,1,Aston Villa,14,0,0,3,0,M Atkinson,1,1,2,8,A,19,2020-12-20,West Brom,E0,10,1,1,1,A,7,West Brom_Aston Villa_2020
135,17:30:00,2,Wolves,11,0,2,1,1,L Mason,0,0,1,15,H,15,2020-12-21,Burnley,E0,3,4,1,10,H,7,Burnley_Wolves_2020
136,20:00:00,0,West Ham,11,0,3,0,1,C Kavanagh,0,0,0,6,H,6,2020-12-21,Chelsea,E0,0,7,5,11,H,4,Chelsea_West Ham_2020
137,12:30:00,2,Man United,10,0,2,2,1,M Dean,0,1,1,17,D,9,2020-12-26,Leicester,E0,4,2,5,10,D,0,Leicester_Man United_2020
138,15:00:00,1,Crystal Palace,18,0,3,0,1,A Taylor,1,0,4,16,H,13,2020-12-26,Aston Villa,E0,6,10,4,21,H,4,Aston Villa_Crystal Palace_2020
139,15:00:00,2,Southampton,15,0,0,0,0,D England,0,0,0,12,D,3,2020-12-26,Fulham,E0,2,1,6,10,D,3,Fulham_Southampton_2020
140,17:30:00,2,Chelsea,13,0,3,1,2,M Oliver,0,0,1,10,H,19,2020-12-26,Arsenal,E0,3,7,7,15,H,9,Arsenal_Chelsea_2020
141,20:00:00,2,Newcastle,5,0,2,0,1,A Marriner,0,0,2,12,H,7,2020-12-26,Man City,E0,2,6,7,11,H,3,Man City_Newcastle_2020
142,20:00:00,2,Everton,11,0,0,1,0,D Coote,0,0,4,10,A,7,2020-12-26,Sheffield United,E0,3,2,6,10,D,3,Sheffield United_Everton_2020
143,12:00:00,0,Burnley,8,0,1,0,1,R Jones,0,0,3,14,H,14,2020-12-27,Leeds,E0,6,4,4,11,H,12,Leeds_Burnley_2020
144,14:15:00,0,Brighton,6,0,2,2,0,S Hooper,0,1,0,8,D,13,2020-12-27,West Ham,E0,4,4,5,11,A,4,West Ham_Brighton_2020
145,16:30:00,0,West Brom,8,0,1,1,1,K Friend,0,0,1,5,D,5,2020-12-27,Liverpool,E0,3,2,8,17,H,3,Liverpool_West Brom_2020
146,19:15:00,4,Tottenham,20,0,1,1,0,P Tierney,0,1,1,13,D,6,2020-12-27,Wolves,E0,3,6,9,11,A,2,Wolves_Tottenham_2020
147,15:00:00,0,Leicester,10,0,1,1,0,G Scott,0,0,1,7,D,17,2020-12-28,Crystal Palace,E0,3,1,2,4,D,5,Crystal Palace_Leicester_2020
148,17:30:00,3,Aston Villa,16,0,1,1,1,S Attwell,0,0,1,3,D,10,2020-12-28,Chelsea,E0,2,5,11,16,H,4,Chelsea_Aston Villa_2020
149,18:00:00,2,Arsenal,11,0,0,1,0,M Atkinson,0,0,0,4,A,11,2020-12-29,Brighton,E0,3,2,5,13,D,4,Brighton_Arsenal_2020
150,18:00:00,1,Sheffield United,13,0,1,0,1,C Kavanagh,0,0,2,17,H,7,2020-12-29,Burnley,E0,3,3,3,5,H,5,Burnley_Sheffield United_2020
151,18:00:00,3,West Ham,16,0,0,0,0,A Madley,0,0,1,15,D,8,2020-12-29,Southampton,E0,3,3,4,8,D,3,Southampton_West Ham_2020
152,18:00:00,0,Leeds,7,0,0,5,0,L Mason,0,4,1,10,A,14,2020-12-29,West Brom,E0,6,1,3,4,A,10,West Brom_Leeds_2020
153,20:00:00,1,Wolves,11,0,1,0,0,J Moss,0,0,1,7,H,9,2020-12-29,Man United,E0,5,3,2,11,D,2,Man United_Wolves_2020
154,20:00:00,2,Liverpool,9,0,0,0,0,P Tierney,0,0,3,13,D,11,2020-12-30,Newcastle,E0,4,2,5,8,D,12,Newcastle_Liverpool_2020
155,17:30:00,2,West Ham,9,0,0,1,0,K Friend,0,0,0,7,A,11,2021-01-01,Everton,E0,5,2,5,10,D,4,Everton_West Ham_2020
156,20:00:00,4,Aston Villa,22,0,2,1,1,M Oliver,0,0,0,10,H,5,2021-01-01,Man United,E0,5,9,5,19,H,10,Man United_Aston Villa_2020
157,12:30:00,2,Leeds,15,0,3,0,2,D Coote,1,0,1,13,H,18,2021-01-02,Tottenham,E0,5,7,3,20,H,5,Tottenham_Leeds_2020
158,15:00:00,1,Sheffield United,8,0,2,0,2,S Attwell,0,0,3,18,H,7,2021-01-02,Crystal Palace,E0,2,4,3,9,H,6,Crystal Palace_Sheffield United_2020
159,17:30:00,2,Wolves,13,0,3,3,1,A Madley,0,3,1,8,D,11,2021-01-02,Brighton,E0,4,4,5,13,A,8,Brighton_Wolves_2020
160,20:00:00,1,Arsenal,7,0,0,4,0,M Atkinson,0,2,2,4,A,21,2021-01-02,West Brom,E0,12,3,3,7,A,5,West Brom_Arsenal_2020
161,14:15:00,0,Leicester,10,0,1,2,0,R Jones,0,0,2,11,A,9,2021-01-03,Newcastle,E0,3,2,3,8,D,6,Newcastle_Leicester_2020
162,16:30:00,3,Man City,11,0,1,3,0,A Taylor,0,3,1,10,A,18,2021-01-03,Chelsea,E0,6,2,5,9,A,3,Chelsea_Man City_2020
163,20:00:00,1,Liverpool,5,0,1,0,1,A Marriner,0,0,3,12,H,17,2021-01-04,Southampton,E0,1,3,1,7,H,10,Southampton_Liverpool_2020
164,18:00:00,2,Newcastle,13,1,1,0,0,A Madley,0,0,3,12,H,7,2021-01-12,Sheffield United,E0,3,4,5,17,D,2,Sheffield United_Newcastle_2020
165,20:15:00,1,Man United,15,0,0,1,0,K Friend,0,0,2,13,A,13,2021-01-12,Burnley,E0,7,0,3,11,D,4,Burnley_Man United_2020
166,20:15:00,2,Everton,6,0,1,2,1,M Atkinson,0,1,2,11,A,5,2021-01-12,Wolves,E0,3,3,6,12,D,5,Wolves_Everton_2020
167,18:00:00,0,Brighton,4,0,1,0,1,D England,0,0,2,12,H,5,2021-01-13,Man City,E0,1,6,8,16,H,4,Man City_Brighton_2020
168,20:15:00,1,Fulham,13,0,1,1,1,P Tierney,0,0,2,15,D,15,2021-01-13,Tottenham,E0,4,6,6,15,H,5,Tottenham_Fulham_2020
169,20:00:00,1,Crystal Palace,10,0,0,0,0,A Marriner,0,0,1,11,D,12,2021-01-14,Arsenal,E0,2,4,7,11,D,3,Arsenal_Crystal Palace_2020
170,12:30:00,2,West Brom,10,0,2,3,2,M Oliver,0,1,1,14,A,12,2021-01-16,Wolves,E0,5,6,11,23,H,0,Wolves_West Brom_2020
171,15:00:00,1,Brighton,8,0,0,1,0,K Friend,0,1,1,9,A,7,2021-01-16,Leeds,E0,2,2,5,7,A,2,Leeds_Brighton_2020
172,15:00:00,2,Burnley,12,0,1,0,1,C Kavanagh,0,0,1,9,H,10,2021-01-16,West Ham,E0,2,4,7,15,H,4,West Ham_Burnley_2020
173,17:30:00,2,Chelsea,11,0,0,1,0,P Bankes,1,0,3,10,A,21,2021-01-16,Fulham,E0,6,3,1,10,D,12,Fulham_Chelsea_2020
174,20:00:00,2,Southampton,10,0,2,0,1,S Attwell,0,0,2,11,H,8,2021-01-16,Leicester,E0,3,5,2,16,H,5,Leicester_Southampton_2020
175,14:00:00,4,Tottenham,13,0,1,3,0,A Marriner,0,2,0,4,A,14,2021-01-17,Sheffield United,E0,5,5,5,15,A,7,Sheffield United_Tottenham_2020
176,16:30:00,2,Man United,15,0,0,0,0,P Tierney,0,0,1,6,D,8,2021-01-17,Liverpool,E0,4,3,7,17,D,3,Liverpool_Man United_2020
177,19:15:00,0,Crystal Palace,9,0,4,0,1,L Mason,0,0,0,8,H,2,2021-01-17,Man City,E0,0,6,11,13,H,1,Man City_Crystal Palace_2020
178,20:00:00,0,Newcastle,9,0,3,0,0,D Coote,0,0,0,8,H,4,2021-01-18,Arsenal,E0,1,6,7,20,D,2,Arsenal_Newcastle_2020
179,18:00:00,0,West Brom,10,0,2,1,1,G Scott,0,0,1,10,H,6,2021-01-19,West Ham,E0,2,6,3,14,H,1,West Ham_West Brom_2020
180,20:15:00,1,Chelsea,7,0,2,0,2,C Pawson,0,0,3,16,H,9,2021-01-19,Leicester,E0,5,6,6,8,H,3,Leicester_Chelsea_2020
