,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,2,Leicester,11,2,0,1,1,A Marriner,0,0,1,8,H,13,2018-08-10,Man United,E0,4,6,2,8,H,5,Man United_Leicester_2018
1,1,Cardiff,11,2,0,0,1,K Friend,0,0,1,9,H,10,2018-08-11,Bournemouth,E0,1,4,7,12,H,4,Bournemouth_Cardiff_2018
2,1,Crystal Palace,9,0,0,2,0,M Dean,0,1,2,11,A,10,2018-08-11,Fulham,E0,9,6,5,15,A,5,Fulham_Crystal Palace_2018
3,2,Chelsea,9,0,0,3,0,C Kavanagh,0,2,1,8,A,13,2018-08-11,Huddersfield,E0,4,1,2,6,A,5,Huddersfield_Chelsea_2018
4,2,Tottenham,11,1,0,2,1,M Atkinson,0,2,2,12,A,15,2018-08-11,Newcastle,E0,5,2,3,15,A,5,Newcastle_Tottenham_2018
5,2,Brighton,10,2,0,0,1,J Moss,0,0,2,16,H,6,2018-08-11,Watford,E0,0,5,8,19,H,2,Watford_Brighton_2018
6,0,Everton,8,2,1,2,1,C Pawson,0,1,1,7,D,6,2018-08-11,Wolves,E0,5,4,3,11,D,6,Wolves_Everton_2018
7,2,Man City,11,0,0,2,0,M Oliver,0,1,2,14,A,17,2018-08-12,Arsenal,E0,8,3,2,9,A,9,Arsenal_Man City_2018
8,1,West Ham,14,4,0,0,2,A Taylor,0,0,2,9,H,5,2018-08-12,Liverpool,E0,2,8,5,18,H,4,Liverpool_West Ham_2018
9,0,Burnley,10,0,0,0,0,G Scott,0,0,1,9,D,16,2018-08-12,Southampton,E0,6,3,8,18,D,5,Southampton_Burnley_2018
10,2,Newcastle,14,0,1,0,0,C Pawson,0,0,2,16,D,12,2018-08-18,Cardiff,E0,6,1,5,12,D,5,Cardiff_Newcastle_2018
11,0,Arsenal,12,3,0,2,2,M Atkinson,0,2,2,9,H,15,2018-08-18,Chelsea,E0,6,11,5,24,D,1,Chelsea_Arsenal_2018
12,0,Southampton,8,2,0,1,2,L Mason,0,0,5,20,H,15,2018-08-18,Everton,E0,4,7,2,13,H,5,Everton_Southampton_2018
13,2,Wolves,10,2,0,0,2,M Dean,1,0,1,8,H,11,2018-08-18,Leicester,E0,3,2,1,6,H,9,Leicester_Wolves_2018
14,0,Fulham,9,3,0,1,1,A Taylor,0,0,0,5,H,10,2018-08-18,Tottenham,E0,3,11,5,25,H,2,Tottenham_Fulham_2018
15,6,Bournemouth,14,1,0,2,1,S Attwell,0,0,2,10,A,12,2018-08-18,West Ham,E0,5,5,6,11,H,4,West Ham_Bournemouth_2018
16,1,Man United,16,3,0,2,3,K Friend,0,1,1,13,H,9,2018-08-19,Brighton,E0,3,3,3,6,H,5,Brighton_Man United_2018
17,1,Watford,8,1,0,3,1,P Tierney,0,1,2,19,A,9,2018-08-19,Burnley,E0,6,3,5,8,D,2,Burnley_Watford_2018
18,0,Huddersfield,9,6,0,1,3,A Marriner,0,1,2,4,H,5,2018-08-19,Man City,E0,1,14,10,32,H,3,Man City_Huddersfield_2018
19,1,Liverpool,6,0,0,2,0,M Oliver,1,1,1,13,A,16,2018-08-20,Crystal Palace,E0,6,2,6,8,A,7,Crystal Palace_Liverpool_2018
20,1,West Ham,16,3,0,1,1,G Scott,0,1,3,13,H,13,2018-08-25,Arsenal,E0,5,10,10,17,D,2,Arsenal_West Ham_2018
21,0,Everton,12,2,1,2,0,L Probert,1,0,3,10,D,11,2018-08-25,Bournemouth,E0,3,5,6,17,D,2,Bournemouth_Everton_2018
22,0,Cardiff,8,0,0,0,0,M Oliver,1,0,1,10,D,14,2018-08-25,Huddersfield,E0,4,1,7,5,D,7,Huddersfield_Cardiff_2018
23,1,Brighton,8,1,0,0,1,C Kavanagh,0,0,1,14,H,6,2018-08-25,Liverpool,E0,2,8,8,22,H,5,Liverpool_Brighton_2018
24,1,Leicester,13,1,0,2,0,J Moss,1,0,1,11,A,8,2018-08-25,Southampton,E0,5,5,10,11,D,3,Southampton_Leicester_2018
25,1,Man City,13,1,0,1,0,M Atkinson,0,0,2,8,D,18,2018-08-25,Wolves,E0,6,2,5,11,D,9,Wolves_Man City_2018
26,2,Burnley,11,4,0,2,3,D Coote,0,2,1,8,H,12,2018-08-26,Fulham,E0,2,12,6,25,H,4,Fulham_Burnley_2018
27,3,Chelsea,16,1,0,2,0,P Tierney,0,0,1,8,A,15,2018-08-26,Newcastle,E0,3,2,4,6,D,5,Newcastle_Chelsea_2018
28,4,Crystal Palace,14,2,0,1,0,A Taylor,0,0,2,11,H,9,2018-08-26,Watford,E0,3,5,6,13,D,3,Watford_Crystal Palace_2018
