,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,19:45:00,2,Middlesbrough,14,0,3,3,2,O Langford,0,2,2,20,D,17,2019-08-02,Luton,E1,8,4,8,12,D,11,Luton_Middlesbrough_2019
1,15:00:00,3,Fulham,16,0,1,0,1,A Davies,0,0,1,14,H,15,2019-08-03,Barnsley,E1,4,4,7,17,H,5,Barnsley_Fulham_2019
2,15:00:00,0,Charlton,15,0,1,2,0,A Woolmer,0,1,3,13,A,9,2019-08-03,Blackburn,E1,5,2,12,14,A,2,Blackburn_Charlton_2019
3,15:00:00,1,Birmingham,10,0,0,1,0,G Ward,0,1,3,12,A,1,2019-08-03,Brentford,E1,1,3,6,15,A,2,Brentford_Birmingham_2019
4,15:00:00,2,Preston,11,0,1,0,1,S Martin,0,0,3,18,H,5,2019-08-03,Millwall,E1,0,3,8,8,H,7,Millwall_Preston_2019
5,15:00:00,0,Sheffield Weds,12,1,1,3,0,J Linington,0,1,3,15,A,13,2019-08-03,Reading,E1,5,4,7,13,A,3,Reading_Sheffield Weds_2019
6,15:00:00,1,QPR,18,0,1,2,0,D Bond,0,1,3,14,A,5,2019-08-03,Stoke,E1,3,1,7,13,A,0,Stoke_QPR_2019
7,15:00:00,2,Hull,9,0,2,1,0,J Brooks,0,1,2,10,H,12,2019-08-03,Swansea,E1,4,8,10,19,A,4,Swansea_Hull_2019
8,15:00:00,2,Cardiff,9,0,3,2,0,D Webb,0,1,4,15,H,13,2019-08-03,Wigan,E1,4,4,6,12,A,6,Wigan_Cardiff_2019
9,17:30:00,0,West Brom,8,0,1,2,1,D England,0,2,1,6,A,12,2019-08-03,Nott'm Forest,E1,3,4,9,15,A,5,Nott'm Forest_West Brom_2019
10,16:30:00,3,Leeds,8,0,1,3,0,T Robinson,0,1,2,12,A,18,2019-08-04,Bristol City,E1,4,3,4,13,A,6,Bristol City_Leeds_2019
11,19:45:00,0,Derby,18,0,1,2,1,G Eltringham,0,2,0,14,A,11,2019-08-05,Huddersfield,E1,3,2,8,14,A,0,Huddersfield_Derby_2019
12,12:30:00,2,Nott'm Forest,12,0,1,1,0,R Jones,0,0,2,12,D,6,2019-08-10,Leeds,E1,1,4,10,14,D,3,Leeds_Nott'm Forest_2019
13,15:00:00,2,Bristol City,6,0,1,1,0,O Langford,0,0,3,11,D,8,2019-08-10,Birmingham,E1,5,3,5,12,D,8,Birmingham_Bristol City_2019
14,15:00:00,2,Luton,13,0,2,1,0,D Bond,0,0,2,11,H,8,2019-08-10,Cardiff,E1,2,4,3,16,D,3,Cardiff_Luton_2019
15,15:00:00,0,Stoke,10,0,3,1,1,S Hooper,0,1,0,11,H,12,2019-08-10,Charlton,E1,3,3,1,5,D,4,Charlton_Stoke_2019
16,15:00:00,2,Swansea,8,0,0,0,0,J Gillett,0,0,1,14,D,13,2019-08-10,Derby,E1,3,3,8,17,D,3,Derby_Swansea_2019
17,15:00:00,0,Blackburn,9,0,2,0,1,K Stroud,0,0,2,15,H,9,2019-08-10,Fulham,E1,0,2,5,12,H,5,Fulham_Blackburn_2019
18,15:00:00,2,Reading,23,0,2,1,2,M Donohue,0,0,2,12,H,13,2019-08-10,Hull,E1,4,5,5,14,H,7,Hull_Reading_2019
19,15:00:00,0,Brentford,10,0,0,1,0,S Martin,0,0,1,17,A,9,2019-08-10,Middlesbrough,E1,2,5,7,14,D,3,Middlesbrough_Brentford_2019
20,15:00:00,1,Wigan,13,0,3,0,2,J Simpson,0,0,2,18,H,11,2019-08-10,Preston,E1,6,5,8,16,H,7,Preston_Wigan_2019
