,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,2,Cardiff,19,1,0,2,1,L Mason,0,2,1,8,A,11,2006-08-05,Barnsley,E1,6,4,4,16,A,3,Barnsley_Cardiff_2006
1,1,Colchester,8,2,0,1,1,K Stroud,1,0,0,9,H,11,2006-08-05,Birmingham,E1,5,6,5,12,H,4,Birmingham_Colchester_2006
2,3,QPR,14,2,0,0,0,M Clattenburg,0,0,0,14,H,10,2006-08-05,Burnley,E1,6,9,9,14,D,4,Burnley_QPR_2006
3,2,Crystal Palace,15,1,0,2,1,K Wright,0,0,2,16,A,8,2006-08-05,Ipswich,E1,6,3,8,9,H,4,Ipswich_Crystal Palace_2006
4,2,Norwich,13,1,0,0,1,G Laws,0,0,0,15,H,11,2006-08-05,Leeds,E1,4,5,4,8,H,4,Leeds_Norwich_2006
5,2,Leicester,21,2,0,0,1,C Penton,0,0,3,15,H,11,2006-08-05,Luton,E1,4,5,8,12,H,4,Luton_Leicester_2006
6,4,Wolves,18,1,0,1,1,I Williamson,0,0,2,12,D,4,2006-08-05,Plymouth,E1,2,10,11,12,H,2,Plymouth_Wolves_2006
7,2,Sheffield Weds,10,0,1,0,0,P Walton,0,0,1,8,D,14,2006-08-05,Preston,E1,5,6,7,13,D,0,Preston_Sheffield Weds_2006
8,0,Stoke,7,1,0,0,1,M Russell,0,0,1,13,H,10,2006-08-05,Southend,E1,6,8,9,12,H,7,Southend_Stoke_2006
9,1,Hull,14,2,0,0,0,L Probert,0,0,2,15,H,8,2006-08-05,West Brom,E1,3,9,6,13,D,7,West Brom_Hull_2006
10,1,Sunderland,18,2,0,1,0,C Foy,0,0,1,19,H,10,2006-08-06,Coventry,E1,5,4,6,7,D,5,Coventry_Sunderland_2006
11,0,Southampton,11,2,0,2,1,A D'Urso,0,0,2,12,D,13,2006-08-06,Derby,E1,6,8,8,15,H,5,Derby_Southampton_2006
12,1,West Brom,6,1,0,1,1,C Foy,0,1,3,17,D,11,2006-08-08,Cardiff,E1,5,4,10,14,D,5,Cardiff_West Brom_2006
13,2,Plymouth,11,0,0,1,0,R Booth,0,1,4,13,A,5,2006-08-08,Colchester,E1,4,3,7,8,A,6,Colchester_Plymouth_2006
14,0,Southend,9,3,0,1,0,K Hill,0,1,0,9,H,5,2006-08-08,Crystal Palace,E1,2,4,5,5,A,6,Crystal Palace_Southend_2006
15,1,Barnsley,11,2,0,3,2,S Mathieson,0,1,0,7,A,16,2006-08-08,Hull,E1,11,7,2,15,H,5,Hull_Barnsley_2006
16,2,Burnley,17,0,0,1,0,H Webb,0,1,2,16,A,6,2006-08-08,Leicester,E1,2,5,8,9,A,5,Leicester_Burnley_2006
17,1,Preston,12,2,1,0,0,P Joslin,0,0,3,18,H,7,2006-08-08,Norwich,E1,3,9,3,14,D,5,Norwich_Preston_2006
18,1,Leeds,19,2,0,2,0,K Friend,0,0,4,19,D,13,2006-08-08,QPR,E1,9,9,5,16,D,6,QPR_Leeds_2006
19,0,Luton,6,0,0,1,0,A Bates,0,1,2,5,A,10,2006-08-08,Sheffield Weds,E1,5,4,4,13,A,1,Sheffield Weds_Luton_2006
20,1,Derby,13,2,0,0,1,M Clattenburg,0,0,3,9,H,2,2006-08-08,Stoke,E1,1,2,3,6,H,7,Stoke_Derby_2006
21,0,Ipswich,15,1,0,0,1,T Kettle,1,0,3,13,H,7,2006-08-08,Wolves,E1,1,6,2,8,H,4,Wolves_Ipswich_2006
22,0,Coventry,10,2,0,0,0,G Hegley,0,0,2,13,H,13,2006-08-09,Southampton,E1,8,8,6,16,D,9,Southampton_Coventry_2006
23,0,Birmingham,8,0,0,1,0,G Salisbury,0,1,2,13,A,7,2006-08-09,Sunderland,E1,3,8,6,16,A,3,Sunderland_Birmingham_2006
24,1,Preston,17,1,0,3,1,U Rennie,0,1,4,14,A,11,2006-08-11,Wolves,E1,7,9,3,13,D,7,Wolves_Preston_2006
25,2,Coventry,17,1,0,0,0,R Booth,0,0,1,9,H,10,2006-08-12,Cardiff,E1,5,7,7,13,D,10,Cardiff_Coventry_2006
26,2,Barnsley,6,1,0,2,1,G Poll,0,0,1,16,A,12,2006-08-12,Colchester,E1,7,3,7,14,H,7,Colchester_Barnsley_2006
27,3,Derby,17,1,0,2,1,A Woolmer,0,1,2,13,A,7,2006-08-12,Hull,E1,4,4,2,9,D,2,Hull_Derby_2006
28,0,Ipswich,15,3,0,1,1,J Moss,0,0,1,14,H,7,2006-08-12,Leicester,E1,4,5,8,10,H,6,Leicester_Ipswich_2006
29,2,Luton,11,3,0,2,0,A Penn,0,1,1,9,H,12,2006-08-12,Norwich,E1,4,8,7,14,A,6,Norwich_Luton_2006
30,3,Southend,9,2,0,0,2,I Williamson,0,0,1,11,H,13,2006-08-12,QPR,E1,4,8,7,14,H,4,QPR_Southend_2006
31,1,Burnley,5,1,1,1,0,C Webster,0,0,2,4,D,3,2006-08-12,Sheffield Weds,E1,1,1,3,4,D,6,Sheffield Weds_Burnley_2006
32,1,West Brom,8,0,0,0,0,S Tanner,0,0,2,20,D,9,2006-08-12,Southampton,E1,2,6,6,21,D,3,Southampton_West Brom_2006
33,2,Birmingham,19,0,0,0,0,R Beeby,0,0,1,13,D,2,2006-08-12,Stoke,E1,0,7,6,10,D,2,Stoke_Birmingham_2006
34,0,Plymouth,14,2,0,3,1,R Olivier,0,2,0,21,A,8,2006-08-12,Sunderland,E1,8,5,5,8,A,7,Sunderland_Plymouth_2006
35,2,Leeds,9,1,1,0,0,R Styles,0,0,2,11,H,8,2006-08-13,Crystal Palace,E1,2,7,9,15,D,3,Crystal Palace_Leeds_2006
36,2,Leicester,16,0,0,0,0,A Hall,0,0,2,23,D,15,2006-08-18,Coventry,E1,10,3,4,7,D,8,Coventry_Leicester_2006
37,1,Southampton,16,2,0,2,1,M Dean,0,0,2,9,D,14,2006-08-19,Barnsley,E1,9,7,4,9,H,9,Barnsley_Southampton_2006
