,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
183,3.2,2.5,2.2,,2.7,2.3,2.25,,2.25,2.25,2.8,2.25,3.25,2.75,1.8,,2.75,2.75,3.25,,1.9,2.3,,2.85,3.2,,,1.9,,1.79,2.9,3.2,3.3,1.8,Coventry,West Ham,Coventry_West Ham_2003
184,3.1,2.3,2.38,,2.38,2.62,2.5,,2.6,2.62,2.6,2.57,3.2,2.37,1.83,,2.4,2.5,3.2,,1.83,2.4,,2.5,3.2,,,1.85,,1.85,3.0,3.2,3.25,1.9,Crewe,Reading,Crewe_Reading_2003
185,3.4,1.5,6.5,,1.5,6.0,6.0,,6.0,5.5,1.44,6.0,3.5,1.53,2.0,,1.5,1.5,3.5,,1.72,4.7,,1.51,3.5,,,1.79,,1.9,3.4,3.6,3.7,1.85,Ipswich,Gillingham,Ipswich_Gillingham_2003
186,3.2,2.3,2.75,,2.2,2.88,2.8,,2.62,2.8,2.25,3.0,3.25,2.2,1.8,,2.3,2.2,3.25,,1.9,2.4,,2.2,3.2,,,1.79,,1.9,3.0,3.2,3.25,1.95,Millwall,Nott'm Forest,Millwall_Nott'm Forest_2003
187,3.4,1.7,4.5,,1.7,4.33,5.0,,4.33,4.33,1.62,4.65,3.25,1.72,1.83,,1.66,1.62,3.4,,1.83,3.7,,1.68,3.4,,,1.79,,1.9,3.2,3.5,3.5,1.9,Preston,Derby,Preston_Derby_2003
188,3.1,2.6,2.25,,2.88,2.2,2.2,,2.2,2.25,2.75,2.25,3.25,2.75,1.8,,2.87,2.8,3.25,,1.9,2.2,,2.85,3.2,,,1.79,,1.9,3.0,3.2,3.3,1.8,Stoke,Sheffield United,Stoke_Sheffield United_2003
189,3.1,2.3,2.5,,2.4,2.6,2.62,,2.62,2.5,2.5,2.6,3.2,2.5,1.72,,2.37,2.38,3.2,,2.0,2.4,,2.5,3.2,,,1.9,,1.79,3.0,3.2,3.2,1.85,Walsall,Norwich,Walsall_Norwich_2003
190,3.25,1.75,3.75,,1.8,4.0,4.0,,4.2,4.0,1.8,4.15,3.5,1.72,1.8,,1.72,1.8,3.25,,1.9,3.5,,1.8,3.25,,,1.9,,1.79,3.2,3.25,3.3,1.8,Watford,Rotherham,Watford_Rotherham_2003
191,3.2,1.85,4.0,,1.85,3.75,3.75,,3.75,3.5,1.8,3.7,3.25,1.9,1.8,,1.83,1.83,3.25,,1.9,3.2,,1.9,3.2,,,2.0,,1.71,3.1,3.2,3.3,1.9,West Brom,Sunderland,West Brom_Sunderland_2003
192,3.3,1.6,5.5,,1.57,5.5,5.5,,5.0,5.5,1.57,5.1,3.4,1.57,1.8,,1.61,1.57,3.4,,1.9,4.0,,1.6,3.4,,,1.79,,1.9,3.3,3.25,3.6,1.95,Wigan,Crystal Palace,Wigan_Crystal Palace_2003
193,3.1,2.3,2.75,,2.3,2.7,2.62,,2.4,2.75,2.2,2.62,3.25,2.25,2.0,,2.6,2.38,3.2,,1.72,2.3,,2.45,3.2,,,1.71,,2.0,3.1,3.25,3.25,1.85,Wimbledon,Bradford,Wimbledon_Bradford_2003
194,3.2,2.5,2.375,0.25,2.62,2.37,2.25,0.0,2.3,2.3,2.6,2.38,3.2,2.7,,1.8,2.62,2.75,3.25,2.05,,2.2,1.8,2.7,3.2,1.75,2.1,1.95,0.0,1.75,3.1,3.2,3.25,2.01,Gillingham,Sunderland,Gillingham_Sunderland_2003
195,3.3,1.75,4.5,-0.75,1.72,4.33,4.33,-0.75,4.5,4.0,1.667,4.4,3.25,1.8,,1.9,1.66,1.67,3.5,1.95,,3.5,2.05,1.75,3.25,2.05,1.8,1.85,-0.5,1.85,3.2,3.25,3.35,1.75,Preston,Watford,Preston_Watford_2003
196,3.3,1.6,5.0,-0.75,1.57,5.5,5.0,-1.0,5.0,5.0,1.571,5.5,3.4,1.61,,1.75,1.61,1.57,3.5,2.1,,4.0,1.9,1.6,3.4,1.85,2.0,1.75,-0.75,1.95,3.3,3.5,3.4,1.9,Sheffield United,Crewe,Sheffield United_Crewe_2003
