,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
79,15:00:00,1,Wycombe,14,0,2,1,1,G Ward,1,1,1,14,H,8,2020-10-24,Norwich,E1,2,6,10,25,D,6,Norwich_Wycombe_2020
80,15:00:00,1,Birmingham,6,0,0,0,0,S Hooper,0,0,0,11,D,10,2020-10-24,QPR,E1,3,1,3,15,D,3,QPR_Birmingham_2020
81,15:00:00,0,Rotherham,9,0,3,0,1,M Donohue,0,0,2,13,H,10,2020-10-24,Reading,E1,2,6,4,7,H,5,Reading_Rotherham_2020
82,15:00:00,1,Luton,16,0,0,1,0,G Eltringham,1,0,1,12,A,7,2020-10-24,Sheffield Weds,E1,2,3,4,14,D,2,Sheffield Weds_Luton_2020
83,15:00:00,2,Brentford,11,0,3,2,2,K Stroud,0,0,1,10,H,9,2020-10-24,Stoke,E1,3,4,2,7,H,3,Stoke_Brentford_2020
84,19:00:00,0,QPR,8,1,3,0,2,A Davies,0,0,0,11,H,10,2020-10-27,Barnsley,E1,2,11,1,15,H,5,Barnsley_QPR_2020
85,19:45:00,2,Reading,13,0,2,4,1,D Coote,0,3,2,9,A,5,2020-10-27,Blackburn,E1,4,6,3,13,A,3,Blackburn_Reading_2020
86,19:45:00,1,Norwich,19,0,1,1,1,J Simpson,0,0,1,14,D,14,2020-10-27,Brentford,E1,3,5,3,13,H,3,Brentford_Norwich_2020
87,19:45:00,2,Coventry,11,0,2,0,0,D Webb,0,0,1,10,H,3,2020-10-27,Middlesbrough,E1,1,5,1,17,D,2,Middlesbrough_Coventry_2020
88,19:45:00,2,Stoke,13,0,2,0,1,A Marriner,0,0,3,17,H,3,2020-10-27,Swansea,E1,0,6,10,18,H,2,Swansea_Stoke_2020
89,19:45:00,0,Watford,7,0,1,1,0,J Brooks,0,0,1,10,D,13,2020-10-27,Wycombe,E1,4,6,5,14,D,7,Wycombe_Watford_2020
90,19:00:00,2,Millwall,16,0,0,2,0,D Bond,0,0,0,4,A,13,2020-10-28,Preston,E1,4,1,2,5,D,7,Preston_Millwall_2020
91,19:45:00,2,Huddersfield,18,0,2,1,1,L Doughty,0,0,1,10,H,12,2020-10-28,Birmingham,E1,2,4,2,14,H,4,Birmingham_Huddersfield_2020
92,19:45:00,0,Bristol City,10,0,1,0,0,S Martin,0,0,0,12,H,8,2020-10-28,Bournemouth,E1,3,3,5,12,D,4,Bournemouth_Bristol City_2020
93,19:45:00,3,Cardiff,12,0,1,1,1,O Langford,0,0,3,10,D,8,2020-10-28,Derby,E1,2,5,5,15,H,3,Derby_Cardiff_2020
94,19:45:00,3,Nott'm Forest,15,1,1,1,1,T Robinson,0,0,0,15,D,7,2020-10-28,Luton,E1,1,2,5,6,H,2,Luton_Nott'm Forest_2020
95,19:45:00,3,Sheffield Weds,12,1,3,0,3,J Gillett,0,0,2,17,H,7,2020-10-28,Rotherham,E1,2,8,8,15,H,0,Rotherham_Sheffield Weds_2020
96,19:45:00,5,Reading,16,0,3,2,1,D Webb,0,0,0,9,H,14,2020-10-30,Coventry,E1,7,4,4,14,H,5,Coventry_Reading_2020
97,12:30:00,0,Norwich,8,0,1,3,1,J Gillett,0,3,4,16,A,19,2020-10-31,Bristol City,E1,8,6,5,15,A,4,Bristol City_Norwich_2020
98,15:00:00,1,Watford,9,0,1,0,1,M Donohue,0,0,1,9,H,7,2020-10-31,Barnsley,E1,0,2,2,7,H,3,Barnsley_Watford_2020
99,15:00:00,2,Derby,13,0,1,1,0,R Jones,0,1,1,13,D,10,2020-10-31,Bournemouth,E1,4,5,4,10,A,1,Bournemouth_Derby_2020
100,15:00:00,1,Brentford,10,0,0,3,0,M Salisbury,0,2,1,12,A,12,2020-10-31,Luton,E1,5,1,5,4,A,4,Luton_Brentford_2020
101,15:00:00,1,Nott'm Forest,8,0,1,0,0,L Mason,0,0,2,18,H,5,2020-10-31,Middlesbrough,E1,1,3,8,12,D,2,Middlesbrough_Nott'm Forest_2020
102,15:00:00,2,Huddersfield,8,0,0,3,0,G Ward,0,1,0,8,A,12,2020-10-31,Millwall,E1,7,4,10,10,A,2,Millwall_Huddersfield_2020
103,15:00:00,1,Birmingham,17,0,1,2,1,T Harrington,0,1,0,15,A,19,2020-10-31,Preston,E1,6,6,4,11,D,4,Preston_Birmingham_2020
104,15:00:00,4,Cardiff,10,0,3,2,2,A Woolmer,0,0,3,9,H,16,2020-10-31,QPR,E1,5,6,8,12,H,4,QPR_Cardiff_2020
105,15:00:00,1,Rotherham,16,0,1,0,1,D Bond,0,0,2,14,H,7,2020-10-31,Stoke,E1,0,3,7,8,H,2,Stoke_Rotherham_2020
106,15:00:00,3,Blackburn,10,0,2,0,1,D Whitestone,0,0,0,10,H,11,2020-10-31,Swansea,E1,4,3,9,11,H,5,Swansea_Blackburn_2020
107,15:00:00,2,Sheffield Weds,17,0,1,0,1,K Stroud,0,0,2,10,H,15,2020-10-31,Wycombe,E1,3,3,7,11,H,9,Wycombe_Sheffield Weds_2020
108,19:00:00,3,Swansea,14,0,1,1,1,S Martin,0,0,0,20,D,13,2020-11-03,Brentford,E1,5,1,2,7,H,9,Brentford_Swansea_2020
109,19:00:00,3,Bristol City,15,0,1,2,1,P Bankes,0,0,0,10,A,10,2020-11-03,Huddersfield,E1,3,2,3,7,H,4,Huddersfield_Bristol City_2020
110,19:00:00,0,Millwall,14,0,0,0,0,T Robinson,0,0,1,10,D,6,2020-11-03,Norwich,E1,0,7,8,27,D,2,Norwich_Millwall_2020
111,19:00:00,4,Bournemouth,23,1,1,0,0,J Simpson,1,0,2,16,H,15,2020-11-03,Sheffield Weds,E1,5,2,4,10,D,7,Sheffield Weds_Bournemouth_2020
112,19:45:00,5,Middlesbrough,19,0,0,0,0,D Webb,0,0,1,9,D,20,2020-11-03,Blackburn,E1,3,1,3,6,D,12,Blackburn_Middlesbrough_2020
113,19:45:00,0,Barnsley,8,0,3,0,2,D Whitestone,0,0,1,15,H,4,2020-11-03,Cardiff,E1,3,9,2,15,H,3,Cardiff_Barnsley_2020
114,19:00:00,1,Preston,11,0,0,3,0,J Brooks,0,0,2,7,A,10,2020-11-04,Reading,E1,5,5,4,17,D,1,Reading_Preston_2020
115,19:00:00,2,Stoke,12,0,3,2,1,A Davies,0,1,2,10,H,5,2020-11-04,Watford,E1,3,3,4,12,D,1,Watford_Stoke_2020
116,19:45:00,1,Wycombe,12,0,1,2,1,J Smith,0,0,0,7,A,13,2020-11-04,Birmingham,E1,3,4,7,17,H,5,Birmingham_Wycombe_2020
117,19:45:00,1,QPR,9,0,0,1,0,G Ward,0,0,0,11,A,14,2020-11-04,Derby,E1,3,4,5,7,D,6,Derby_QPR_2020
118,19:45:00,1,Coventry,16,0,2,1,1,G Eltringham,0,0,2,13,H,15,2020-11-04,Nott'm Forest,E1,7,4,5,15,H,4,Nott'm Forest_Coventry_2020
119,19:45:00,1,Luton,10,0,0,1,0,A Madley,0,0,1,18,A,10,2020-11-04,Rotherham,E1,5,5,5,16,D,7,Rotherham_Luton_2020
120,18:00:00,1,Bristol City,13,0,0,1,0,D Webb,0,1,1,14,A,4,2020-11-06,Cardiff,E1,1,5,11,17,A,2,Cardiff_Bristol City_2020
121,12:30:00,0,Stoke,7,0,0,3,0,K Stroud,0,2,2,15,A,10,2020-11-07,Reading,E1,3,5,8,15,A,1,Reading_Stoke_2020
122,15:00:00,2,Bournemouth,17,0,1,3,0,J Gillett,0,2,1,5,A,21,2020-11-07,Birmingham,E1,7,3,5,15,A,10,Birmingham_Bournemouth_2020
123,15:00:00,1,QPR,10,0,3,1,0,T Robinson,0,0,3,9,H,11,2020-11-07,Blackburn,E1,4,9,12,17,D,7,Blackburn_QPR_2020
124,15:00:00,1,Middlesbrough,16,0,0,0,0,J Linington,0,0,0,7,D,7,2020-11-07,Brentford,E1,1,1,1,8,D,4,Brentford_Middlesbrough_2020
125,15:00:00,3,Barnsley,10,0,0,2,0,L Doughty,0,1,2,13,A,17,2020-11-07,Derby,E1,5,3,4,9,A,3,Derby_Barnsley_2020
126,15:00:00,1,Luton,11,0,1,1,0,O Langford,0,1,5,13,D,7,2020-11-07,Huddersfield,E1,2,2,4,13,A,2,Huddersfield_Luton_2020
127,15:00:00,1,Swansea,15,0,1,0,0,D England,0,0,5,21,H,19,2020-11-07,Norwich,E1,5,5,4,21,D,11,Norwich_Swansea_2020
128,15:00:00,1,Wycombe,12,0,2,0,1,M Donohue,0,0,2,13,H,12,2020-11-07,Nott'm Forest,E1,5,5,6,13,H,8,Nott'm Forest_Wycombe_2020
129,15:00:00,1,Preston,15,0,2,1,0,A Davies,0,0,2,13,H,8,2020-11-07,Rotherham,E1,3,4,3,11,D,2,Rotherham_Preston_2020
130,15:00:00,2,Millwall,10,0,0,0,0,T Harrington,0,0,0,5,D,11,2020-11-07,Sheffield Weds,E1,0,7,5,15,D,4,Sheffield Weds_Millwall_2020
131,15:00:00,1,Coventry,16,0,3,2,0,S Hooper,0,0,2,15,H,13,2020-11-07,Watford,E1,3,5,7,12,D,1,Watford_Coventry_2020
132,19:45:00,1,Birmingham,9,0,0,0,0,O Langford,0,0,0,11,D,7,2020-11-20,Coventry,E1,2,1,1,6,D,2,Coventry_Birmingham_2020
133,12:30:00,3,Reading,13,0,4,2,0,D Bond,0,2,1,7,H,9,2020-11-21,Bournemouth,E1,5,6,10,10,A,2,Bournemouth_Reading_2020
134,15:00:00,0,Nott'm Forest,9,0,2,0,0,A Woolmer,0,0,1,14,H,10,2020-11-21,Barnsley,E1,3,2,4,13,D,8,Barnsley_Nott'm Forest_2020
135,15:00:00,1,Derby,7,0,1,0,0,K Stroud,0,0,1,11,H,13,2020-11-21,Bristol City,E1,2,3,1,11,D,6,Bristol City_Derby_2020
