,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Norwich,7,2,0,2,0,Scott Mathieson,0,1,2,14,D,5,2003-08-09,Bradford,E1,3,9,8,16,A,5,Bradford_Norwich_2003
1,2,Crystal Palace,15,2,2,3,2,C Foy,0,2,2,17,A,6,2003-08-09,Burnley,E1,2,2,6,7,D,1,Burnley_Crystal Palace_2003
2,2,Stoke,11,0,0,3,0,Howard Webb,0,2,2,19,A,11,2003-08-09,Derby,E1,7,5,6,13,A,5,Derby_Stoke_2003
3,1,Reading,8,1,1,1,0,B Curson,0,0,3,20,D,7,2003-08-09,Ipswich,E1,4,4,2,13,D,6,Ipswich_Reading_2003
4,1,Wigan,17,2,0,0,0,Andy Hall,0,0,5,20,H,11,2003-08-09,Millwall,E1,8,4,4,10,D,6,Millwall_Wigan_2003
5,0,Sunderland,13,2,0,0,2,M Ryan,0,0,3,17,H,15,2003-08-09,Nott'm Forest,E1,10,6,17,8,H,6,Nott'm Forest_Sunderland_2003
6,0,West Ham,15,1,0,2,1,P Danson,0,1,3,10,A,9,2003-08-09,Preston,E1,7,6,7,15,D,4,Preston_West Ham_2003
7,1,Cardiff,11,0,0,0,0,Peter Walton,0,0,1,7,D,6,2003-08-09,Rotherham,E1,4,5,8,12,D,6,Rotherham_Cardiff_2003
8,0,Gillingham,13,0,0,0,0,G Laws,0,0,2,22,D,8,2003-08-09,Sheffield United,E1,1,8,4,12,D,4,Sheffield United_Gillingham_2003
9,1,West Brom,6,4,0,1,3,T Bates,0,0,1,9,H,17,2003-08-09,Walsall,E1,7,8,4,11,H,7,Walsall_West Brom_2003
10,1,Crewe,6,3,0,1,1,K Hill,0,1,0,5,H,7,2003-08-09,Wimbledon,E1,3,4,3,8,D,5,Wimbledon_Crewe_2003
11,0,Bradford,10,0,0,2,0,Lee Cable,0,1,3,20,A,8,2003-08-16,Cardiff,E1,5,11,10,21,A,4,Cardiff_Bradford_2003
12,2,Walsall,11,0,0,0,0,Chris Foy,1,0,0,13,D,6,2003-08-16,Coventry,E1,1,15,2,25,D,2,Coventry_Walsall_2003
13,0,Ipswich,9,1,0,0,0,R Pearson,0,0,3,12,H,18,2003-08-16,Crewe,E1,13,5,8,14,D,8,Crewe_Ipswich_2003
14,1,Watford,11,1,0,0,1,Phil Dowd,1,0,2,19,H,8,2003-08-16,Crystal Palace,E1,4,3,3,5,H,8,Crystal Palace_Watford_2003
15,1,Derby,17,0,0,0,0,C Penton,0,0,3,13,D,10,2003-08-16,Gillingham,E1,5,4,6,13,D,5,Gillingham_Derby_2003
16,0,Rotherham,12,2,1,0,2,N Barry,0,0,2,12,H,11,2003-08-16,Norwich,E1,5,5,7,10,H,3,Norwich_Rotherham_2003
17,1,Nott'm Forest,14,3,0,0,0,R Olivier,0,0,1,11,H,13,2003-08-16,Reading,E1,2,9,9,16,D,5,Reading_Nott'm Forest_2003
18,1,Wimbledon,12,2,0,1,1,P Robinson,0,0,3,8,H,6,2003-08-16,Stoke,E1,2,8,12,19,H,4,Stoke_Wimbledon_2003
19,1,Millwall,15,0,0,1,0,T Leake,0,1,2,20,A,6,2003-08-16,Sunderland,E1,4,9,8,10,A,5,Sunderland_Millwall_2003
20,2,Burnley,14,4,0,1,1,M Clattenburg,0,1,4,13,H,7,2003-08-16,West Brom,E1,4,5,5,12,D,4,West Brom_Burnley_2003
21,4,Sheffield United,20,0,0,0,0,K Hill,0,0,2,5,D,5,2003-08-16,West Ham,E1,2,5,5,6,D,6,West Ham_Sheffield United_2003
22,1,Preston,16,1,0,1,0,M Fletcher,0,0,4,12,D,12,2003-08-16,Wigan,E1,7,8,8,17,D,5,Wigan_Preston_2003
23,2,Gillingham,8,0,0,1,0,G Salisbury,0,0,1,9,A,16,2003-08-23,Bradford,E1,6,6,4,13,D,5,Bradford_Gillingham_2003
24,2,Wigan,12,0,0,2,0,A Butler,0,1,3,15,A,9,2003-08-23,Burnley,E1,5,5,10,15,A,2,Burnley_Wigan_2003
25,3,Reading,15,2,0,3,1,Colin Webster,0,3,1,9,A,8,2003-08-23,Derby,E1,8,8,2,13,A,8,Derby_Reading_2003
26,3,Coventry,12,1,0,1,1,Frazer Stretton,0,1,1,4,D,14,2003-08-23,Ipswich,E1,8,5,7,9,D,10,Ipswich_Coventry_2003
27,1,Crewe,22,1,0,1,0,S Tomlin,0,0,3,10,D,11,2003-08-23,Millwall,E1,8,6,4,9,D,6,Millwall_Crewe_2003
28,2,Cardiff,14,1,0,2,0,Howard Webb,0,2,2,14,A,13,2003-08-23,Nott'm Forest,E1,6,5,7,10,A,9,Nott'm Forest_Cardiff_2003
29,2,Sunderland,18,0,0,2,0,T Bates,0,2,4,10,A,11,2003-08-23,Preston,E1,7,6,10,17,A,1,Preston_Sunderland_2003
30,3,West Ham,7,1,0,0,1,M Pike,0,0,1,12,H,11,2003-08-23,Rotherham,E1,5,6,8,13,H,2,Rotherham_West Ham_2003
31,0,Norwich,8,1,0,0,1,C Foy,0,0,3,19,H,8,2003-08-23,Sheffield United,E1,4,9,7,12,H,6,Sheffield United_Norwich_2003
32,4,Stoke,15,1,0,1,0,P Taylor,1,1,4,12,D,10,2003-08-23,Walsall,E1,6,6,9,9,A,6,Walsall_Stoke_2003
33,1,West Brom,16,0,0,1,0,P Armstrong,0,0,1,17,A,6,2003-08-23,Watford,E1,1,5,12,13,D,5,Watford_West Brom_2003
