,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
132,4,Birmingham,22,0,0,1,0,G Eltringham,0,1,3,10,A,14,2015-10-20,Bolton,E1,8,6,6,16,A,4,Bolton_Birmingham_2015
133,3,Bristol City,10,2,0,1,0,I Williamson,0,1,3,9,H,8,2015-10-20,Brighton,E1,5,6,4,18,A,5,Brighton_Bristol City_2015
134,2,Middlesbrough,11,1,0,0,0,D Whitestone,0,0,2,12,H,17,2015-10-20,Cardiff,E1,5,5,5,14,D,6,Cardiff_Middlesbrough_2015
135,2,Preston,9,0,0,3,0,S Hooper,0,2,3,13,A,18,2015-10-20,Charlton,E1,5,1,2,8,A,6,Charlton_Preston_2015
136,4,Milton Keynes Dons,13,2,0,0,0,P Bankes,0,0,2,9,H,9,2015-10-20,Huddersfield,E1,1,5,4,9,D,5,Huddersfield_Milton Keynes Dons_2015
137,2,Ipswich,9,3,0,0,2,C Kavanagh,0,0,1,13,H,15,2015-10-20,Hull,E1,2,5,2,15,H,4,Hull_Ipswich_2015
138,3,Burnley,8,1,0,1,0,S Atwell,1,0,2,6,D,15,2015-10-20,Nott'm Forest,E1,2,5,5,12,D,6,Nott'm Forest_Burnley_2015
139,1,Sheffield Weds,14,0,0,0,0,A Haines,0,0,0,9,D,6,2015-10-20,QPR,E1,0,2,5,19,D,4,QPR_Sheffield Weds_2015
140,2,Reading,14,1,0,1,0,J Simpson,0,1,1,8,D,17,2015-10-20,Rotherham,E1,6,6,6,19,A,6,Rotherham_Reading_2015
141,4,Derby,9,0,0,0,0,D Drysdale,0,0,2,12,D,10,2015-10-21,Blackburn,E1,1,3,6,10,D,2,Blackburn_Derby_2015
142,4,Leeds,16,1,0,1,1,K Hill,0,0,1,10,D,16,2015-10-21,Fulham,E1,8,2,3,11,H,6,Fulham_Leeds_2015
143,1,Brentford,7,0,0,2,0,P Tierney,0,1,2,13,A,15,2015-10-21,Wolves,E1,7,3,4,15,A,3,Wolves_Brentford_2015
144,2,Sheffield Weds,13,1,0,2,0,M Jones,0,0,4,18,A,16,2015-10-23,Rotherham,E1,6,3,1,11,D,1,Rotherham_Sheffield Weds_2015
145,0,Burnley,10,0,0,1,0,K Stroud,0,0,0,12,A,5,2015-10-24,Blackburn,E1,2,6,4,18,D,0,Blackburn_Burnley_2015
146,0,Leeds,15,1,0,1,1,S Hooper,1,0,1,8,D,12,2015-10-24,Bolton,E1,3,3,4,8,H,7,Bolton_Leeds_2015
