year,team,type_rating,value_rating
2011,Eupen,static_ft_total_g>35,227.7
2012,Eupen,static_ft_total_g>35,216.6
2013,Eupen,static_ft_total_g>35,187.4
2014,Eupen,static_ft_total_g>35,172.8
2015,Eupen,static_ft_total_g>35,159.4
2016,Eupen,static_ft_total_g>35,149.5
2017,Eupen,static_ft_total_g>35,289.7
2018,Eupen,static_ft_total_g>35,379.6
2019,Eupen,static_ft_total_g>35,386.3
2020,Eupen,static_ft_total_g>35,325.5
2007,Oud-Heverlee Leuven,static_ft_total_g>35,102.7
2008,Oud-Heverlee Leuven,static_ft_total_g>35,105.5
2009,Oud-Heverlee Leuven,static_ft_total_g>35,120.3
2010,Oud-Heverlee Leuven,static_ft_total_g>35,147.5
2011,Oud-Heverlee Leuven,static_ft_total_g>35,147.7
2012,Oud-Heverlee Leuven,static_ft_total_g>35,290.2
2013,Oud-Heverlee Leuven,static_ft_total_g>35,380.8
2014,Oud-Heverlee Leuven,static_ft_total_g>35,359.5
2015,Oud-Heverlee Leuven,static_ft_total_g>35,289.4
2016,Oud-Heverlee Leuven,static_ft_total_g>35,336.0
2017,Oud-Heverlee Leuven,static_ft_total_g>35,226.0
2018,Oud-Heverlee Leuven,static_ft_total_g>35,196.0
2019,Oud-Heverlee Leuven,static_ft_total_g>35,176.0
2020,Oud-Heverlee Leuven,static_ft_total_g>35,172.0
2007,Louvieroise,static_ft_total_g>35,187.7
2008,Louvieroise,static_ft_total_g>35,146.5
2009,Louvieroise,static_ft_total_g>35,137.9
2010,Louvieroise,static_ft_total_g>35,147.5
2011,Louvieroise,static_ft_total_g>35,147.7
2012,Louvieroise,static_ft_total_g>35,156.6
2013,Louvieroise,static_ft_total_g>35,147.4
2014,Louvieroise,static_ft_total_g>35,152.8
2015,Louvieroise,static_ft_total_g>35,159.4
2016,Louvieroise,static_ft_total_g>35,149.5
2017,Louvieroise,static_ft_total_g>35,116.1
2018,Louvieroise,static_ft_total_g>35,129.4
2019,Louvieroise,static_ft_total_g>35,142.7
2020,Louvieroise,static_ft_total_g>35,172.0
2007,Mouscron,static_ft_total_g>35,317.2
2008,Mouscron,static_ft_total_g>35,272.9
2009,Mouscron,static_ft_total_g>35,269.9
2010,Mouscron,static_ft_total_g>35,229.6
2011,Mouscron,static_ft_total_g>35,179.9
2012,Mouscron,static_ft_total_g>35,168.3
2013,Mouscron,static_ft_total_g>35,147.4
2014,Mouscron,static_ft_total_g>35,152.8
2015,Mouscron,static_ft_total_g>35,159.4
2016,Mouscron,static_ft_total_g>35,149.5
2017,Mouscron,static_ft_total_g>35,182.9
2018,Mouscron,static_ft_total_g>35,273.1
2019,Mouscron,static_ft_total_g>35,246.3
2020,Mouscron,static_ft_total_g>35,304.7
2007,St Truiden,static_ft_total_g>35,270.2
2008,St Truiden,static_ft_total_g>35,258.5
2009,St Truiden,static_ft_total_g>35,205.7
2010,St Truiden,static_ft_total_g>35,191.7
2011,St Truiden,static_ft_total_g>35,159.5
2012,St Truiden,static_ft_total_g>35,263.4
2013,St Truiden,static_ft_total_g>35,227.5
2014,St Truiden,static_ft_total_g>35,206.2
2015,St Truiden,static_ft_total_g>35,186.1
2016,St Truiden,static_ft_total_g>35,149.5
2017,St Truiden,static_ft_total_g>35,236.1
2018,St Truiden,static_ft_total_g>35,233.0
2019,St Truiden,static_ft_total_g>35,292.9
2020,St Truiden,static_ft_total_g>35,310.4
2007,Bergen,static_ft_total_g>35,223.2
2008,Bergen,static_ft_total_g>35,208.3
2009,Bergen,static_ft_total_g>35,211.3
2010,Bergen,static_ft_total_g>35,206.2
2011,Bergen,static_ft_total_g>35,174.1
2012,Bergen,static_ft_total_g>35,285.4
2013,Bergen,static_ft_total_g>35,370.6
2014,Bergen,static_ft_total_g>35,339.5
2015,Bergen,static_ft_total_g>35,276.1
2016,Bergen,static_ft_total_g>35,196.2
2017,Bergen,static_ft_total_g>35,122.8
2018,Bergen,static_ft_total_g>35,129.4
2019,Bergen,static_ft_total_g>35,142.7
2020,Bergen,static_ft_total_g>35,172.0
2007,Oostende,static_ft_total_g>35,137.9
2008,Oostende,static_ft_total_g>35,123.1
2009,Oostende,static_ft_total_g>35,120.3
2010,Oostende,static_ft_total_g>35,147.5
2011,Oostende,static_ft_total_g>35,147.7
2012,Oostende,static_ft_total_g>35,156.6
2013,Oostende,static_ft_total_g>35,147.4
2014,Oostende,static_ft_total_g>35,152.8
2015,Oostende,static_ft_total_g>35,253.0
2016,Oostende,static_ft_total_g>35,326.5
2017,Oostende,static_ft_total_g>35,349.8
2018,Oostende,static_ft_total_g>35,326.3
2019,Oostende,static_ft_total_g>35,279.6
2020,Oostende,static_ft_total_g>35,321.6
2007,Antwerp,static_ft_total_g>35,129.2
2008,Antwerp,static_ft_total_g>35,105.5
2009,Antwerp,static_ft_total_g>35,120.3
2010,Antwerp,static_ft_total_g>35,147.5
2011,Antwerp,static_ft_total_g>35,147.7
2012,Antwerp,static_ft_total_g>35,156.6
2013,Antwerp,static_ft_total_g>35,147.4
2014,Antwerp,static_ft_total_g>35,152.8
2015,Antwerp,static_ft_total_g>35,159.4
2016,Antwerp,static_ft_total_g>35,149.5
2017,Antwerp,static_ft_total_g>35,116.1
2018,Antwerp,static_ft_total_g>35,156.2
2019,Antwerp,static_ft_total_g>35,162.8
2020,Antwerp,static_ft_total_g>35,254.6
2007,Westerlo,static_ft_total_g>35,246.3
2008,Westerlo,static_ft_total_g>35,211.1
2009,Westerlo,static_ft_total_g>35,214.2
2010,Westerlo,static_ft_total_g>35,197.4
2011,Westerlo,static_ft_total_g>35,184.4
2012,Westerlo,static_ft_total_g>35,295.3
2013,Westerlo,static_ft_total_g>35,244.0
2014,Westerlo,static_ft_total_g>35,216.1
2015,Westerlo,static_ft_total_g>35,349.4
2016,Westerlo,static_ft_total_g>35,349.5
2017,Westerlo,static_ft_total_g>35,429.7
2018,Westerlo,static_ft_total_g>35,339.6
2019,Westerlo,static_ft_total_g>35,249.5
2020,Westerlo,static_ft_total_g>35,215.4
2007,Lierse,static_ft_total_g>35,331.9
2008,Lierse,static_ft_total_g>35,252.4
2009,Lierse,static_ft_total_g>35,190.8
2010,Lierse,static_ft_total_g>35,176.9
2011,Lierse,static_ft_total_g>35,227.7
2012,Lierse,static_ft_total_g>35,216.6
2013,Lierse,static_ft_total_g>35,254.2
2014,Lierse,static_ft_total_g>35,276.5
2015,Lierse,static_ft_total_g>35,299.8
2016,Lierse,static_ft_total_g>35,243.1
2017,Lierse,static_ft_total_g>35,162.9
2018,Lierse,static_ft_total_g>35,146.1
2019,Lierse,static_ft_total_g>35,142.7
2020,Lierse,static_ft_total_g>35,172.0
2007,Roeselare,static_ft_total_g>35,305.7
2008,Roeselare,static_ft_total_g>35,335.0
2009,Roeselare,static_ft_total_g>35,332.1
2010,Roeselare,static_ft_total_g>35,339.7
2011,Roeselare,static_ft_total_g>35,251.4
2012,Roeselare,static_ft_total_g>35,207.1
2013,Roeselare,static_ft_total_g>35,165.3
2014,Roeselare,static_ft_total_g>35,152.8
2015,Roeselare,static_ft_total_g>35,159.4
2016,Roeselare,static_ft_total_g>35,149.5
2017,Roeselare,static_ft_total_g>35,116.1
2018,Roeselare,static_ft_total_g>35,129.4
2019,Roeselare,static_ft_total_g>35,142.7
2020,Roeselare,static_ft_total_g>35,172.0
2007,Anderlecht,static_ft_total_g>35,387.5
2008,Anderlecht,static_ft_total_g>35,361.1
2009,Anderlecht,static_ft_total_g>35,355.1
2010,Anderlecht,static_ft_total_g>35,339.7
2011,Anderlecht,static_ft_total_g>35,305.4
2012,Anderlecht,static_ft_total_g>35,352.4
2013,Anderlecht,static_ft_total_g>35,361.6
2014,Anderlecht,static_ft_total_g>35,356.2
2015,Anderlecht,static_ft_total_g>35,349.6
2016,Anderlecht,static_ft_total_g>35,309.5
2017,Anderlecht,static_ft_total_g>35,366.1
2018,Anderlecht,static_ft_total_g>35,399.5
2019,Anderlecht,static_ft_total_g>35,329.7
2020,Anderlecht,static_ft_total_g>35,275.6
2007,Waregem,static_ft_total_g>35,258.5
2008,Waregem,static_ft_total_g>35,299.6
2009,Waregem,static_ft_total_g>35,308.5
2010,Waregem,static_ft_total_g>35,299.1
2011,Waregem,static_ft_total_g>35,269.8
2012,Waregem,static_ft_total_g>35,262.7
2013,Waregem,static_ft_total_g>35,261.3
2014,Waregem,static_ft_total_g>35,289.5
2015,Waregem,static_ft_total_g>35,366.1
2016,Waregem,static_ft_total_g>35,406.2
2017,Waregem,static_ft_total_g>35,389.6
2018,Waregem,static_ft_total_g>35,406.3
2019,Waregem,static_ft_total_g>35,479.8
2020,Waregem,static_ft_total_g>35,451.5
2007,Standard,static_ft_total_g>35,281.8
2008,Standard,static_ft_total_g>35,282.0
2009,Standard,static_ft_total_g>35,296.7
2010,Standard,static_ft_total_g>35,299.1
2011,Standard,static_ft_total_g>35,299.5
2012,Standard,static_ft_total_g>35,299.3
2013,Standard,static_ft_total_g>35,311.7
2014,Standard,static_ft_total_g>35,309.9
2015,Standard,static_ft_total_g>35,306.6
2016,Standard,static_ft_total_g>35,303.3
2017,Standard,static_ft_total_g>35,353.2
2018,Standard,static_ft_total_g>35,366.3
2019,Standard,static_ft_total_g>35,346.4
2020,Standard,static_ft_total_g>35,330.5
2007,Waasland-Beveren,static_ft_total_g>35,102.7
2008,Waasland-Beveren,static_ft_total_g>35,105.5
2009,Waasland-Beveren,static_ft_total_g>35,120.3
2010,Waasland-Beveren,static_ft_total_g>35,147.5
2011,Waasland-Beveren,static_ft_total_g>35,147.7
2012,Waasland-Beveren,static_ft_total_g>35,156.6
2013,Waasland-Beveren,static_ft_total_g>35,187.4
2014,Waasland-Beveren,static_ft_total_g>35,182.8
2015,Waasland-Beveren,static_ft_total_g>35,233.0
2016,Waasland-Beveren,static_ft_total_g>35,319.7
2017,Waasland-Beveren,static_ft_total_g>35,299.7
2018,Waasland-Beveren,static_ft_total_g>35,372.9
2019,Waasland-Beveren,static_ft_total_g>35,336.1
2020,Waasland-Beveren,static_ft_total_g>35,347.9
2007,Mouscron-Peruwelz,static_ft_total_g>35,102.7
2008,Mouscron-Peruwelz,static_ft_total_g>35,105.5
2009,Mouscron-Peruwelz,static_ft_total_g>35,120.3
2010,Mouscron-Peruwelz,static_ft_total_g>35,147.5
2011,Mouscron-Peruwelz,static_ft_total_g>35,147.7
2012,Mouscron-Peruwelz,static_ft_total_g>35,156.6
2013,Mouscron-Peruwelz,static_ft_total_g>35,147.4
2014,Mouscron-Peruwelz,static_ft_total_g>35,152.8
2015,Mouscron-Peruwelz,static_ft_total_g>35,213.0
2016,Mouscron-Peruwelz,static_ft_total_g>35,282.9
2017,Mouscron-Peruwelz,static_ft_total_g>35,212.8
2018,Mouscron-Peruwelz,static_ft_total_g>35,189.4
2019,Mouscron-Peruwelz,static_ft_total_g>35,166.0
