,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
40,18:00:00,1,Angers,3,0,2,1,1,0,0,2,16,H,8,2019-09-13,Lille,F1,4,4,4,13,H,4,Lille_Angers_2019
41,19:45:00,3,Lyon,12,0,2,2,1,0,2,2,14,D,12,2019-09-13,Amiens,F1,6,2,4,11,A,1,Amiens_Lyon_2019
42,16:30:00,2,Strasbourg,12,0,1,0,0,0,0,2,12,H,6,2019-09-14,Paris SG,F1,3,7,5,16,D,2,Paris SG_Strasbourg_2019
43,19:00:00,2,Metz,18,0,2,0,2,0,0,2,15,H,15,2019-09-14,Bordeaux,F1,3,6,4,15,H,6,Bordeaux_Metz_2019
44,19:00:00,2,Rennes,10,0,0,0,0,0,0,2,12,D,9,2019-09-14,Brest,F1,2,2,2,10,D,4,Brest_Rennes_2019
45,19:00:00,3,Nimes,14,0,0,0,0,0,0,1,11,D,7,2019-09-14,Dijon,F1,3,2,6,16,D,0,Dijon_Nimes_2019
46,19:00:00,2,Nice,17,0,2,1,1,0,1,2,11,H,13,2019-09-14,Montpellier,F1,5,8,8,17,D,1,Montpellier_Nice_2019
47,14:00:00,1,Reims,18,0,1,0,0,0,0,3,15,H,9,2019-09-15,Nantes,F1,1,4,7,8,D,5,Nantes_Reims_2019
48,16:00:00,3,Toulouse,15,0,2,2,1,0,2,0,13,D,10,2019-09-15,St Etienne,F1,7,4,9,14,A,7,St Etienne_Toulouse_2019
49,20:00:00,3,Marseille,9,0,3,4,2,0,2,3,14,A,13,2019-09-15,Monaco,F1,6,8,6,12,D,4,Monaco_Marseille_2019
50,19:45:00,2,Nantes,11,0,2,1,0,0,1,2,16,H,10,2019-09-20,Strasbourg,F1,3,5,9,17,A,2,Strasbourg_Nantes_2019
51,16:30:00,4,Montpellier,11,1,1,1,0,2,1,3,17,D,3,2019-09-21,Marseille,F1,2,5,15,24,A,1,Marseille_Montpellier_2019
52,19:00:00,4,Brest,9,0,2,2,1,0,2,3,11,D,13,2019-09-21,Bordeaux,F1,3,5,5,18,A,9,Bordeaux_Brest_2019
53,19:00:00,1,Amiens,13,0,1,2,0,0,1,1,12,A,9,2019-09-21,Metz,F1,5,4,4,13,A,6,Metz_Amiens_2019
