,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
222,3.1,2.6,2.375,0.0,2.6,2.6,,2.5,2.5,2.6,2.5,3.0,2.625,2.5,,,2.6,1.83,2.6,2.87,2.125,1.775,2.1,0.0,1.6,2.8,3.2,3.05,2.02,Lille,Sochaux,Lille_Sochaux_2003
223,4.5,1.27,10.0,-1.5,1.28,8.5,,10.0,8.5,1.25,8.8,4.5,1.286,1.25,,,9.0,1.8,1.27,4.5,2.0,1.9,1.75,-1.5,1.9,4.2,4.5,4.7,2.05,Lyon,Guingamp,Lyon_Guingamp_2003
224,3.6,1.45,6.0,-1.0,1.53,5.5,,6.5,6.0,1.5,6.0,3.4,1.533,1.44,,,5.8,1.9,1.5,3.5,2.0,1.9,2.0,-1.0,1.65,3.6,3.4,3.4,1.95,Marseille,Ajaccio,Marseille_Ajaccio_2003
225,3.1,3.3,2.0,0.5,3.6,1.9,,1.9,2.0,3.2,1.95,3.0,3.5,3.6,,,2.0,2.0,3.45,3.2,1.875,2.025,2.0,0.5,1.65,3.0,3.2,3.2,1.85,Metz,Monaco,Metz_Monaco_2003
226,3.0,1.9,3.75,-0.5,1.83,4.0,,3.75,3.8,1.909,4.4,3.0,1.909,1.9,,,3.6,1.8,1.8,3.1,2.1,1.8,2.1,-0.5,1.6,3.0,3.0,3.0,2.05,Nice,Lens,Nice_Lens_2003
227,3.6,1.4,8.0,-1.0,1.4,7.5,,7.5,6.5,1.364,7.4,3.75,1.444,1.4,,,6.5,1.8,1.4,3.75,1.85,2.05,1.83,-1.25,1.83,3.7,3.75,3.8,2.05,Paris SG,Montpellier,Paris SG_Montpellier_2003
228,3.0,2.5,2.5,0.0,2.5,2.6,,2.7,2.625,2.4,2.7,3.0,2.5,2.37,,,2.5,2.02,2.4,3.0,1.925,1.975,2.2,0.0,1.55,3.0,3.25,3.05,1.83,Rennes,Auxerre,Rennes_Auxerre_2003
229,3.1,1.8,3.75,,1.83,4.0,,5.0,3.75,1.8,4.0,3.25,1.833,1.66,,,3.8,1.9,1.8,3.1,,,2.0,-0.5,1.65,3.1,3.25,3.25,1.95,Strasbourg,Le Mans,Strasbourg_Le Mans_2003
230,3.1,2.1,3.2,-0.5,2.1,3.25,,3.3,3.0,2.0,3.2,3.25,2.1,2.0,,,3.3,2.0,2.1,3.0,2.125,1.775,2.05,-0.25,1.65,2.8,3.2,3.1,1.85,Ajaccio,Strasbourg,Ajaccio_Strasbourg_2003
231,3.0,1.9,3.2,-0.5,2.0,3.5,,3.2,3.2,2.0,3.45,3.2,2.0,2.1,,,3.6,2.1,2.0,3.0,2.1,1.8,2.25,-0.25,1.55,3.0,3.2,3.1,1.75,Guingamp,Bastia,Guingamp_Bastia_2003
