,teams
0,Aachen
1,Augsburg
2,Bayern Munich
3,Bielefeld
4,Bochum
5,Braunschweig
6,Cottbus
7,Darmstadt
8,Dortmund
9,Duisburg
10,Ein Frankfurt
11,FC Koln
12,Fortuna Dusseldorf
13,Freiburg
14,Greuther Furth
15,Hamburg
16,Hannover
17,Hansa Rostock
18,Hertha
19,Hoffenheim
20,Ingolstadt
21,Kaiserslautern
22,Karlsruhe
23,Leverkusen
24,M'gladbach
25,Mainz
26,Munich 1860
27,Nurnberg
28,Paderborn
29,RB Leipzig
30,Schalke 04
31,St Pauli
32,Stuttgart
33,Union Berlin
34,Werder Bremen
35,Wolfsburg
