,HFKC,HY,AwayTeam,AFKC,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
174,21.0,2,Anderlecht,16.0,1,1,0,0,0,0,4,H,8,2019-01-20,Gent,B1,4,5,6,12,D,6,Gent_Anderlecht_2018
175,16.0,4,Oostende,19.0,0,2,1,1,0,1,1,H,10,2019-01-20,Mouscron,B1,5,5,7,15,D,3,Mouscron_Oostende_2018
176,16.0,4,Standard,23.0,0,1,1,0,1,0,3,D,12,2019-01-25,Antwerp,B1,3,4,1,8,D,3,Antwerp_Standard_2018
177,19.0,4,St Truiden,17.0,0,1,2,1,0,1,1,A,8,2019-01-26,Cercle Brugge,B1,7,2,5,6,D,7,Cercle Brugge_St Truiden_2018
178,14.0,2,Waasland-Beveren,20.0,0,2,2,1,1,2,4,D,5,2019-01-26,Charleroi,B1,2,10,9,19,A,0,Charleroi_Waasland-Beveren_2018
179,11.0,1,Mouscron,22.0,0,1,2,0,0,1,6,A,9,2019-01-26,Genk,B1,3,2,12,8,A,3,Genk_Mouscron_2018
180,17.0,3,Waregem,18.0,0,0,3,0,0,2,3,A,8,2019-01-26,Lokeren,B1,6,4,1,6,A,3,Lokeren_Waregem_2018
181,19.0,1,Eupen,12.0,0,2,1,0,0,1,1,H,3,2019-01-27,Anderlecht,B1,2,10,4,16,A,5,Anderlecht_Eupen_2018
182,18.0,3,Gent,19.0,0,1,2,1,0,1,2,A,10,2019-01-27,Kortrijk,B1,5,5,11,9,D,2,Kortrijk_Gent_2018
183,22.0,3,Club Brugge,24.0,1,1,2,1,0,0,5,A,14,2019-01-27,Oostende,B1,6,2,3,4,H,7,Oostende_Club Brugge_2018
184,19.0,1,Charleroi,17.0,0,3,0,1,0,0,2,H,7,2019-02-01,Mouscron,B1,5,7,6,12,H,2,Mouscron_Charleroi_2018
185,21.0,2,Lokeren,19.0,0,2,1,1,0,0,1,H,5,2019-02-02,Kortrijk,B1,3,5,10,11,H,4,Kortrijk_Lokeren_2018
186,16.0,3,Antwerp,22.0,0,0,2,0,0,1,4,A,18,2019-02-02,Oostende,B1,7,4,5,8,A,5,Oostende_Antwerp_2018
187,17.0,4,Genk,13.0,0,1,2,1,0,0,1,A,18,2019-02-02,Waasland-Beveren,B1,9,5,2,8,H,11,Waasland-Beveren_Genk_2018
188,11.0,0,Cercle Brugge,20.0,1,3,2,2,0,1,4,H,15,2019-02-02,Waregem,B1,10,5,4,7,H,4,Waregem_Cercle Brugge_2018
189,19.0,3,Gent,21.0,1,1,1,0,1,1,5,D,8,2019-02-03,Club Brugge,B1,4,9,10,14,A,9,Club Brugge_Gent_2018
190,12.0,2,Eupen,20.0,0,4,1,2,0,1,3,H,9,2019-02-03,St Truiden,B1,3,5,4,14,H,9,St Truiden_Eupen_2018
191,21.0,4,Anderlecht,21.0,0,2,1,1,0,1,2,H,6,2019-02-03,Standard,B1,5,8,1,13,D,2,Standard_Anderlecht_2018
192,13.0,1,Standard,12.0,0,2,0,0,0,0,3,H,9,2019-02-08,Genk,B1,1,11,5,18,D,3,Genk_Standard_2018
193,15.0,1,Oostende,24.0,0,1,1,0,0,0,4,D,7,2019-02-09,Charleroi,B1,4,7,10,20,D,1,Charleroi_Oostende_2018
194,10.0,1,Kortrijk,17.0,0,0,1,0,0,1,1,A,7,2019-02-09,Eupen,B1,4,2,6,7,A,7,Eupen_Kortrijk_2018
195,12.0,3,Antwerp,21.0,0,2,1,1,0,0,0,H,14,2019-02-09,Lokeren,B1,8,7,3,10,H,7,Lokeren_Antwerp_2018
196,17.0,0,Waasland-Beveren,14.0,0,2,1,1,0,1,2,H,4,2019-02-09,St Truiden,B1,3,6,7,13,D,5,St Truiden_Waasland-Beveren_2018
197,14.0,1,Waregem,21.0,0,0,0,0,0,0,2,D,6,2019-02-10,Anderlecht,B1,3,4,6,9,D,6,Anderlecht_Waregem_2018
198,21.0,4,Club Brugge,17.0,0,2,2,1,1,2,4,D,12,2019-02-10,Cercle Brugge,B1,7,2,2,3,A,10,Cercle Brugge_Club Brugge_2018
199,15.0,0,Mouscron,25.0,1,1,2,0,0,1,5,A,12,2019-02-10,Gent,B1,5,10,9,11,A,4,Gent_Mouscron_2018
200,10.0,0,Lokeren,8.0,0,3,1,2,0,0,0,H,13,2019-02-15,Standard,B1,9,13,9,14,H,5,Standard_Lokeren_2018
201,20.0,6,Charleroi,17.0,0,1,2,0,0,0,2,A,8,2019-02-16,Kortrijk,B1,7,5,7,9,D,1,Kortrijk_Charleroi_2018
202,27.0,2,Eupen,18.0,1,1,1,1,0,0,2,D,9,2019-02-16,Oostende,B1,4,7,4,12,H,5,Oostende_Eupen_2018
203,18.0,5,Gent,26.0,0,2,1,1,1,0,3,H,17,2019-02-16,Waasland-Beveren,B1,11,3,2,9,H,6,Waasland-Beveren_Gent_2018
204,18.0,3,St Truiden,15.0,0,1,1,0,0,0,1,D,7,2019-02-16,Waregem,B1,3,9,7,14,D,5,Waregem_St Truiden_2018
205,24.0,4,Anderlecht,20.0,0,0,1,0,0,0,1,A,3,2019-02-17,Antwerp,B1,2,2,6,7,D,7,Antwerp_Anderlecht_2018
206,25.0,0,Genk,23.0,0,3,1,2,0,0,0,H,6,2019-02-17,Club Brugge,B1,6,6,5,8,H,4,Club Brugge_Genk_2018
207,16.0,2,Cercle Brugge,17.0,0,3,0,0,0,0,3,H,3,2019-02-17,Mouscron,B1,3,6,1,13,D,3,Mouscron_Cercle Brugge_2018
208,18.0,2,Standard,13.0,0,2,1,2,0,0,5,H,9,2019-02-22,Gent,B1,5,8,3,14,H,4,Gent_Standard_2018
209,15.0,1,Oostende,14.0,1,2,2,0,0,0,2,D,13,2019-02-23,Cercle Brugge,B1,6,6,9,13,D,1,Cercle Brugge_Oostende_2018
210,25.0,3,Waregem,15.0,1,2,3,1,0,1,3,A,20,2019-02-23,Eupen,B1,9,5,7,11,D,9,Eupen_Waregem_2018
211,16.0,2,Lokeren,14.0,0,1,0,0,0,0,0,H,6,2019-02-23,Mouscron,B1,3,2,10,9,D,2,Mouscron_Lokeren_2018
212,19.0,0,Kortrijk,19.0,0,2,6,0,0,2,4,A,13,2019-02-23,Waasland-Beveren,B1,9,2,5,4,A,4,Waasland-Beveren_Kortrijk_2018
213,15.0,1,Club Brugge,16.0,0,2,2,1,0,1,3,D,8,2019-02-24,Anderlecht,B1,5,9,7,13,D,4,Anderlecht_Club Brugge_2018
214,15.0,2,Antwerp,17.0,0,0,0,0,0,0,5,D,7,2019-02-24,Genk,B1,3,7,10,14,D,2,Genk_Antwerp_2018
215,10.0,0,Charleroi,23.0,0,3,1,2,0,1,2,H,11,2019-02-24,St Truiden,B1,5,6,4,11,H,8,St Truiden_Charleroi_2018
216,16.0,2,Mouscron,19.0,0,1,1,0,0,0,3,D,12,2019-03-01,Standard,B1,7,8,7,11,D,3,Standard_Mouscron_2018
217,18.0,3,Genk,22.0,0,1,1,0,0,1,1,D,11,2019-03-02,Charleroi,B1,4,6,4,9,A,8,Charleroi_Genk_2018
218,17.0,2,St Truiden,19.0,0,1,0,0,0,0,6,H,8,2019-03-02,Club Brugge,B1,0,7,9,11,D,4,Club Brugge_St Truiden_2018
219,15.0,3,Cercle Brugge,18.0,0,2,1,0,0,1,2,H,14,2019-03-02,Kortrijk,B1,3,7,8,14,A,6,Kortrijk_Cercle Brugge_2018
220,18.0,3,Waasland-Beveren,9.0,0,1,1,0,0,0,0,D,19,2019-03-02,Oostende,B1,9,7,8,13,D,7,Oostende_Waasland-Beveren_2018
221,20.0,4,Eupen,21.0,0,2,1,0,0,0,2,H,6,2019-03-03,Antwerp,B1,5,7,7,14,D,4,Antwerp_Eupen_2018
222,16.0,1,Anderlecht,14.0,0,1,2,0,0,1,3,A,7,2019-03-03,Lokeren,B1,4,4,8,6,A,11,Lokeren_Anderlecht_2018
223,21.0,1,Gent,21.0,0,1,3,1,0,1,2,A,13,2019-03-03,Waregem,B1,6,5,3,13,D,3,Waregem_Gent_2018
224,16.0,0,Kortrijk,19.0,0,2,0,1,0,0,2,H,5,2019-03-10,Anderlecht,B1,5,4,8,9,H,5,Anderlecht_Kortrijk_2018
225,15.0,0,Charleroi,15.0,1,1,2,1,0,1,3,A,6,2019-03-10,Antwerp,B1,3,3,4,9,D,7,Antwerp_Charleroi_2018
226,18.0,2,Standard,13.0,0,1,2,0,0,2,1,A,6,2019-03-10,Cercle Brugge,B1,2,2,5,5,A,4,Cercle Brugge_Standard_2018
227,13.0,0,Club Brugge,17.0,0,0,4,0,0,3,0,A,13,2019-03-10,Eupen,B1,10,2,2,3,A,3,Eupen_Club Brugge_2018
228,11.0,0,Lokeren,12.0,0,1,0,0,0,0,3,H,7,2019-03-10,Genk,B1,1,4,9,12,D,0,Genk_Lokeren_2018
229,16.0,1,Oostende,6.0,0,2,1,1,0,1,0,H,6,2019-03-10,Gent,B1,2,6,8,19,D,3,Gent_Oostende_2018
230,18.0,4,St Truiden,19.0,0,1,1,1,2,1,2,D,16,2019-03-10,Mouscron,B1,10,3,5,11,D,9,Mouscron_St Truiden_2018
231,23.0,1,Waregem,19.0,0,1,1,0,0,0,1,D,12,2019-03-10,Waasland-Beveren,B1,7,7,4,13,D,5,Waasland-Beveren_Waregem_2018
232,21.0,3,Eupen,18.0,0,1,2,1,0,1,1,A,7,2019-03-17,Charleroi,B1,3,3,5,6,D,3,Charleroi_Eupen_2018
233,21.0,1,Mouscron,20.0,0,1,2,0,0,1,1,A,8,2019-03-17,Club Brugge,B1,6,6,5,11,A,5,Club Brugge_Mouscron_2018
234,22.0,2,Antwerp,14.0,0,2,0,0,0,0,2,H,11,2019-03-17,Kortrijk,B1,4,3,3,6,D,8,Kortrijk_Antwerp_2018
235,10.0,0,Cercle Brugge,20.0,0,3,1,3,0,0,2,H,4,2019-03-17,Lokeren,B1,3,5,7,10,H,4,Lokeren_Cercle Brugge_2018
236,10.0,1,Anderlecht,7.0,0,0,2,0,0,0,1,A,18,2019-03-17,Oostende,B1,7,2,5,10,D,7,Oostende_Anderlecht_2018
237,12.0,1,Gent,23.0,0,0,2,0,0,1,2,A,14,2019-03-17,St Truiden,B1,6,6,6,15,A,7,St Truiden_Gent_2018
238,11.0,1,Waasland-Beveren,16.0,0,4,3,0,0,2,2,H,7,2019-03-17,Standard,B1,5,11,14,24,A,5,Standard_Waasland-Beveren_2018
239,10.0,2,Genk,14.0,0,3,3,1,0,2,2,D,13,2019-03-17,Waregem,B1,7,6,1,11,A,5,Waregem_Genk_2018
