,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
173,1,B1,Lierse,D,0,2005-01-29,H,Germinal,2,2,Germinal_Lierse_2004
174,3,B1,Mouscron,H,1,2005-01-29,H,St Truiden,3,2,St Truiden_Mouscron_2004
175,1,B1,Cercle Brugge,H,0,2005-01-29,H,Standard,4,0,Standard_Cercle Brugge_2004
176,1,B1,Charleroi,H,0,2005-01-29,H,Westerlo,2,1,Westerlo_Charleroi_2004
177,0,B1,Genk,A,0,2005-01-30,D,Lokeren,1,3,Lokeren_Genk_2004
178,0,B1,FC Brussels,H,0,2005-01-30,D,Louvieroise,1,0,Louvieroise_FC Brussels_2004
179,3,B1,St Truiden,H,1,2005-02-05,H,Beveren,3,1,Beveren_St Truiden_2004
180,0,B1,Standard,A,0,2005-02-05,D,FC Brussels,0,1,FC Brussels_Standard_2004
181,0,B1,Louvieroise,H,0,2005-02-05,D,Genk,1,0,Genk_Louvieroise_2004
182,0,B1,Club Brugge,A,1,2005-02-05,A,Lierse,0,2,Lierse_Club Brugge_2004
183,1,B1,Lokeren,D,1,2005-02-05,D,Mouscron,1,1,Mouscron_Lokeren_2004
184,0,B1,Bergen,H,0,2005-02-05,D,Oostende,1,0,Oostende_Bergen_2004
185,0,B1,Westerlo,D,0,2005-02-06,D,Cercle Brugge,0,0,Cercle Brugge_Westerlo_2004
186,0,B1,Germinal,H,0,2005-02-06,D,Charleroi,1,0,Charleroi_Germinal_2004
187,0,B1,Anderlecht,D,0,2005-02-06,D,Gent,0,0,Gent_Anderlecht_2004
188,0,B1,Oostende,A,1,2005-02-12,A,Anderlecht,0,1,Anderlecht_Oostende_2004
189,1,B1,Mouscron,D,1,2005-02-12,D,Beveren,2,2,Beveren_Mouscron_2004
190,0,B1,Lokeren,D,0,2005-02-12,D,Louvieroise,0,0,Louvieroise_Lokeren_2004
191,0,B1,FC Brussels,H,0,2005-02-12,D,Westerlo,1,0,Westerlo_FC Brussels_2004
192,1,B1,Lierse,H,1,2005-02-13,D,Bergen,4,1,Bergen_Lierse_2004
193,0,B1,Charleroi,D,1,2005-02-13,A,Club Brugge,1,1,Club Brugge_Charleroi_2004
194,2,B1,Cercle Brugge,A,1,2005-02-13,H,Germinal,2,3,Germinal_Cercle Brugge_2004
195,1,B1,Anderlecht,D,0,2005-02-18,H,Lierse,1,1,Lierse_Anderlecht_2004
196,0,B1,Bergen,H,0,2005-02-19,D,Charleroi,1,0,Charleroi_Bergen_2004
197,1,B1,Westerlo,H,2,2005-02-19,A,Genk,3,2,Genk_Westerlo_2004
198,1,B1,Beveren,H,0,2005-02-19,H,Gent,1,0,Gent_Beveren_2004
199,0,B1,Standard,D,0,2005-02-19,D,Lokeren,0,0,Lokeren_Standard_2004
200,1,B1,Louvieroise,D,1,2005-02-19,D,Mouscron,1,1,Mouscron_Louvieroise_2004
201,0,B1,St Truiden,H,0,2005-02-19,D,Oostende,1,0,Oostende_St Truiden_2004
202,1,B1,Club Brugge,A,0,2005-02-20,H,Cercle Brugge,1,2,Cercle Brugge_Club Brugge_2004
203,2,B1,Germinal,H,0,2005-02-20,H,FC Brussels,2,1,FC Brussels_Germinal_2004
204,1,B1,Anderlecht,A,2,2005-02-25,A,Bergen,1,2,Bergen_Anderlecht_2004
205,0,B1,Genk,H,0,2005-02-25,D,Standard,1,0,Standard_Genk_2004
206,0,B1,Gent,A,1,2005-02-26,A,St Truiden,0,2,St Truiden_Gent_2004
207,2,B1,Charleroi,H,0,2005-03-08,H,Anderlecht,3,0,Anderlecht_Charleroi_2004
208,0,B1,Mouscron,H,0,2005-03-08,D,Gent,1,0,Gent_Mouscron_2004
209,0,B1,Cercle Brugge,A,0,2005-03-09,D,Bergen,1,3,Bergen_Cercle Brugge_2004
210,0,B1,Oostende,D,1,2005-03-09,A,Beveren,2,2,Beveren_Oostende_2004
211,3,B1,FC Brussels,H,1,2005-03-09,H,Club Brugge,4,1,Club Brugge_FC Brussels_2004
212,2,B1,Genk,H,0,2005-03-09,H,Germinal,3,1,Germinal_Genk_2004
213,3,B1,Lierse,H,0,2005-03-09,H,St Truiden,4,0,St Truiden_Lierse_2004
214,1,B1,Lokeren,D,1,2005-03-09,D,Westerlo,1,1,Westerlo_Lokeren_2004
215,0,B1,Standard,A,1,2005-03-11,A,Mouscron,0,3,Mouscron_Standard_2004
216,0,B1,St Truiden,D,0,2005-03-12,D,Charleroi,0,0,Charleroi_St Truiden_2004
217,2,B1,Bergen,H,1,2005-03-12,H,FC Brussels,2,1,FC Brussels_Bergen_2004
218,0,B1,Germinal,A,0,2005-03-12,D,Lokeren,0,1,Lokeren_Germinal_2004
219,0,B1,Westerlo,A,1,2005-03-12,A,Louvieroise,1,2,Louvieroise_Westerlo_2004
220,1,B1,Gent,A,1,2005-03-12,D,Oostende,1,2,Oostende_Gent_2004
221,0,B1,Anderlecht,A,2,2005-03-13,A,Cercle Brugge,1,3,Cercle Brugge_Anderlecht_2004
222,1,B1,Club Brugge,H,0,2005-03-13,H,Genk,2,1,Genk_Club Brugge_2004
223,1,B1,Beveren,A,1,2005-03-13,D,Lierse,1,3,Lierse_Beveren_2004
224,0,B1,Louvieroise,H,0,2005-03-16,D,Standard,1,0,Standard_Louvieroise_2004
225,0,B1,Genk,A,0,2005-03-18,D,Bergen,1,2,Bergen_Genk_2004
226,0,B1,FC Brussels,H,0,2005-03-19,D,Anderlecht,3,0,Anderlecht_FC Brussels_2004
227,0,B1,Charleroi,A,0,2005-03-19,D,Beveren,1,2,Beveren_Charleroi_2004
228,0,B1,Lokeren,D,0,2005-03-19,D,Club Brugge,0,0,Club Brugge_Lokeren_2004
229,0,B1,Lierse,H,0,2005-03-19,D,Gent,1,0,Gent_Lierse_2004
230,0,B1,Louvieroise,D,0,2005-03-19,D,Germinal,1,1,Germinal_Louvieroise_2004
231,0,B1,Cercle Brugge,A,1,2005-03-19,A,St Truiden,0,1,St Truiden_Cercle Brugge_2004
232,0,B1,Standard,A,2,2005-03-19,A,Westerlo,1,3,Westerlo_Standard_2004
233,1,B1,Mouscron,H,0,2005-03-20,H,Oostende,1,0,Oostende_Mouscron_2004
234,1,B1,Beveren,D,0,2005-04-02,H,Cercle Brugge,1,1,Cercle Brugge_Beveren_2004
235,1,B1,Gent,H,0,2005-04-02,H,Charleroi,3,2,Charleroi_Gent_2004
236,1,B1,Oostende,H,0,2005-04-02,H,Lierse,3,1,Lierse_Oostende_2004
237,0,B1,Bergen,D,0,2005-04-02,D,Lokeren,0,0,Lokeren_Bergen_2004
238,0,B1,Club Brugge,A,0,2005-04-02,D,Louvieroise,0,2,Louvieroise_Club Brugge_2004
239,1,B1,Germinal,H,0,2005-04-02,H,Standard,3,0,Standard_Germinal_2004
240,0,B1,St Truiden,A,0,2005-04-03,D,FC Brussels,0,1,FC Brussels_St Truiden_2004
241,1,B1,Anderlecht,A,0,2005-04-03,H,Genk,2,4,Genk_Anderlecht_2004
242,0,B1,Westerlo,H,0,2005-04-03,D,Mouscron,3,0,Mouscron_Westerlo_2004
243,0,B1,Genk,A,1,2005-04-08,A,St Truiden,0,2,St Truiden_Genk_2004
244,1,B1,Lokeren,H,0,2005-04-09,H,Anderlecht,2,0,Anderlecht_Lokeren_2004
245,3,B1,Louvieroise,H,1,2005-04-09,H,Bergen,4,1,Bergen_Louvieroise_2004
246,0,B1,Cercle Brugge,A,1,2005-04-09,A,Gent,1,2,Gent_Cercle Brugge_2004
247,1,B1,Westerlo,H,0,2005-04-09,H,Germinal,1,0,Germinal_Westerlo_2004
248,0,B1,Mouscron,A,0,2005-04-09,D,Lierse,0,1,Lierse_Mouscron_2004
249,0,B1,Charleroi,A,1,2005-04-09,A,Oostende,1,2,Oostende_Charleroi_2004
250,0,B1,FC Brussels,A,0,2005-04-10,D,Beveren,0,1,Beveren_FC Brussels_2004
251,1,B1,Standard,D,1,2005-04-10,D,Club Brugge,1,1,Club Brugge_Standard_2004
252,1,B1,Club Brugge,A,1,2005-04-15,D,Westerlo,1,3,Westerlo_Club Brugge_2004
253,1,B1,Lierse,H,0,2005-04-16,H,Charleroi,1,0,Charleroi_Lierse_2004
254,1,B1,Gent,D,1,2005-04-16,D,FC Brussels,1,1,FC Brussels_Gent_2004
255,1,B1,Beveren,H,0,2005-04-16,H,Genk,2,1,Genk_Beveren_2004
256,3,B1,St Truiden,H,1,2005-04-16,H,Lokeren,4,3,Lokeren_St Truiden_2004
257,0,B1,Germinal,A,1,2005-04-16,A,Mouscron,0,1,Mouscron_Germinal_2004
258,2,B1,Oostende,H,0,2005-04-17,H,Cercle Brugge,2,0,Cercle Brugge_Oostende_2004
259,1,B1,Anderlecht,D,1,2005-04-17,D,Louvieroise,1,1,Louvieroise_Anderlecht_2004
260,1,B1,Bergen,H,0,2005-04-17,H,Standard,2,0,Standard_Bergen_2004
261,1,B1,Standard,H,1,2005-04-22,D,Anderlecht,3,2,Anderlecht_Standard_2004
262,1,B1,Westerlo,H,1,2005-04-23,D,Bergen,3,2,Bergen_Westerlo_2004
263,0,B1,Lokeren,A,2,2005-04-23,A,Beveren,0,2,Beveren_Lokeren_2004
264,4,B1,Germinal,H,0,2005-04-23,H,Club Brugge,6,0,Club Brugge_Germinal_2004
265,0,B1,Genk,A,0,2005-04-23,D,Gent,0,1,Gent_Genk_2004
266,1,B1,FC Brussels,H,0,2005-04-23,H,Oostende,1,0,Oostende_FC Brussels_2004
267,0,B1,Louvieroise,H,1,2005-04-23,A,St Truiden,2,1,St Truiden_Louvieroise_2004
268,2,B1,Mouscron,H,0,2005-04-24,H,Charleroi,2,0,Charleroi_Mouscron_2004
269,0,B1,Cercle Brugge,H,0,2005-04-24,D,Lierse,2,0,Lierse_Cercle Brugge_2004
270,2,B1,Anderlecht,D,1,2005-04-29,H,Westerlo,2,2,Westerlo_Anderlecht_2004
271,1,B1,Lierse,H,2,2005-04-30,A,FC Brussels,3,2,FC Brussels_Lierse_2004
272,0,B1,Oostende,D,0,2005-04-30,D,Genk,2,2,Genk_Oostende_2004
273,1,B1,Bergen,H,0,2005-04-30,H,Germinal,2,0,Germinal_Bergen_2004
274,0,B1,Gent,A,0,2005-04-30,D,Lokeren,0,1,Lokeren_Gent_2004
275,0,B1,Beveren,H,0,2005-04-30,D,Louvieroise,3,0,Louvieroise_Beveren_2004
276,0,B1,Club Brugge,A,0,2005-04-30,D,Mouscron,0,1,Mouscron_Club Brugge_2004
277,3,B1,St Truiden,H,0,2005-04-30,H,Standard,4,1,Standard_St Truiden_2004
278,0,B1,Charleroi,A,2,2005-05-01,A,Cercle Brugge,0,4,Cercle Brugge_Charleroi_2004
279,0,B1,Club Brugge,D,0,2005-05-06,D,Bergen,0,0,Bergen_Club Brugge_2004
280,1,B1,Germinal,H,0,2005-05-07,H,Anderlecht,3,0,Anderlecht_Germinal_2004
281,1,B1,Standard,A,2,2005-05-07,A,Beveren,2,3,Beveren_Standard_2004
