,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,0,B1,Anderlecht,A,1,2008-08-16,A,Cercle Brugge,0,3,Cercle Brugge_Anderlecht_2008
1,0,B1,Standard,A,1,2008-08-16,A,Dender,1,3,Dender_Standard_2008
2,1,B1,Kortrijk,D,1,2008-08-16,D,Roeselare,2,2,Roeselare_Kortrijk_2008
3,0,B1,Mouscron,A,1,2008-08-16,A,Tubize,1,2,Tubize_Mouscron_2008
4,0,B1,Lokeren,D,0,2008-08-16,D,Waregem,0,0,Waregem_Lokeren_2008
5,1,B1,Charleroi,H,0,2008-08-16,H,Westerlo,1,0,Westerlo_Charleroi_2008
6,1,B1,Germinal,D,0,2008-08-17,H,Genk,1,1,Genk_Germinal_2008
7,3,B1,Bergen,H,0,2008-08-17,H,Gent,5,0,Gent_Bergen_2008
8,2,B1,Gent,D,2,2008-08-23,D,Anderlecht,2,2,Anderlecht_Gent_2008
9,0,B1,Roeselare,H,0,2008-08-23,D,Charleroi,1,0,Charleroi_Roeselare_2008
10,1,B1,Dender,D,1,2008-08-23,D,Germinal,1,1,Germinal_Dender_2008
11,1,B1,Cercle Brugge,H,0,2008-08-23,H,Kortrijk,2,1,Kortrijk_Cercle Brugge_2008
12,2,B1,Tubize,H,0,2008-08-23,H,Lokeren,4,1,Lokeren_Tubize_2008
13,1,B1,Mechelen,H,1,2008-08-23,D,Mouscron,3,1,Mouscron_Mechelen_2008
14,2,B1,Westerlo,H,0,2008-08-23,H,Standard,3,0,Standard_Westerlo_2008
15,2,B1,Genk,H,0,2008-08-24,H,Bergen,3,1,Bergen_Genk_2008
16,0,B1,Club Brugge,A,3,2008-08-29,A,Tubize,1,4,Tubize_Club Brugge_2008
17,2,B1,Kortrijk,H,0,2008-08-30,H,Anderlecht,4,0,Anderlecht_Kortrijk_2008
18,1,B1,Bergen,H,0,2008-08-30,H,Cercle Brugge,2,1,Cercle Brugge_Bergen_2008
19,0,B1,Mouscron,A,1,2008-08-30,A,Dender,1,2,Dender_Mouscron_2008
20,0,B1,Lokeren,H,0,2008-08-30,D,Genk,1,0,Genk_Lokeren_2008
21,0,B1,Waregem,A,0,2008-08-30,D,Mechelen,0,2,Mechelen_Waregem_2008
22,0,B1,Germinal,H,0,2008-08-30,D,Westerlo,1,0,Westerlo_Germinal_2008
23,1,B1,Charleroi,H,0,2008-08-31,H,Gent,2,0,Gent_Charleroi_2008
24,0,B1,Standard,D,1,2008-08-31,A,Roeselare,1,1,Roeselare_Standard_2008
25,1,B1,Anderlecht,A,1,2008-09-13,D,Bergen,1,2,Bergen_Anderlecht_2008
26,0,B1,Dender,D,1,2008-09-13,A,Club Brugge,1,1,Club Brugge_Dender_2008
27,0,B1,Roeselare,H,0,2008-09-13,D,Germinal,3,0,Germinal_Roeselare_2008
28,1,B1,Westerlo,D,0,2008-09-13,H,Lokeren,1,1,Lokeren_Westerlo_2008
29,0,B1,Tubize,D,0,2008-09-13,D,Mechelen,0,0,Mechelen_Tubize_2008
30,3,B1,Gent,H,0,2008-09-13,H,Mouscron,4,2,Mouscron_Gent_2008
31,1,B1,Kortrijk,H,0,2008-09-13,H,Standard,2,0,Standard_Kortrijk_2008
32,2,B1,Cercle Brugge,H,2,2008-09-14,D,Charleroi,3,2,Charleroi_Cercle Brugge_2008
33,1,B1,Genk,A,1,2008-09-14,D,Waregem,1,3,Waregem_Genk_2008
34,0,B1,Charleroi,H,0,2008-09-19,D,Anderlecht,2,0,Anderlecht_Charleroi_2008
35,1,B1,Germinal,H,0,2008-09-20,H,Cercle Brugge,1,0,Cercle Brugge_Germinal_2008
