,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
97,3.1,2.4,2.5,,2.5,2.5,3.2,2.5,2.62,2.4,2.6,3.1,2.4,2.5,2.6,2.4,2.6,1.43,2.4,3.1,,,1.65,-0.5,2.0,3.0,3.25,3.2,2.4,Cercle Brugge,Gent,Cercle Brugge_Gent_2004
98,3.3,1.75,3.5,,1.91,3.5,3.4,3.4,3.5,1.83,4.4,3.2,1.9,1.9,4.05,1.75,4.0,1.85,1.75,3.2,,,1.71,-0.5,1.95,3.2,3.4,3.2,1.75,Mouscron,Lierse,Mouscron_Lierse_2004
99,5.5,1.2,11.0,-1.75,1.22,9.5,6.0,9.0,11.0,1.2,10.5,5.0,1.2,1.2,10.0,1.18,10.0,3.57,1.2,5.0,1.725,2.125,1.6,-0.5,2.1,5.0,5.0,5.4,1.2,Club Brugge,Westerlo,Club Brugge_Westerlo_2004
100,4.0,1.4,7.0,-1.25,1.4,7.0,4.0,8.0,7.0,1.4,7.0,3.75,1.4,1.33,6.75,1.4,6.0,1.52,1.4,3.75,1.85,2.0,1.55,-1.5,2.2,3.9,3.75,3.9,1.95,Anderlecht,Louvieroise,Anderlecht_Louvieroise_2004
101,3.3,3.8,1.91,0.5,3.6,1.85,3.35,1.9,1.9,3.25,1.9,3.25,3.4,3.3,1.85,3.65,1.8,1.9,3.55,3.25,1.975,1.875,1.8,0.5,1.85,3.1,3.4,3.3,1.71,Bergen,Standard,Bergen_Standard_2004
102,3.15,2.3,3.0,-0.25,2.0,3.2,3.2,3.2,3.0,2.0,2.95,3.2,2.1,2.0,2.9,2.2,2.7,1.46,2.15,3.2,1.975,1.875,1.65,-1.5,2.0,3.0,3.4,3.25,2.07,Germinal,Mouscron,Germinal_Mouscron_2004
103,3.3,2.0,3.2,-0.25,2.0,3.2,3.25,3.1,3.2,1.91,3.2,3.2,2.0,2.0,3.15,2.05,3.2,1.64,2.0,3.2,1.8,2.05,1.75,-0.5,1.9,3.1,3.5,3.35,2.0,Lierse,Charleroi,Lierse_Charleroi_2004
104,3.15,2.5,2.4,0.0,2.5,2.5,3.2,2.5,2.4,2.5,2.45,3.25,2.5,2.45,2.55,2.45,2.5,2.45,2.5,3.1,1.925,1.925,1.75,0.5,1.9,3.0,3.25,3.3,1.42,St Truiden,Lokeren,St Truiden_Lokeren_2004
105,3.2,2.7,2.38,0.0,2.5,2.5,3.2,2.5,2.5,2.5,2.45,3.25,2.4,2.4,2.5,2.5,2.3,2.45,2.55,3.1,1.925,1.925,1.71,0.5,1.95,3.0,3.25,3.2,1.42,Beveren,Genk,Beveren_Genk_2004
106,3.7,1.45,6.0,-1.25,1.44,6.0,3.8,6.0,6.0,1.4,6.0,3.75,1.44,1.45,6.25,1.45,5.4,1.55,1.45,3.75,1.95,1.9,1.79,-0.5,1.85,3.8,4.0,3.9,2.15,Gent,FC Brussels,Gent_FC Brussels_2004
107,3.15,2.3,2.5,0.0,2.4,2.6,3.2,2.55,2.5,2.38,2.55,3.25,2.4,2.4,2.6,2.4,2.7,1.42,2.45,3.1,1.825,2.025,1.71,-0.5,1.95,3.0,3.25,3.2,2.45,Oostende,Cercle Brugge,Oostende_Cercle Brugge_2004
108,3.15,2.1,2.75,-0.25,2.0,3.2,3.25,3.0,2.6,2.2,3.15,3.4,2.25,2.1,3.4,1.95,3.1,1.6,2.05,3.2,1.85,2.0,1.6,-0.5,2.1,3.0,3.25,3.25,2.05,Cercle Brugge,Lierse,Cercle Brugge_Lierse_2004
109,3.25,1.8,3.75,-0.5,1.8,3.8,3.4,3.6,3.75,1.8,3.85,3.25,1.83,1.85,4.05,1.75,3.8,1.76,1.85,3.25,1.85,2.0,1.83,-0.5,1.83,3.1,3.25,3.25,1.85,FC Brussels,Oostende,FC Brussels_Oostende_2004
110,3.25,1.8,4.33,-0.5,1.85,3.6,3.4,4.3,3.75,1.73,3.7,3.25,1.83,1.7,4.05,1.75,3.8,1.73,1.87,3.25,1.875,1.975,1.6,-0.5,2.1,3.1,3.2,3.25,1.87,Genk,Gent,Genk_Gent_2004
111,3.55,5.0,1.67,1.0,4.5,1.62,3.65,1.55,1.57,4.5,1.6,3.5,5.0,5.0,1.5,5.8,1.5,1.6,5.0,3.5,1.875,1.975,1.75,0.5,1.9,3.7,3.25,3.5,2.06,Germinal,Club Brugge,Germinal_Club Brugge_2004
112,3.25,1.8,3.75,-0.5,1.8,3.8,3.45,4.3,4.0,1.8,4.1,3.4,1.72,1.7,4.3,1.7,3.8,1.86,1.75,3.25,1.8,2.05,1.75,-0.5,1.9,3.1,3.25,3.4,1.75,Lokeren,Beveren,Lokeren_Beveren_2004
113,3.55,1.65,4.5,-1.0,1.57,5.0,3.65,5.0,5.0,1.62,5.0,3.5,1.57,1.55,5.8,1.5,4.4,2.06,1.6,3.5,2.075,1.775,1.71,-0.5,1.95,3.3,3.5,3.5,1.6,Louvieroise,St Truiden,Louvieroise_St Truiden_2004
114,3.15,1.9,3.2,-0.5,2.0,3.2,3.25,3.1,3.4,2.0,3.3,3.2,1.9,2.05,3.4,1.95,3.5,1.64,2.0,3.2,2.0,1.85,1.76,-0.5,1.87,3.1,3.2,3.25,2.0,Mouscron,Charleroi,Mouscron_Charleroi_2004
115,3.05,2.7,2.25,0.25,2.9,2.15,3.25,2.05,2.1,2.62,2.2,3.2,3.0,3.2,2.0,3.3,2.3,2.2,2.9,3.2,1.975,1.875,1.65,0.5,2.0,3.0,3.4,3.2,1.52,Standard,Anderlecht,Standard_Anderlecht_2004
