,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
185,19:00:00,3,Cercle Brugge,11,0,1,0,1,0,0,2,12,H,9,2020-02-01,Eupen,B1,4,4,4,9,H,6,Eupen_Cercle Brugge_2019
186,19:00:00,2,St Truiden,12,1,1,0,0,0,0,2,12,H,7,2020-02-01,Oostende,B1,3,5,2,7,D,7,Oostende_St Truiden_2019
187,19:30:00,3,Gent,5,0,0,3,0,0,1,2,12,A,8,2020-02-01,Mechelen,B1,5,5,7,14,A,5,Mechelen_Gent_2019
188,13:30:00,2,Antwerp,16,0,1,0,0,0,0,2,19,H,4,2020-02-02,Club Brugge,B1,2,5,2,11,D,0,Club Brugge_Antwerp_2019
189,17:00:00,2,Mouscron,17,0,1,0,0,0,0,3,19,H,4,2020-02-02,Anderlecht,B1,2,6,5,14,D,2,Anderlecht_Mouscron_2019
190,19:00:00,1,Waasland-Beveren,14,0,5,0,3,0,0,3,15,H,9,2020-02-02,Waregem,B1,4,9,5,12,H,2,Waregem_Waasland-Beveren_2019
191,19:30:00,2,Anderlecht,14,0,1,1,1,0,1,4,13,D,11,2020-02-07,Gent,B1,7,5,3,12,D,6,Gent_Anderlecht_2019
192,17:00:00,2,Waregem,15,1,4,0,1,0,0,4,10,H,6,2020-02-08,Charleroi,B1,3,7,5,12,H,7,Charleroi_Waregem_2019
193,19:00:00,1,Mechelen,15,0,3,2,2,0,1,2,9,H,6,2020-02-08,Cercle Brugge,B1,3,5,6,12,H,1,Cercle Brugge_Mechelen_2019
194,19:00:00,4,Eupen,8,0,5,2,3,1,2,2,16,H,10,2020-02-08,St Truiden,B1,4,5,5,12,H,2,St Truiden_Eupen_2019
195,19:30:00,0,Oostende,9,0,3,1,0,0,1,1,11,H,10,2020-02-08,Mouscron,B1,5,6,6,11,A,5,Mouscron_Oostende_2019
196,19:30:00,2,Mechelen,17,0,2,1,0,0,0,3,6,H,4,2020-02-11,Charleroi,B1,1,4,4,5,D,3,Charleroi_Mechelen_2019
197,19:30:00,2,Club Brugge,13,0,0,0,0,0,0,2,23,D,7,2020-02-12,Standard,B1,3,1,4,5,D,5,Standard_Club Brugge_2019
198,19:30:00,2,Kortrijk,10,0,1,2,1,0,1,1,18,A,8,2020-02-12,Waasland-Beveren,B1,4,1,3,8,D,8,Waasland-Beveren_Kortrijk_2019
199,19:30:00,2,Genk,13,0,1,1,1,0,1,2,17,D,8,2020-02-13,Antwerp,B1,5,6,5,14,D,7,Antwerp_Genk_2019
200,19:30:00,3,Gent,16,0,2,3,2,0,2,1,15,A,12,2020-02-14,Eupen,B1,9,3,7,8,D,3,Eupen_Gent_2019
201,17:00:00,2,Waasland-Beveren,16,1,2,1,1,0,0,7,13,H,2,2020-02-15,Club Brugge,B1,1,5,16,15,H,2,Club Brugge_Waasland-Beveren_2019
202,19:00:00,2,Kortrijk,19,0,0,3,0,0,0,1,13,A,14,2020-02-15,Oostende,B1,5,1,4,6,D,3,Oostende_Kortrijk_2019
203,19:00:00,5,Cercle Brugge,14,0,0,1,0,0,0,3,16,A,11,2020-02-15,St Truiden,B1,4,2,5,13,D,6,St Truiden_Cercle Brugge_2019
204,19:30:00,2,Anderlecht,13,1,2,0,0,0,0,3,9,H,7,2020-02-15,Mechelen,B1,0,6,4,13,D,5,Mechelen_Anderlecht_2019
205,13:30:00,2,Charleroi,11,0,1,1,1,0,0,3,17,D,9,2020-02-16,Antwerp,B1,6,5,6,6,H,10,Antwerp_Charleroi_2019
206,17:00:00,2,Standard,12,0,1,3,0,0,2,2,12,A,8,2020-02-16,Genk,B1,6,6,3,11,A,2,Genk_Standard_2019
207,19:00:00,2,Mouscron,7,0,1,2,0,0,1,2,10,A,11,2020-02-16,Waregem,B1,6,3,6,7,A,3,Waregem_Mouscron_2019
208,19:30:00,3,Genk,14,0,0,1,0,0,0,4,13,A,14,2020-02-21,Kortrijk,B1,7,4,3,6,D,4,Kortrijk_Genk_2019
209,17:00:00,1,Antwerp,9,0,1,0,1,0,0,3,11,H,9,2020-02-22,Standard,B1,3,7,3,9,H,6,Standard_Antwerp_2019
210,19:00:00,3,Cercle Brugge,13,0,0,1,0,0,0,1,12,A,10,2020-02-22,Mouscron,B1,3,1,3,4,D,7,Mouscron_Cercle Brugge_2019
