,HFKC,HY,AwayTeam,AFKC,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,13,3,Anderlecht,6,0,0,0,0,0,0,0,D,13,2017-07-28,Antwerp,B1,6,2,5,3,D,5,Antwerp_Anderlecht_2017
1,13,2,Kortrijk,20,0,1,0,1,0,0,1,H,9,2017-07-29,Charleroi,B1,1,2,5,6,H,6,Charleroi_Kortrijk_2017
2,14,2,Waregem,17,0,0,5,0,0,1,2,A,13,2017-07-29,Eupen,B1,9,1,2,3,A,7,Eupen_Waregem_2017
3,12,1,Waasland-Beveren,16,0,3,3,0,0,1,2,D,9,2017-07-29,Genk,B1,6,5,5,11,A,2,Genk_Waasland-Beveren_2017
4,13,3,Club Brugge,12,1,0,4,0,0,3,1,A,9,2017-07-29,Lokeren,B1,4,4,5,11,A,6,Lokeren_Club Brugge_2017
5,19,3,Standard,27,0,1,1,1,0,1,3,D,5,2017-07-30,Mechelen,B1,1,2,2,6,D,3,Mechelen_Standard_2017
6,22,3,Mouscron,14,0,0,1,0,1,0,3,A,8,2017-07-30,Oostende,B1,4,4,5,8,D,1,Oostende_Mouscron_2017
7,20,2,Gent,16,0,3,2,0,0,1,4,H,10,2017-07-30,St Truiden,B1,5,9,1,15,A,9,St Truiden_Gent_2017
8,22,3,Genk,20,0,2,1,0,0,1,4,H,7,2017-08-04,Standard,B1,4,3,5,5,A,6,Standard_Genk_2017
9,17,1,Lokeren,23,0,1,0,1,0,0,4,H,11,2017-08-05,Kortrijk,B1,5,10,14,20,H,4,Kortrijk_Lokeren_2017
10,12,3,Charleroi,14,0,2,5,1,1,3,1,A,7,2017-08-05,Mouscron,B1,7,5,4,11,A,3,Mouscron_Charleroi_2017
11,23,3,Mechelen,15,0,2,2,1,0,1,4,D,11,2017-08-05,Waasland-Beveren,B1,5,10,4,17,D,4,Waasland-Beveren_Mechelen_2017
12,14,2,St Truiden,21,1,2,0,0,0,0,3,H,2,2017-08-05,Waregem,B1,2,7,11,14,D,1,Waregem_St Truiden_2017
13,14,1,Oostende,13,0,1,0,0,0,0,3,H,10,2017-08-06,Anderlecht,B1,7,8,9,17,D,9,Anderlecht_Oostende_2017
14,24,1,Eupen,14,1,3,1,1,0,1,3,H,8,2017-08-06,Club Brugge,B1,4,5,5,13,D,2,Club Brugge_Eupen_2017
15,12,2,Antwerp,31,0,0,1,0,0,1,5,A,2,2017-08-06,Gent,B1,1,3,6,14,A,3,Gent_Antwerp_2017
16,14,1,Club Brugge,22,0,1,2,0,0,1,3,A,8,2017-08-11,Waregem,B1,6,3,4,7,A,4,Waregem_Club Brugge_2017
17,7,3,Kortrijk,25,0,1,2,0,0,1,4,A,9,2017-08-12,Eupen,B1,6,7,10,16,A,1,Eupen_Kortrijk_2017
18,23,4,Mouscron,15,0,0,2,0,1,1,1,A,8,2017-08-12,Lokeren,B1,7,2,2,5,A,3,Lokeren_Mouscron_2017
19,15,2,Gent,21,0,1,1,0,0,1,1,D,13,2017-08-12,Mechelen,B1,7,5,7,9,A,7,Mechelen_Gent_2017
20,11,1,Waasland-Beveren,19,0,0,3,0,0,3,0,A,10,2017-08-12,Oostende,B1,7,10,10,16,A,6,Oostende_Waasland-Beveren_2017
21,15,1,Genk,14,0,3,5,1,0,4,1,A,12,2017-08-13,Antwerp,B1,8,5,5,8,A,3,Antwerp_Genk_2017
22,15,2,Anderlecht,20,0,2,0,0,0,0,3,H,8,2017-08-13,Charleroi,B1,6,4,7,8,D,5,Charleroi_Anderlecht_2017
23,17,3,Standard,24,2,1,0,0,0,0,4,H,10,2017-08-13,St Truiden,B1,4,5,2,10,D,3,St Truiden_Standard_2017
24,12,0,Waregem,14,0,0,4,0,0,0,2,A,15,2017-08-18,Standard,B1,9,7,3,12,D,5,Standard_Waregem_2017
25,14,2,Oostende,13,0,2,1,1,0,1,2,H,11,2017-08-19,Eupen,B1,5,6,5,10,D,8,Eupen_Oostende_2017
26,12,0,Charleroi,12,0,0,1,0,0,0,1,A,9,2017-08-19,Genk,B1,2,1,4,9,D,7,Genk_Charleroi_2017
27,15,2,Antwerp,25,0,1,2,0,0,0,4,A,4,2017-08-19,Mechelen,B1,3,8,9,10,D,2,Mechelen_Antwerp_2017
28,17,3,Lokeren,23,0,2,3,0,0,3,5,A,8,2017-08-19,Waasland-Beveren,B1,5,10,8,19,A,6,Waasland-Beveren_Lokeren_2017
29,14,0,St Truiden,12,0,2,3,1,0,1,2,A,9,2017-08-20,Anderlecht,B1,6,8,9,18,D,2,Anderlecht_St Truiden_2017
30,20,3,Club Brugge,20,0,1,2,0,0,1,1,A,11,2017-08-20,Kortrijk,B1,8,9,11,18,A,4,Kortrijk_Club Brugge_2017
