,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,7,0,0,1,4,0,E0,H,H Webb,West Brom,14,0,Arsenal,11,5,24,0,1,5,8,0,16/08/2008,H,Arsenal_West Brom_2008
1,4,0,1,3,2,0,E0,H,C Foy,Stoke,8,1,Bolton,13,8,14,0,3,3,12,2,16/08/2008,H,Bolton_Stoke_2008
2,3,0,3,1,11,0,E0,D,A Marriner,Blackburn,5,2,Everton,11,15,10,1,2,5,9,2,16/08/2008,A,Everton_Blackburn_2008
3,5,0,1,1,6,0,E0,D,P Walton,Fulham,6,3,Hull,10,12,11,1,2,6,9,0,16/08/2008,H,Hull_Fulham_2008
4,7,0,1,0,5,0,E0,D,M Atkinson,Tottenham,10,1,Middlesbrough,11,8,14,0,2,9,12,2,16/08/2008,H,Middlesbrough_Tottenham_2008
5,1,0,1,0,8,0,E0,D,A Wiley,Liverpool,3,0,Sunderland,13,14,6,0,0,8,12,2,16/08/2008,A,Sunderland_Liverpool_2008
6,6,0,1,2,9,0,E0,H,S Bennett,Wigan,8,2,West Ham,14,22,15,0,2,10,11,1,16/08/2008,H,West Ham_Wigan_2008
7,7,0,2,0,8,0,E0,D,P Dowd,Man City,10,0,Aston Villa,8,13,14,0,4,8,11,1,17/08/2008,H,Aston Villa_Man City_2008
8,8,0,0,3,8,0,E0,H,M Dean,Portsmouth,11,0,Chelsea,10,12,18,0,4,3,6,1,17/08/2008,H,Chelsea_Portsmouth_2008
9,6,0,1,1,4,0,E0,D,M Riley,Newcastle,12,3,Man United,15,11,18,1,1,6,11,0,17/08/2008,D,Man United_Newcastle_2008
10,6,0,1,1,4,0,E0,D,S Attwell,Hull,5,0,Blackburn,11,7,12,1,1,3,15,1,23/08/2008,D,Blackburn_Hull_2008
11,1,0,0,1,6,0,E0,H,M Atkinson,Arsenal,2,2,Fulham,14,15,5,0,1,5,6,0,23/08/2008,H,Fulham_Arsenal_2008
12,14,0,1,0,4,0,E0,D,M Riley,Middlesbrough,8,2,Liverpool,10,9,16,0,2,3,12,1,23/08/2008,H,Liverpool_Middlesbrough_2008
13,4,0,0,0,4,0,E0,D,S Bennett,Bolton,8,1,Newcastle,8,9,10,0,1,6,13,2,23/08/2008,H,Newcastle_Bolton_2008
14,2,0,2,1,2,0,E0,H,M Halsey,Aston Villa,2,1,Stoke,15,5,8,0,3,8,5,0,23/08/2008,H,Stoke_Aston Villa_2008
15,12,0,2,0,7,0,E0,D,M Dean,Sunderland,11,1,Tottenham,12,12,18,0,1,6,12,2,23/08/2008,A,Tottenham_Sunderland_2008
16,11,0,2,0,7,0,E0,D,R Styles,Everton,4,3,West Brom,11,9,14,0,1,5,14,1,23/08/2008,A,West Brom_Everton_2008
17,6,0,0,0,0,1,E0,D,H Webb,West Ham,9,0,Man City,12,3,14,0,3,3,16,2,24/08/2008,H,Man City_West Ham_2008
18,7,0,1,0,3,0,E0,A,A Wiley,Chelsea,6,1,Wigan,13,7,10,1,0,7,17,2,24/08/2008,A,Wigan_Chelsea_2008
19,4,0,1,0,7,0,E0,A,C Foy,Man United,6,2,Portsmouth,11,12,13,1,0,3,11,2,25/08/2008,A,Portsmouth_Man United_2008
20,12,0,0,2,2,0,E0,H,R Styles,Newcastle,14,2,Arsenal,12,4,20,0,3,1,11,2,30/08/2008,H,Arsenal_Newcastle_2008
21,7,0,0,0,7,0,E0,D,K Stroud,West Brom,9,2,Bolton,18,12,18,0,0,5,16,2,30/08/2008,D,Bolton_West Brom_2008
22,4,0,3,0,5,0,E0,A,M Halsey,Portsmouth,7,1,Everton,5,6,16,2,0,3,11,0,30/08/2008,A,Everton_Portsmouth_2008
23,7,0,5,0,5,0,E0,A,M Jones,Wigan,5,1,Hull,18,8,10,2,0,3,12,0,30/08/2008,A,Hull_Wigan_2008
24,4,0,1,1,2,1,E0,H,M Dean,Stoke,12,2,Middlesbrough,14,7,21,0,2,5,18,4,30/08/2008,H,Middlesbrough_Stoke_2008
