,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,9,0,1,1,2,1,E0,D,J Moss,Crystal Palace,6,2,Arsenal,13,4,14,1,2,3,19,2,16/08/2014,H,Arsenal_Crystal Palace_2014
1,3,0,2,1,3,0,E0,A,M Jones,Everton,3,1,Leicester,16,13,11,2,2,6,10,1,16/08/2014,D,Leicester_Everton_2014
2,4,0,2,0,4,0,E0,A,M Dean,Swansea,5,2,Man United,14,5,14,1,1,0,20,4,16/08/2014,A,Man United_Swansea_2014
3,8,0,1,0,4,0,E0,D,C Pawson,Hull,6,1,QPR,10,11,19,0,0,9,10,2,16/08/2014,A,QPR_Hull_2014
4,2,0,1,0,2,0,E0,D,A Taylor,Aston Villa,2,0,Stoke,14,7,12,0,0,8,9,3,16/08/2014,A,Stoke_Aston Villa_2014
5,6,0,2,1,2,0,E0,D,N Swarbrick,Sunderland,5,3,West Brom,18,7,10,1,2,3,9,1,16/08/2014,D,West Brom_Sunderland_2014
6,8,1,1,0,4,1,E0,D,C Foy,Tottenham,4,1,West Ham,12,10,18,0,0,5,10,0,16/08/2014,A,West Ham_Tottenham_2014
7,2,0,1,1,6,0,E0,H,M Clattenburg,Southampton,5,1,Liverpool,8,12,12,0,2,6,11,2,17/08/2014,H,Liverpool_Southampton_2014
8,3,0,2,0,5,0,E0,A,M Atkinson,Man City,0,1,Newcastle,8,13,12,1,0,3,11,5,17/08/2014,A,Newcastle_Man City_2014
9,4,0,3,1,3,0,E0,A,M Oliver,Chelsea,2,1,Burnley,6,11,9,3,1,3,7,1,18/08/2014,A,Burnley_Chelsea_2014
10,7,0,0,0,4,1,E0,D,M Dean,Newcastle,0,4,Aston Villa,11,11,9,0,0,7,8,0,23/08/2014,D,Aston Villa_Newcastle_2014
11,8,0,0,0,4,0,E0,D,L Mason,Leicester,10,0,Chelsea,11,6,27,0,2,7,11,1,23/08/2014,H,Chelsea_Leicester_2014
12,6,0,3,0,8,0,E0,A,M Clattenburg,West Ham,4,1,Crystal Palace,14,17,9,2,1,9,11,3,23/08/2014,A,Crystal Palace_West Ham_2014
13,3,0,2,2,3,0,E0,H,K Friend,Arsenal,2,1,Everton,10,13,8,0,2,3,18,4,23/08/2014,D,Everton_Arsenal_2014
14,1,0,0,0,2,0,E0,D,R East,West Brom,2,1,Southampton,14,8,8,0,0,5,15,2,23/08/2014,D,Southampton_West Brom_2014
15,2,0,0,1,1,0,E0,H,C Pawson,Burnley,5,2,Swansea,14,12,10,0,1,3,13,1,23/08/2014,H,Swansea_Burnley_2014
16,4,1,1,1,3,0,E0,H,J Moss,Stoke,2,1,Hull,10,19,9,0,1,5,10,3,24/08/2014,D,Hull_Stoke_2014
17,4,0,1,1,3,0,E0,D,M Atkinson,Man United,3,0,Sunderland,10,10,11,1,1,4,15,2,24/08/2014,D,Sunderland_Man United_2014
18,7,0,0,3,1,0,E0,H,A Taylor,QPR,5,0,Tottenham,12,9,18,0,4,6,6,1,24/08/2014,H,Tottenham_QPR_2014
19,6,0,1,1,3,0,E0,H,M Oliver,Liverpool,4,1,Man City,13,11,9,0,3,7,7,1,25/08/2014,H,Man City_Liverpool_2014
20,3,0,0,0,2,0,E0,D,C Foy,Man United,3,2,Burnley,10,7,9,0,0,6,14,2,30/08/2014,D,Burnley_Man United_2014
21,8,0,6,1,8,0,E0,A,J Moss,Chelsea,7,1,Everton,7,12,17,2,3,2,16,3,30/08/2014,A,Everton_Chelsea_2014
22,11,0,1,0,2,0,E0,D,L Mason,Stoke,2,2,Man City,14,7,16,0,0,4,5,1,30/08/2014,A,Man City_Stoke_2014
23,11,0,3,1,7,0,E0,D,M Jones,Crystal Palace,4,1,Newcastle,12,12,18,1,3,4,19,3,30/08/2014,D,Newcastle_Crystal Palace_2014
24,4,0,0,1,6,0,E0,H,R Madley,Sunderland,5,1,QPR,8,16,18,0,1,6,9,2,30/08/2014,H,QPR_Sunderland_2014
25,0,0,0,2,2,0,E0,H,P Tierney,West Brom,8,1,Swansea,10,16,15,0,3,7,8,2,30/08/2014,H,Swansea_West Brom_2014
26,2,0,3,1,8,0,E0,D,M Dean,Southampton,2,2,West Ham,11,18,4,1,1,9,13,1,30/08/2014,A,West Ham_Southampton_2014
27,3,0,1,2,3,0,E0,H,M Clattenburg,Hull,4,1,Aston Villa,9,9,11,0,2,7,10,4,31/08/2014,H,Aston Villa_Hull_2014
28,5,0,1,1,6,0,E0,D,A Taylor,Arsenal,3,3,Leicester,14,24,9,1,1,10,6,1,31/08/2014,D,Leicester_Arsenal_2014
29,7,0,3,0,8,0,E0,A,P Dowd,Liverpool,1,0,Tottenham,14,17,7,1,0,3,11,4,31/08/2014,A,Tottenham_Liverpool_2014
30,0,0,2,0,8,0,E0,A,M Clattenburg,Man City,6,3,Arsenal,11,15,15,1,2,3,15,4,13/09/2014,D,Arsenal_Man City_2014
31,7,0,2,1,2,0,E0,D,K Friend,Swansea,9,0,Chelsea,12,11,29,1,4,4,11,3,13/09/2014,H,Chelsea_Swansea_2014
32,5,0,0,0,3,0,E0,D,M Dean,Burnley,3,2,Crystal Palace,12,11,14,0,0,5,10,3,13/09/2014,D,Crystal Palace_Burnley_2014
33,7,0,1,0,1,0,E0,A,L Mason,Aston Villa,1,2,Liverpool,9,5,18,1,0,6,10,1,13/09/2014,A,Liverpool_Aston Villa_2014
34,5,0,0,2,4,0,E0,H,C Foy,Newcastle,7,0,Southampton,15,9,10,0,4,5,7,2,13/09/2014,H,Southampton_Newcastle_2014
35,13,0,1,0,1,0,E0,D,M Oliver,Leicester,4,3,Stoke,8,8,24,0,0,3,15,0,13/09/2014,A,Stoke_Leicester_2014
36,5,0,2,1,6,0,E0,D,C Pawson,Tottenham,1,5,Sunderland,10,15,6,1,2,5,13,1,13/09/2014,D,Sunderland_Tottenham_2014
37,9,0,2,0,4,0,E0,A,A Taylor,Everton,1,2,West Brom,12,11,11,1,0,1,8,3,13/09/2014,A,West Brom_Everton_2014
38,3,0,0,3,2,0,E0,H,P Dowd,QPR,9,1,Man United,11,9,19,0,4,1,8,0,14/09/2014,H,Man United_QPR_2014
39,3,0,2,1,4,0,E0,H,M Atkinson,West Ham,6,3,Hull,12,16,11,0,2,10,7,1,15/09/2014,D,Hull_West Ham_2014
40,5,0,3,0,3,0,E0,A,M Jones,Arsenal,2,1,Aston Villa,11,9,6,3,0,5,9,3,20/09/2014,A,Aston Villa_Arsenal_2014
41,5,0,0,0,6,0,E0,D,A Taylor,Sunderland,6,1,Burnley,14,14,17,0,0,1,14,2,20/09/2014,D,Burnley_Sunderland_2014
42,4,0,2,0,3,0,E0,D,N Swarbrick,Hull,7,4,Newcastle,11,10,25,0,2,2,11,2,20/09/2014,D,Newcastle_Hull_2014
43,10,0,2,1,4,0,E0,D,M Atkinson,Stoke,5,2,QPR,6,8,21,1,2,1,15,4,20/09/2014,D,QPR_Stoke_2014
44,2,1,1,0,4,0,E0,D,J Moss,Southampton,2,0,Swansea,11,11,5,0,0,4,15,4,20/09/2014,A,Swansea_Southampton_2014
45,7,0,1,2,5,0,E0,H,C Pawson,Liverpool,7,4,West Ham,16,11,13,1,3,5,11,1,20/09/2014,H,West Ham_Liverpool_2014
46,7,0,3,1,3,0,E0,D,M Oliver,Crystal Palace,6,2,Everton,8,10,17,1,2,1,13,2,21/09/2014,A,Everton_Crystal Palace_2014
47,2,0,3,1,5,1,E0,A,M Clattenburg,Man United,5,1,Leicester,11,16,15,2,5,4,9,1,21/09/2014,H,Leicester_Man United_2014
48,14,1,1,0,2,0,E0,D,M Dean,Chelsea,4,3,Man City,16,6,16,0,1,2,12,4,21/09/2014,D,Man City_Chelsea_2014
49,9,0,1,0,4,0,E0,D,K Friend,West Brom,1,2,Tottenham,12,10,7,0,0,7,7,2,21/09/2014,A,Tottenham_West Brom_2014
