,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,18,0,1,0,3,0,E0,D,G Poll,Aston Villa,11,1,Arsenal,10,5,19,0,1,1,19,2,19/08/2006,D,Arsenal_Aston Villa_2006
1,6,0,0,2,6,0,E0,H,P Dowd,Tottenham,6,0,Bolton,19,9,8,0,2,3,22,1,19/08/2006,H,Bolton_Tottenham_2006
2,0,0,1,1,8,0,E0,H,P Walton,Watford,2,2,Everton,12,12,6,0,2,6,13,2,19/08/2006,H,Everton_Watford_2006
3,4,0,1,1,9,0,E0,H,M Atkinson,Wigan,8,1,Newcastle,17,14,9,0,2,11,20,2,19/08/2006,H,Newcastle_Wigan_2006
4,6,0,0,1,7,2,E0,H,A Wiley,Blackburn,16,2,Portsmouth,20,9,21,0,3,2,17,1,19/08/2006,H,Portsmouth_Blackburn_2006
5,8,0,2,2,5,0,E0,D,M Halsey,Middlesbrough,9,1,Reading,8,7,14,2,3,2,15,3,19/08/2006,H,Reading_Middlesbrough_2006
6,0,0,1,0,7,0,E0,D,R Styles,Liverpool,3,1,Sheffield United,10,12,5,0,1,12,16,2,19/08/2006,D,Sheffield United_Liverpool_2006
7,6,0,1,0,2,1,E0,A,H Webb,Charlton,5,2,West Ham,14,4,16,1,3,0,14,2,19/08/2006,H,West Ham_Charlton_2006
8,5,0,0,2,2,1,E0,H,S Bennett,Man City,4,1,Chelsea,7,5,10,0,3,2,15,3,20/08/2006,H,Chelsea_Man City_2006
9,5,0,1,4,8,0,E0,H,A Marriner,Fulham,7,1,Man United,14,12,15,1,5,2,20,1,20/08/2006,H,Man United_Fulham_2006
10,6,0,0,2,3,0,E0,H,P Walton,Sheffield United,13,0,Tottenham,5,6,18,0,2,4,9,1,22/08/2006,H,Tottenham_Sheffield United_2006
11,5,0,1,0,4,0,E0,D,M Atkinson,West Ham,4,0,Watford,12,8,11,0,1,1,12,0,22/08/2006,D,Watford_West Ham_2006
12,2,0,1,1,3,1,E0,D,L Mason,Reading,6,2,Aston Villa,9,5,11,1,2,7,6,1,23/08/2006,H,Aston Villa_Reading_2006
13,5,0,1,0,4,0,E0,D,U Rennie,Everton,5,4,Blackburn,22,10,10,0,1,3,20,3,23/08/2006,D,Blackburn_Everton_2006
14,4,0,3,0,11,0,E0,D,C Foy,Man United,2,1,Charlton,14,21,8,0,0,11,11,1,23/08/2006,A,Charlton_Man United_2006
15,1,0,1,0,1,0,E0,D,A Wiley,Bolton,4,0,Fulham,9,4,11,0,1,6,16,2,23/08/2006,D,Fulham_Bolton_2006
16,8,0,0,0,1,0,E0,D,D Gallagher,Portsmouth,3,2,Man City,15,3,6,0,0,0,13,1,23/08/2006,D,Man City_Portsmouth_2006
17,3,0,1,0,5,0,E0,A,H Webb,Chelsea,2,2,Middlesbrough,15,8,9,1,2,3,7,2,23/08/2006,H,Middlesbrough_Chelsea_2006
18,6,1,0,0,2,1,E0,D,M Dean,Bolton,5,1,Charlton,11,7,9,0,2,5,17,4,26/08/2006,H,Charlton_Bolton_2006
19,9,0,0,1,1,0,E0,H,G Poll,Sheffield United,5,3,Fulham,17,9,10,0,1,5,17,3,26/08/2006,H,Fulham_Sheffield United_2006
20,6,0,1,2,3,0,E0,H,A Wiley,West Ham,8,1,Liverpool,15,8,19,1,2,1,6,0,26/08/2006,H,Liverpool_West Ham_2006
21,2,0,0,1,6,0,E0,H,U Rennie,Arsenal,3,1,Man City,16,17,10,0,1,8,8,1,26/08/2006,H,Man City_Arsenal_2006
22,7,0,2,0,2,1,E0,D,M Halsey,Everton,6,1,Tottenham,9,6,15,0,0,2,12,1,26/08/2006,A,Tottenham_Everton_2006
23,4,0,2,1,10,0,E0,D,P Dowd,Man United,7,1,Watford,20,19,8,1,1,7,14,1,26/08/2006,A,Watford_Man United_2006
24,4,0,0,1,3,0,E0,H,M Riley,Reading,5,2,Wigan,12,5,15,0,1,10,14,2,26/08/2006,H,Wigan_Reading_2006
