,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,16,0,0,2,2,0,E0,H,M Dean,West Ham,11,1,Aston Villa,15,12,23,0,3,7,15,2,14/08/2010,H,Aston Villa_West Ham_2010
1,1,0,0,1,12,0,E0,H,P Dowd,Everton,2,2,Blackburn,19,17,7,0,1,3,14,1,14/08/2010,H,Blackburn_Everton_2010
2,4,0,0,0,7,0,E0,D,S Attwell,Fulham,9,1,Bolton,12,12,13,0,0,8,13,3,14/08/2010,D,Bolton_Fulham_2010
3,3,0,0,2,4,0,E0,H,M Clattenburg,West Brom,13,1,Chelsea,10,10,18,0,6,1,10,0,14/08/2010,H,Chelsea_West Brom_2010
4,3,1,2,1,7,0,E0,H,A Taylor,Birmingham,2,3,Sunderland,13,13,6,0,2,6,10,3,14/08/2010,D,Sunderland_Birmingham_2010
5,10,0,0,0,7,0,E0,D,A Marriner,Man City,18,0,Tottenham,13,11,22,0,0,3,16,2,14/08/2010,D,Tottenham_Man City_2010
6,6,0,4,0,7,0,E0,A,M Halsey,Blackpool,6,1,Wigan,8,9,11,3,0,4,11,1,14/08/2010,A,Wigan_Blackpool_2010
7,5,0,1,2,6,0,E0,H,L Probert,Stoke,7,0,Wolves,17,10,13,0,2,5,13,2,14/08/2010,H,Wolves_Stoke_2010
8,9,1,1,0,7,1,E0,D,M Atkinson,Arsenal,4,1,Liverpool,13,14,7,0,1,11,15,3,15/08/2010,D,Liverpool_Arsenal_2010
9,5,0,0,2,3,0,E0,H,C Foy,Newcastle,10,2,Man United,9,7,18,0,3,3,5,2,16/08/2010,H,Man United_Newcastle_2010
10,8,0,0,3,1,1,E0,H,M Jones,Blackpool,16,0,Arsenal,9,3,26,0,6,2,3,0,21/08/2010,H,Arsenal_Blackpool_2010
11,4,0,1,0,2,0,E0,D,M Oliver,Blackburn,7,2,Birmingham,13,7,10,0,2,12,14,3,21/08/2010,H,Birmingham_Blackburn_2010
12,3,0,1,1,4,0,E0,H,L Mason,Wolves,6,1,Everton,18,9,14,0,1,3,15,2,21/08/2010,D,Everton_Wolves_2010
13,6,0,2,1,6,0,E0,A,C Foy,Tottenham,10,3,Stoke,15,7,15,2,1,2,4,1,21/08/2010,A,Stoke_Tottenham_2010
