,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,12,0,2,1,4,0,E0,D,K Friend,Wolves,8,4,Blackburn,14,13,16,1,1,6,10,2,13/08/2011,A,Blackburn_Wolves_2011
1,2,0,0,0,1,0,E0,D,L Mason,Aston Villa,9,2,Fulham,10,7,13,0,0,3,18,4,13/08/2011,D,Fulham_Aston Villa_2011
2,6,0,1,1,6,0,E0,H,P Dowd,Sunderland,4,4,Liverpool,17,15,11,0,1,3,12,4,13/08/2011,D,Liverpool_Sunderland_2011
3,2,0,0,0,4,1,E0,D,P Walton,Arsenal,1,3,Newcastle,9,9,6,0,0,5,11,5,13/08/2011,D,Newcastle_Arsenal_2011
4,3,1,4,0,7,0,E0,A,M Atkinson,Bolton,7,1,QPR,9,13,13,1,0,2,16,2,13/08/2011,A,QPR_Bolton_2011
5,7,0,1,1,3,0,E0,D,S Attwell,Norwich,11,2,Wigan,11,13,18,1,1,3,8,2,13/08/2011,D,Wigan_Norwich_2011
6,4,0,0,0,11,0,E0,D,M Halsey,Chelsea,3,2,Stoke,12,20,6,0,0,6,12,2,14/08/2011,D,Stoke_Chelsea_2011
7,6,0,2,1,5,0,E0,D,M Jones,Man United,8,3,West Brom,16,11,14,1,1,5,9,2,14/08/2011,A,West Brom_Man United_2011
8,7,0,0,0,5,0,E0,D,M Dean,Swansea,19,0,Man City,9,8,26,0,4,4,2,0,15/08/2011,H,Man City_Swansea_2011
9,9,1,2,0,8,0,E0,D,M Atkinson,Liverpool,6,2,Arsenal,11,13,10,0,0,5,6,2,20/08/2011,A,Arsenal_Liverpool_2011
10,5,0,1,2,6,0,E0,H,S Attwell,Blackburn,6,3,Aston Villa,9,10,9,0,3,4,13,0,20/08/2011,H,Aston Villa_Blackburn_2011
11,7,0,1,0,4,0,E0,A,L Mason,West Brom,12,2,Chelsea,12,6,22,1,2,4,8,4,20/08/2011,H,Chelsea_West Brom_2011
12,2,0,1,0,3,0,E0,A,K Friend,QPR,7,1,Everton,12,4,14,1,0,1,9,1,20/08/2011,A,Everton_QPR_2011
13,7,1,1,0,10,0,E0,D,H Webb,Newcastle,5,3,Sunderland,17,12,15,0,0,6,7,3,20/08/2011,A,Sunderland_Newcastle_2011
14,7,0,0,0,4,0,E0,D,P Dowd,Wigan,6,0,Swansea,8,10,12,0,0,7,18,3,20/08/2011,D,Swansea_Wigan_2011
15,7,0,3,1,9,0,E0,A,M Jones,Man City,4,2,Bolton,19,17,6,2,2,8,14,0,21/08/2011,A,Bolton_Man City_2011
16,3,1,1,1,5,0,E0,H,N Swarbrick,Stoke,7,0,Norwich,13,15,9,0,1,6,12,2,21/08/2011,D,Norwich_Stoke_2011
17,7,0,0,2,4,0,E0,H,M Dean,Fulham,7,2,Wolves,7,8,17,0,2,8,10,2,21/08/2011,H,Wolves_Fulham_2011
18,11,0,0,0,12,0,E0,D,L Probert,Tottenham,21,1,Man United,12,20,27,0,3,3,9,2,22/08/2011,H,Man United_Tottenham_2011
19,11,0,0,0,2,0,E0,D,M Atkinson,Wolves,5,1,Aston Villa,10,3,15,0,0,8,9,3,27/08/2011,D,Aston Villa_Wolves_2011
20,5,0,1,0,4,0,E0,D,L Mason,Everton,6,5,Blackburn,17,9,14,0,0,4,13,2,27/08/2011,A,Blackburn_Everton_2011
21,8,0,1,1,6,1,E0,H,M Jones,Norwich,8,2,Chelsea,17,9,16,0,3,6,14,2,27/08/2011,H,Chelsea_Norwich_2011
22,12,0,1,1,4,0,E0,H,L Probert,Bolton,9,0,Liverpool,5,7,17,0,3,6,7,2,27/08/2011,H,Liverpool_Bolton_2011
