,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,9,0,3,2,3,0,E0,D,M Dean,Leicester,10,0,Arsenal,9,6,27,2,4,4,12,1,11/08/2017,H,Arsenal_Leicester_2017
1,3,0,2,0,4,0,E0,D,M Oliver,Man City,2,0,Brighton,6,14,6,0,0,10,9,2,12/08/2017,A,Brighton_Man City_2017
2,8,2,3,0,5,0,E0,A,C Pawson,Burnley,6,3,Chelsea,16,10,19,3,2,5,11,3,12/08/2017,A,Chelsea_Burnley_2017
3,12,0,3,0,6,0,E0,A,J Moss,Huddersfield,4,1,Crystal Palace,7,8,14,2,0,9,19,3,12/08/2017,A,Crystal Palace_Huddersfield_2017
4,6,0,0,1,1,0,E0,H,N Swarbrick,Stoke,4,1,Everton,13,9,9,0,1,7,10,1,12/08/2017,H,Everton_Stoke_2017
5,13,0,0,0,0,0,E0,D,M Jones,Swansea,2,2,Southampton,10,4,29,0,0,0,13,1,12/08/2017,D,Southampton_Swansea_2017
6,3,0,3,2,5,0,E0,H,A Taylor,Liverpool,4,0,Watford,14,14,9,1,3,3,8,3,12/08/2017,D,Watford_Liverpool_2017
7,8,0,0,1,2,0,E0,H,R Madley,Bournemouth,6,3,West Brom,15,9,16,0,1,2,3,1,12/08/2017,H,West Brom_Bournemouth_2017
8,11,0,0,1,1,0,E0,H,M Atkinson,West Ham,6,2,Man United,19,9,22,0,4,1,7,2,13/08/2017,H,Man United_West Ham_2017
9,5,1,2,0,6,0,E0,D,A Marriner,Tottenham,3,1,Newcastle,6,18,6,0,0,7,10,2,13/08/2017,A,Newcastle_Tottenham_2017
10,8,0,2,0,7,0,E0,D,R East,Watford,2,1,Bournemouth,6,19,6,0,0,5,14,3,19/08/2017,A,Bournemouth_Watford_2017
11,5,0,1,0,1,1,E0,D,M Atkinson,West Brom,0,1,Burnley,11,8,20,0,0,5,11,0,19/08/2017,A,Burnley_West Brom_2017
12,6,0,0,1,2,0,E0,H,L Probert,Brighton,4,1,Leicester,8,5,14,0,2,2,10,0,19/08/2017,H,Leicester_Brighton_2017
13,4,0,0,0,1,0,E0,D,K Friend,Crystal Palace,13,1,Liverpool,12,4,23,0,1,2,13,3,19/08/2017,H,Liverpool_Crystal Palace_2017
14,7,0,2,2,8,1,E0,H,L Mason,West Ham,5,1,Southampton,18,16,14,1,3,2,10,1,19/08/2017,H,Southampton_West Ham_2017
15,2,0,0,0,6,0,E0,D,A Marriner,Arsenal,4,0,Stoke,6,18,11,0,1,9,11,0,19/08/2017,H,Stoke_Arsenal_2017
16,3,0,4,0,8,0,E0,A,J Moss,Man United,1,1,Swansea,12,17,6,1,0,5,11,1,19/08/2017,A,Swansea_Man United_2017
17,7,0,0,0,5,0,E0,D,C Pawson,Newcastle,3,3,Huddersfield,13,13,7,0,1,3,10,4,20/08/2017,H,Huddersfield_Newcastle_2017
18,14,0,2,0,2,0,E0,A,A Taylor,Chelsea,6,3,Tottenham,14,9,18,1,1,3,21,3,20/08/2017,A,Tottenham_Chelsea_2017
19,7,1,1,0,2,1,E0,A,R Madley,Everton,6,1,Man City,7,7,19,1,1,1,9,2,21/08/2017,D,Man City_Everton_2017
20,2,0,2,1,8,1,E0,D,M Dean,Man City,3,5,Bournemouth,13,19,9,1,1,5,14,4,26/08/2017,A,Bournemouth_Man City_2017
21,1,0,2,0,3,0,E0,A,A Marriner,Swansea,3,4,Crystal Palace,9,7,16,1,0,1,6,1,26/08/2017,A,Crystal Palace_Swansea_2017
22,5,0,0,0,3,0,E0,D,S Attwell,Southampton,6,0,Huddersfield,10,6,16,0,0,4,10,1,26/08/2017,D,Huddersfield_Southampton_2017
23,9,0,0,0,4,0,E0,D,M Oliver,Leicester,7,1,Man United,8,11,22,0,2,3,7,2,26/08/2017,H,Man United_Leicester_2017
