,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,2,0,1,1,4,0,E0,H,A Marriner,Leicester,6,2,Man United,11,13,8,0,2,5,8,1,10/08/2018,H,Man United_Leicester_2018
1,7,0,0,1,1,0,E0,H,K Friend,Cardiff,4,1,Bournemouth,11,10,12,0,2,4,9,1,11/08/2018,H,Bournemouth_Cardiff_2018
2,5,0,2,0,9,0,E0,A,M Dean,Crystal Palace,6,1,Fulham,9,10,15,1,0,5,11,2,11/08/2018,A,Fulham_Crystal Palace_2018
3,2,0,3,0,4,0,E0,A,C Kavanagh,Chelsea,1,2,Huddersfield,9,13,6,2,0,5,8,1,11/08/2018,A,Huddersfield_Chelsea_2018
4,3,0,2,1,5,0,E0,A,M Atkinson,Tottenham,2,2,Newcastle,11,15,15,2,1,5,12,2,11/08/2018,A,Newcastle_Tottenham_2018
5,8,0,0,1,0,0,E0,H,J Moss,Brighton,5,2,Watford,10,6,19,0,2,2,16,2,11/08/2018,H,Watford_Brighton_2018
6,3,0,2,1,5,1,E0,D,C Pawson,Everton,4,0,Wolves,8,6,11,1,2,6,7,1,11/08/2018,D,Wolves_Everton_2018
7,2,0,2,0,8,0,E0,A,M Oliver,Man City,3,2,Arsenal,11,17,9,1,0,9,14,2,12/08/2018,A,Arsenal_Man City_2018
8,5,0,0,2,2,0,E0,H,A Taylor,West Ham,8,1,Liverpool,14,5,18,0,4,4,9,2,12/08/2018,H,Liverpool_West Ham_2018
9,8,0,0,0,6,0,E0,D,G Scott,Burnley,3,0,Southampton,10,16,18,0,0,5,9,1,12/08/2018,D,Southampton_Burnley_2018
10,5,0,0,0,6,1,E0,D,C Pawson,Newcastle,1,2,Cardiff,14,12,12,0,0,5,16,2,18/08/2018,D,Cardiff_Newcastle_2018
11,5,0,2,2,6,0,E0,D,M Atkinson,Arsenal,11,0,Chelsea,12,15,24,2,3,1,9,2,18/08/2018,H,Chelsea_Arsenal_2018
12,2,0,1,2,4,0,E0,H,L Mason,Southampton,7,0,Everton,8,15,13,0,2,5,20,5,18/08/2018,H,Everton_Southampton_2018
13,1,1,0,2,3,0,E0,H,M Dean,Wolves,2,2,Leicester,10,11,6,0,2,9,8,1,18/08/2018,H,Leicester_Wolves_2018
14,5,0,1,1,3,0,E0,H,A Taylor,Fulham,11,0,Tottenham,9,10,25,0,3,2,5,0,18/08/2018,H,Tottenham_Fulham_2018
15,6,0,2,1,5,0,E0,H,S Attwell,Bournemouth,5,6,West Ham,14,12,11,0,1,4,10,2,18/08/2018,A,West Ham_Bournemouth_2018
16,3,0,2,3,3,0,E0,H,K Friend,Man United,3,1,Brighton,16,9,6,1,3,5,13,1,19/08/2018,H,Brighton_Man United_2018
17,5,0,3,1,6,0,E0,D,P Tierney,Watford,3,1,Burnley,8,9,8,1,1,2,19,2,19/08/2018,A,Burnley_Watford_2018
18,10,0,1,3,1,0,E0,H,A Marriner,Huddersfield,14,0,Man City,9,5,32,1,6,3,4,2,19/08/2018,H,Man City_Huddersfield_2018
19,6,1,2,0,6,0,E0,A,M Oliver,Liverpool,2,1,Crystal Palace,6,16,8,1,0,7,13,1,20/08/2018,A,Crystal Palace_Liverpool_2018
20,10,0,1,1,5,0,E0,D,G Scott,West Ham,10,1,Arsenal,16,13,17,1,3,2,13,3,25/08/2018,H,Arsenal_West Ham_2018
21,6,1,2,0,3,1,E0,D,L Probert,Everton,5,0,Bournemouth,12,11,17,0,2,2,10,3,25/08/2018,D,Bournemouth_Everton_2018
22,7,1,0,0,4,0,E0,D,M Oliver,Cardiff,1,0,Huddersfield,8,14,5,0,0,7,10,1,25/08/2018,D,Huddersfield_Cardiff_2018
23,8,0,0,1,2,0,E0,H,C Kavanagh,Brighton,8,1,Liverpool,8,6,22,0,1,5,14,1,25/08/2018,H,Liverpool_Brighton_2018
24,10,1,2,0,5,0,E0,D,J Moss,Leicester,5,1,Southampton,13,8,11,0,1,3,11,1,25/08/2018,A,Southampton_Leicester_2018
