,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,4,0,2,0,7,0,E0,A,M Clattenburg,Wigan,5,2,Aston Villa,15,14,11,1,0,6,14,2,15/08/2009,A,Aston Villa_Wigan_2009
1,5,0,2,0,5,0,E0,A,M Dean,Man City,9,2,Blackburn,12,8,17,1,0,4,9,1,15/08/2009,A,Blackburn_Man City_2009
2,4,0,1,0,13,0,E0,A,A Marriner,Sunderland,3,2,Bolton,16,20,11,1,0,7,10,1,15/08/2009,A,Bolton_Sunderland_2009
3,12,0,1,1,3,0,E0,D,A Wiley,Hull,12,1,Chelsea,13,7,26,1,2,4,15,2,15/08/2009,H,Chelsea_Hull_2009
4,4,0,6,0,9,0,E0,A,M Halsey,Arsenal,5,0,Everton,11,15,8,3,1,9,13,0,15/08/2009,A,Everton_Arsenal_2009
5,6,0,1,0,3,0,E0,A,M Atkinson,Fulham,4,3,Portsmouth,11,9,16,1,0,4,18,2,15/08/2009,A,Portsmouth_Fulham_2009
6,3,0,0,2,5,0,E0,H,S Bennett,Burnley,5,2,Stoke,15,9,12,0,2,6,10,2,15/08/2009,H,Stoke_Burnley_2009
7,8,0,2,0,13,0,E0,A,C Foy,West Ham,11,0,Wolves,9,16,19,1,0,6,5,0,15/08/2009,A,Wolves_West Ham_2009
8,13,0,0,1,4,0,E0,H,L Mason,Birmingham,17,1,Man United,13,6,26,0,1,2,7,1,16/08/2009,H,Man United_Birmingham_2009
9,6,0,1,1,3,0,E0,H,P Dowd,Liverpool,11,3,Tottenham,14,6,17,0,2,5,16,3,16/08/2009,H,Tottenham_Liverpool_2009
10,1,0,3,1,9,0,E0,H,S Bennett,Chelsea,3,2,Sunderland,14,20,4,0,1,14,10,2,18/08/2009,A,Sunderland_Chelsea_2009
11,4,0,1,0,3,0,E0,A,M Jones,Wolves,5,0,Wigan,8,9,18,1,0,4,21,3,18/08/2009,A,Wigan_Wolves_2009
