,Time,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,12:30,2,0,3,0,6,0,E0,A,C Kavanagh,Arsenal,2,2,Fulham,12,13,5,1,0,3,12,2,12/09/2020,A,Fulham_Arsenal_2020
1,15:00,7,0,0,1,5,0,E0,H,J Moss,Southampton,3,2,Crystal Palace,14,9,5,0,1,3,11,1,12/09/2020,H,Crystal Palace_Southampton_2020
2,17:30,9,0,3,3,3,0,E0,H,M Oliver,Leeds,6,1,Liverpool,9,6,22,2,4,0,6,0,12/09/2020,H,Liverpool_Leeds_2020
3,20:00,8,0,2,0,2,0,E0,D,S Attwell,Newcastle,3,2,West Ham,13,15,15,0,0,7,7,2,12/09/2020,A,West Ham_Newcastle_2020
4,14:00,2,0,3,0,7,0,E0,D,A Taylor,Leicester,1,1,West Brom,12,13,7,0,0,5,9,1,13/09/2020,A,West Brom_Leicester_2020
5,16:30,5,0,1,0,4,0,E0,D,M Atkinson,Everton,5,1,Tottenham,15,15,9,0,0,3,7,0,13/09/2020,A,Tottenham_Everton_2020
6,20:15,4,0,3,0,5,0,E0,A,C Pawson,Chelsea,3,1,Brighton,8,10,13,1,1,3,13,0,14/09/2020,A,Brighton_Chelsea_2020
7,18:00,12,0,2,0,4,0,E0,A,M Dean,Wolves,2,2,Sheffield United,13,11,9,2,0,5,7,1,14/09/2020,A,Sheffield United_Wolves_2020
8,12:30,11,0,2,2,4,1,E0,H,M Dean,West Brom,7,1,Everton,9,6,17,1,5,1,11,0,19/09/2020,H,Everton_West Brom_2020
9,15:00,5,0,3,2,6,0,E0,H,A Taylor,Fulham,7,1,Leeds,13,14,10,1,4,3,18,2,19/09/2020,H,Leeds_Fulham_2020
10,17:30,9,0,3,0,5,0,E0,A,M Atkinson,Crystal Palace,4,2,Man United,13,14,13,1,1,3,10,1,19/09/2020,A,Man United_Crystal Palace_2020
11,20:00,7,0,1,1,3,0,E0,D,M Oliver,West Ham,3,0,Arsenal,11,14,7,1,2,5,13,1,19/09/2020,H,Arsenal_West Ham_2020
12,12:00,3,0,5,1,6,0,E0,D,D Coote,Tottenham,7,4,Southampton,16,9,14,1,2,2,18,3,20/09/2020,A,Southampton_Tottenham_2020
13,14:00,7,0,3,0,6,1,E0,A,K Friend,Brighton,0,3,Newcastle,16,13,6,2,0,1,15,0,20/09/2020,A,Newcastle_Brighton_2020
14,16:30,1,1,2,0,6,0,E0,D,P Tierney,Liverpool,3,0,Chelsea,10,18,5,0,0,11,6,0,20/09/2020,A,Chelsea_Liverpool_2020
15,19:00,15,0,2,1,5,0,E0,D,L Mason,Burnley,6,1,Leicester,11,16,14,1,4,4,13,2,20/09/2020,H,Leicester_Burnley_2020
16,18:00,10,0,0,0,1,1,E0,D,G Scott,Sheffield United,2,3,Aston Villa,12,4,18,0,1,4,13,1,21/09/2020,H,Aston Villa_Sheffield United_2020
17,20:15,4,0,3,0,9,0,E0,A,A Marriner,Man City,1,0,Wolves,6,14,10,2,1,6,8,3,21/09/2020,A,Wolves_Man City_2020
18,12:30,7,0,3,1,3,0,E0,D,C Kavanagh,Man United,5,4,Brighton,18,7,18,1,2,1,16,2,26/09/2020,A,Brighton_Man United_2020
19,15:00,7,0,2,1,5,0,E0,A,K Friend,Everton,1,3,Crystal Palace,16,10,8,2,1,6,15,1,26/09/2020,A,Crystal Palace_Everton_2020
20,17:30,3,0,3,3,10,0,E0,H,J Moss,Chelsea,3,1,West Brom,8,22,9,0,3,9,16,3,26/09/2020,D,West Brom_Chelsea_2020
21,20:00,8,0,1,0,1,0,E0,A,A Marriner,Southampton,2,1,Burnley,8,5,10,1,0,2,10,0,26/09/2020,A,Burnley_Southampton_2020
22,12:00,5,0,1,0,9,0,E0,D,P Tierney,Leeds,4,2,Sheffield United,18,17,14,0,0,7,4,1,27/09/2020,A,Sheffield United_Leeds_2020
23,14:00,10,0,1,1,1,0,E0,H,P Bankes,Newcastle,12,1,Tottenham,15,6,23,0,1,4,9,4,27/09/2020,D,Tottenham_Newcastle_2020
24,16:30,3,0,5,1,7,0,E0,D,M Oliver,Leicester,5,1,Man City,13,7,16,1,2,4,8,3,27/09/2020,A,Man City_Leicester_2020
25,19:00,1,0,0,1,2,0,E0,H,M Atkinson,Wolves,7,0,West Ham,7,11,15,0,4,3,11,1,27/09/2020,H,West Ham_Wolves_2020
26,17:45,5,0,3,0,5,0,E0,A,S Attwell,Aston Villa,3,6,Fulham,18,12,16,2,0,3,14,3,28/09/2020,A,Fulham_Aston Villa_2020
27,20:00,7,0,1,2,3,0,E0,H,C Pawson,Arsenal,8,2,Liverpool,11,4,21,1,3,3,7,2,28/09/2020,H,Liverpool_Arsenal_2020
28,12:30,8,0,0,0,0,0,E0,D,M Oliver,Crystal Palace,6,2,Chelsea,17,4,17,0,4,5,13,0,03/10/2020,H,Chelsea_Crystal Palace_2020
29,15:00,3,0,2,2,3,0,E0,H,S Hooper,Brighton,6,0,Everton,13,11,11,1,4,10,14,1,03/10/2020,H,Everton_Brighton_2020
30,17:30,7,0,1,0,2,0,E0,A,M Dean,Man City,7,2,Leeds,11,23,12,1,1,10,12,1,03/10/2020,D,Leeds_Man City_2020
31,20:00,3,0,1,1,3,0,E0,H,D Coote,Burnley,5,2,Newcastle,13,7,10,0,3,4,17,3,03/10/2020,H,Newcastle_Burnley_2020
32,12:00,6,0,3,0,6,0,E0,A,A Madley,West Ham,0,2,Leicester,11,14,4,2,0,4,8,2,04/10/2020,A,Leicester_West Ham_2020
33,12:00,5,0,0,1,2,0,E0,H,C Kavanagh,West Brom,7,2,Southampton,19,5,13,0,2,1,10,1,04/10/2020,H,Southampton_West Brom_2020
