,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,6,1,1,1,7,1,E0,H,M Halsey,Everton,5,1,Arsenal,8,13,11,0,2,9,15,3,16/08/2003,H,Arsenal_Everton_2003
1,1,0,0,1,7,0,E0,H,R Styles,Tottenham,5,3,Birmingham,20,15,10,0,1,4,27,5,16/08/2003,H,Birmingham_Tottenham_2003
2,6,0,1,2,5,0,E0,H,J Winter,Wolves,13,1,Blackburn,8,8,25,0,5,2,14,1,16/08/2003,H,Blackburn_Wolves_2003
3,7,0,2,1,5,0,E0,D,G Poll,Middlesbrough,9,1,Fulham,18,8,17,1,3,6,16,1,16/08/2003,H,Fulham_Middlesbrough_2003
4,2,0,2,2,10,0,E0,H,M Riley,Southampton,7,3,Leicester,27,13,12,0,2,7,15,1,16/08/2003,D,Leicester_Southampton_2003
5,8,0,0,1,5,0,E0,H,P Durkin,Bolton,6,0,Man United,12,15,13,0,4,4,8,4,16/08/2003,H,Man United_Bolton_2003
6,7,0,1,1,5,1,E0,H,G Barber,Aston Villa,3,2,Portsmouth,18,9,4,0,2,9,22,1,16/08/2003,H,Portsmouth_Aston Villa_2003
7,4,1,3,0,8,0,E0,A,M Dean,Man City,5,2,Charlton,12,14,10,2,0,7,16,1,17/08/2003,A,Charlton_Man City_2003
8,4,0,2,1,10,0,E0,D,R Martin,Newcastle,3,4,Leeds,19,19,8,1,2,8,16,2,17/08/2003,D,Leeds_Newcastle_2003
9,8,0,2,0,6,0,E0,A,S Bennett,Chelsea,7,3,Liverpool,13,10,12,1,1,6,12,1,17/08/2003,A,Liverpool_Chelsea_2003
10,9,0,2,2,5,1,E0,H,A D'Urso,Blackburn,10,2,Bolton,11,10,16,0,2,2,15,4,23/08/2003,D,Bolton_Blackburn_2003
11,7,1,1,2,1,2,E0,H,R Styles,Leicester,7,0,Chelsea,12,5,17,1,2,2,18,3,23/08/2003,H,Chelsea_Leicester_2003
12,4,0,1,3,15,0,E0,H,N Barry,Fulham,8,2,Everton,15,23,10,0,3,10,14,4,23/08/2003,H,Everton_Fulham_2003
13,11,0,1,0,2,0,E0,A,M Messias,Portsmouth,11,2,Man City,8,4,21,1,1,7,22,3,23/08/2003,D,Man City_Portsmouth_2003
14,2,0,2,1,8,0,E0,H,U Rennie,Man United,5,2,Newcastle,18,11,7,0,1,4,14,2,23/08/2003,A,Newcastle_Man United_2003
15,2,0,0,0,5,0,E0,D,Graham Barber,Birmingham,7,3,Southampton,15,12,14,0,0,7,19,1,23/08/2003,D,Southampton_Birmingham_2003
16,6,0,1,1,2,0,E0,D,S Dunn,Leeds,4,1,Tottenham,14,5,20,1,2,0,14,2,23/08/2003,H,Tottenham_Leeds_2003
17,5,0,4,0,6,1,E0,A,P Dowd,Charlton,4,2,Wolves,11,8,10,4,0,2,7,1,23/08/2003,A,Wolves_Charlton_2003
18,8,0,0,0,9,0,E0,D,P Durkin,Liverpool,9,0,Aston Villa,16,15,14,0,0,9,7,1,24/08/2003,D,Aston Villa_Liverpool_2003
19,3,0,4,0,10,0,E0,A,D Gallagher,Arsenal,4,1,Middlesbrough,11,14,10,3,0,5,7,0,24/08/2003,A,Middlesbrough_Arsenal_2003
20,9,0,3,1,5,0,E0,D,A Wiley,Man City,10,2,Blackburn,14,13,14,1,2,0,10,1,25/08/2003,A,Blackburn_Man City_2003
