,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,7,0,0,0,2,0,E0,D,C Foy,Sunderland,4,0,Arsenal,12,3,14,0,0,0,8,0,18/08/2012,D,Arsenal_Sunderland_2012
1,6,0,0,2,2,0,E0,H,M Oliver,Norwich,9,0,Fulham,12,4,11,0,5,3,11,0,18/08/2012,H,Fulham_Norwich_2012
2,3,0,1,0,6,0,E0,D,M Atkinson,Tottenham,4,2,Newcastle,12,12,6,0,2,5,8,2,18/08/2012,H,Newcastle_Tottenham_2012
3,5,0,5,0,8,0,E0,A,L Probert,Swansea,11,2,QPR,11,12,20,1,0,3,14,2,18/08/2012,A,QPR_Swansea_2012
4,4,0,1,0,3,1,E0,A,K Friend,Stoke,3,2,Reading,9,6,9,1,1,3,14,4,18/08/2012,D,Reading_Stoke_2012
5,7,0,0,1,7,1,E0,H,P Dowd,Liverpool,10,1,West Brom,10,14,15,0,3,3,11,4,18/08/2012,H,West Brom_Liverpool_2012
6,6,0,0,1,6,0,E0,H,M Dean,Aston Villa,4,0,West Ham,17,10,8,0,1,4,8,1,18/08/2012,H,West Ham_Aston Villa_2012
7,7,0,2,1,6,0,E0,H,H Webb,Southampton,15,1,Man City,4,9,20,0,3,3,6,2,19/08/2012,H,Man City_Southampton_2012
8,7,0,2,0,3,0,E0,A,M Jones,Chelsea,4,2,Wigan,16,5,12,2,0,1,11,2,19/08/2012,A,Wigan_Chelsea_2012
9,6,0,0,0,7,0,E0,D,A Marriner,Man United,7,1,Everton,12,12,16,0,1,8,11,2,20/08/2012,H,Everton_Man United_2012
10,1,0,2,1,5,0,E0,A,L Mason,Reading,11,0,Chelsea,11,7,23,2,4,5,14,2,22/08/2012,H,Chelsea_Reading_2012
11,1,1,3,0,11,0,E0,A,M Oliver,Everton,3,1,Aston Villa,10,19,7,3,1,9,7,0,25/08/2012,A,Aston Villa_Everton_2012
12,2,0,0,2,5,0,E0,H,P Dowd,Newcastle,6,1,Chelsea,8,11,11,0,2,3,10,0,25/08/2012,H,Chelsea_Newcastle_2012
13,8,0,2,3,11,0,E0,H,K Friend,Fulham,11,0,Man United,12,14,20,1,3,8,7,1,25/08/2012,H,Man United_Fulham_2012
14,6,0,1,1,4,0,E0,D,M Clattenburg,QPR,4,0,Norwich,15,6,13,1,1,2,14,2,25/08/2012,D,Norwich_QPR_2012
15,10,0,2,0,8,0,E0,D,A Taylor,Wigan,9,0,Southampton,11,12,14,0,0,3,9,0,25/08/2012,A,Southampton_Wigan_2012
16,5,0,0,2,6,0,E0,H,M Atkinson,West Ham,7,2,Swansea,13,7,10,0,3,4,17,4,25/08/2012,H,Swansea_West Ham_2012
17,7,0,1,0,5,0,E0,D,M Dean,West Brom,10,1,Tottenham,8,10,18,0,1,5,7,2,25/08/2012,D,Tottenham_West Brom_2012
18,4,0,2,1,5,0,E0,H,A Marriner,Man City,8,1,Liverpool,10,11,15,0,2,4,7,0,26/08/2012,D,Liverpool_Man City_2012
19,0,0,0,0,6,0,E0,D,L Mason,Arsenal,4,2,Stoke,9,16,7,0,0,11,9,0,26/08/2012,D,Stoke_Arsenal_2012
20,8,0,1,1,5,0,E0,H,C Foy,QPR,12,2,Man City,12,9,19,0,3,3,3,1,01/09/2012,H,Man City_QPR_2012
21,8,1,2,1,3,0,E0,A,R East,Sunderland,10,1,Swansea,11,4,14,2,2,0,7,1,01/09/2012,D,Swansea_Sunderland_2012
22,4,1,1,0,4,0,E0,D,M Halsey,Norwich,9,1,Tottenham,7,10,15,0,1,2,12,0,01/09/2012,D,Tottenham_Norwich_2012
23,6,0,0,0,5,0,E0,D,J Moss,Everton,8,1,West Brom,11,12,14,0,2,3,15,4,01/09/2012,H,West Brom_Everton_2012
