,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,4,0,2,0,7,0,E0,A,M Riley,Liverpool,6,4,Aston Villa,18,17,10,1,1,2,11,2,11/08/2007,A,Aston Villa_Liverpool_2007
1,4,0,3,0,5,0,E0,A,C Foy,Newcastle,9,1,Bolton,15,7,13,3,1,3,16,1,11/08/2007,A,Bolton_Newcastle_2007
2,6,0,2,1,6,0,E0,D,M Dean,Portsmouth,5,1,Derby,14,12,12,1,2,6,17,2,11/08/2007,D,Derby_Portsmouth_2007
3,6,0,1,1,4,0,E0,H,M Clattenburg,Wigan,8,0,Everton,8,14,12,0,2,2,13,0,11/08/2007,H,Everton_Wigan_2007
4,13,0,2,1,4,0,E0,H,A Marriner,Blackburn,6,3,Middlesbrough,16,4,10,0,1,3,16,4,11/08/2007,A,Middlesbrough_Blackburn_2007
5,7,0,0,0,3,0,E0,D,A Wiley,Tottenham,4,1,Sunderland,14,6,9,0,1,2,14,1,11/08/2007,H,Sunderland_Tottenham_2007
6,5,0,2,0,5,0,E0,A,P Walton,Man City,2,0,West Ham,13,14,9,1,0,3,11,4,11/08/2007,A,West Ham_Man City_2007
7,14,0,1,0,9,0,E0,A,P Dowd,Fulham,13,1,Arsenal,6,12,19,1,2,4,19,5,12/08/2007,H,Arsenal_Fulham_2007
8,5,0,2,2,4,0,E0,D,S Bennett,Birmingham,11,2,Chelsea,8,6,19,2,3,3,8,1,12/08/2007,H,Chelsea_Birmingham_2007
9,12,0,0,0,2,1,E0,D,R Styles,Reading,9,0,Man United,8,3,22,0,0,3,16,2,12/08/2007,D,Man United_Reading_2007
10,9,0,3,1,10,0,E0,A,M Halsey,Everton,8,2,Tottenham,16,16,14,3,1,4,9,0,14/08/2007,A,Tottenham_Everton_2007
11,2,0,2,1,3,0,E0,H,K Stroud,Sunderland,3,1,Birmingham,17,7,7,0,2,7,10,1,15/08/2007,D,Birmingham_Sunderland_2007
12,9,0,1,2,7,0,E0,H,L Probert,Bolton,6,2,Fulham,19,14,8,1,2,8,13,1,15/08/2007,H,Fulham_Bolton_2007
13,4,0,0,1,3,0,E0,H,L Mason,Derby,6,3,Man City,12,5,9,0,1,4,13,1,15/08/2007,H,Man City_Derby_2007
