,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
276,5,0,0,0,3,0,E0,D,N Swarbrick,Newcastle,2,1,Stoke,11,5,9,0,1,2,6,0,02/03/2016,H,Stoke_Newcastle_2015
277,6,0,0,1,2,0,E0,H,A Marriner,Tottenham,3,0,West Ham,10,9,14,0,1,3,11,3,02/03/2016,H,West Ham_Tottenham_2015
278,8,0,1,1,5,0,E0,H,M Clattenburg,Stoke,7,1,Chelsea,9,16,20,0,1,4,10,2,05/03/2016,D,Chelsea_Stoke_2015
279,9,1,3,1,5,0,E0,H,A Taylor,West Ham,8,2,Everton,12,17,15,0,2,6,13,3,05/03/2016,A,Everton_West Ham_2015
280,9,0,0,0,1,0,E0,D,L Mason,Aston Villa,9,0,Man City,10,2,22,0,4,1,10,1,05/03/2016,H,Man City_Aston Villa_2015
281,5,0,3,0,5,0,E0,A,P Tierney,Bournemouth,3,1,Newcastle,13,16,14,1,1,4,8,3,05/03/2016,A,Newcastle_Bournemouth_2015
282,12,1,1,0,3,0,E0,D,N Swarbrick,Sunderland,5,2,Southampton,9,11,16,0,1,2,9,1,05/03/2016,D,Southampton_Sunderland_2015
283,5,0,0,0,3,0,E0,D,C Pawson,Norwich,3,2,Swansea,14,8,10,0,1,0,15,5,05/03/2016,H,Swansea_Norwich_2015
284,9,0,2,0,4,1,E0,A,M Oliver,Arsenal,11,2,Tottenham,9,10,26,1,2,2,10,2,05/03/2016,D,Tottenham_Arsenal_2015
285,3,0,1,0,7,0,E0,D,J Moss,Leicester,4,2,Watford,10,14,11,0,0,8,11,2,05/03/2016,A,Watford_Leicester_2015
286,6,0,2,0,5,1,E0,D,A Marriner,Liverpool,4,1,Crystal Palace,12,19,14,0,1,6,16,2,06/03/2016,A,Crystal Palace_Liverpool_2015
287,4,0,0,0,1,1,E0,D,M Dean,Man United,2,1,West Brom,8,7,9,0,1,5,7,0,06/03/2016,H,West Brom_Man United_2015
288,5,0,2,1,4,0,E0,D,R East,Swansea,4,1,Bournemouth,12,12,12,1,3,3,11,0,12/03/2016,H,Bournemouth_Swansea_2015
289,3,0,0,0,3,0,E0,D,J Moss,Man City,0,3,Norwich,15,15,5,0,0,8,10,1,12/03/2016,D,Norwich_Man City_2015
290,1,0,2,0,4,1,E0,A,L Mason,Southampton,2,1,Stoke,13,11,13,2,1,4,12,2,12/03/2016,A,Stoke_Southampton_2015
291,5,0,2,0,8,0,E0,A,A Taylor,Tottenham,2,0,Aston Villa,6,19,11,1,0,8,6,0,13/03/2016,A,Aston Villa_Tottenham_2015
292,8,0,0,1,2,0,E0,H,C Pawson,Newcastle,1,0,Leicester,4,13,10,0,1,4,9,0,14/03/2016,H,Leicester_Newcastle_2015
293,10,0,2,1,6,0,E0,D,R Madley,West Ham,5,3,Chelsea,13,13,22,1,2,9,14,5,19/03/2016,D,Chelsea_West Ham_2015
294,10,0,1,0,3,0,E0,A,M Jones,Leicester,4,1,Crystal Palace,9,8,12,1,0,7,13,1,19/03/2016,A,Crystal Palace_Leicester_2015
295,7,0,2,0,3,0,E0,A,M Clattenburg,Arsenal,2,0,Everton,7,11,8,2,0,5,10,0,19/03/2016,A,Everton_Arsenal_2015
296,4,0,0,0,2,0,E0,D,M Dean,Aston Villa,1,3,Swansea,9,12,10,0,1,6,10,2,19/03/2016,H,Swansea_Aston Villa_2015
297,9,0,2,0,6,0,E0,A,C Pawson,Stoke,4,3,Watford,10,9,9,1,1,2,14,1,19/03/2016,A,Watford_Stoke_2015
298,4,0,1,0,1,0,E0,D,A Taylor,Norwich,0,1,West Brom,8,7,10,0,0,3,13,2,19/03/2016,A,West Brom_Norwich_2015
299,11,0,1,0,3,0,E0,A,M Oliver,Man United,2,1,Man City,9,5,26,1,0,5,12,1,20/03/2016,A,Man City_Man United_2015
300,2,0,1,0,4,0,E0,A,M Atkinson,Sunderland,8,4,Newcastle,14,14,17,1,1,5,7,1,20/03/2016,D,Newcastle_Sunderland_2015
301,3,0,2,0,9,0,E0,A,R East,Liverpool,5,1,Southampton,10,18,16,2,3,5,13,3,20/03/2016,H,Southampton_Liverpool_2015
302,4,0,0,2,0,0,E0,H,N Swarbrick,Bournemouth,8,0,Tottenham,11,2,17,0,3,5,6,1,20/03/2016,H,Tottenham_Bournemouth_2015
303,8,0,0,2,2,0,E0,H,A Taylor,Watford,12,1,Arsenal,7,6,19,0,4,3,10,1,02/04/2016,H,Arsenal_Watford_2015
