year,team,home_away_total,type_rating,points,game_id,date,round_as_home,round_as_away,round_as_total,round_by_week_total,rating_initial,sum_points,rating_dynamic
2007,Arsenal,total,ft_total,3,Arsenal_Fulham_2007,2007-08-12,1,1,1,1,557.6,3,621
2007,Arsenal,total,ft_total,1,Blackburn_Arsenal_2007,2007-08-19,1,1,2,2,557.6,4,633
2007,Arsenal,total,ft_total,3,Arsenal_Man City_2007,2007-08-25,2,1,3,3,557.6,7,697
2007,Arsenal,total,ft_total,3,Arsenal_Portsmouth_2007,2007-09-02,3,1,4,4,557.6,10,762
2007,Arsenal,total,ft_total,3,Tottenham_Arsenal_2007,2007-09-15,3,2,5,6,557.6,13,826
2007,Arsenal,total,ft_total,3,Arsenal_Derby_2007,2007-09-22,4,2,6,7,557.6,16,890
2007,Arsenal,total,ft_total,3,West Ham_Arsenal_2007,2007-09-29,4,3,7,8,557.6,19,954
2007,Arsenal,total,ft_total,3,Arsenal_Sunderland_2007,2007-10-07,5,3,8,9,557.6,22,1019
2007,Arsenal,total,ft_total,3,Arsenal_Bolton_2007,2007-10-20,6,3,9,11,557.6,25,1083
2007,Arsenal,total,ft_total,1,Liverpool_Arsenal_2007,2007-10-28,6,4,10,12,557.6,26,1095
2007,Arsenal,total,ft_total,1,Arsenal_Man United_2007,2007-11-03,7,4,11,13,557.6,27,1106
2007,Arsenal,total,ft_total,3,Reading_Arsenal_2007,2007-11-12,7,5,12,14,557.6,30,1170
2007,Arsenal,total,ft_total,3,Arsenal_Wigan_2007,2007-11-24,8,5,13,16,557.6,33,1235
2007,Arsenal,total,ft_total,3,Aston Villa_Arsenal_2007,2007-12-01,8,6,14,17,557.6,36,1299
2007,Arsenal,total,ft_total,1,Newcastle_Arsenal_2007,2007-12-05,8,7,15,18,557.6,37,1311
2007,Arsenal,total,ft_total,0,Middlesbrough_Arsenal_2007,2007-12-09,8,8,16,18,557.6,37,1296
2007,Arsenal,total,ft_total,3,Arsenal_Chelsea_2007,2007-12-16,9,8,17,19,557.6,40,1360
2007,Arsenal,total,ft_total,3,Arsenal_Tottenham_2007,2007-12-22,10,8,18,20,557.6,43,1425
2007,Arsenal,total,ft_total,1,Portsmouth_Arsenal_2007,2007-12-26,10,9,19,21,557.6,44,1436
2007,Arsenal,total,ft_total,3,Everton_Arsenal_2007,2007-12-29,10,10,20,21,557.6,47,1500
2007,Arsenal,total,ft_total,3,Arsenal_West Ham_2007,2008-01-01,11,10,21,22,557.6,50,1565
2007,Arsenal,total,ft_total,1,Arsenal_Birmingham_2007,2008-01-12,12,10,22,23,557.6,51,1576
2007,Arsenal,total,ft_total,3,Fulham_Arsenal_2007,2008-01-19,12,11,23,24,557.6,54,1641
2007,Arsenal,total,ft_total,3,Arsenal_Newcastle_2007,2008-01-29,13,11,24,26,557.6,57,1705
2007,Arsenal,total,ft_total,3,Man City_Arsenal_2007,2008-02-02,13,12,25,26,557.6,60,1769
2007,Arsenal,total,ft_total,3,Arsenal_Blackburn_2007,2008-02-11,14,12,26,27,557.6,63,1833
2007,Arsenal,total,ft_total,1,Birmingham_Arsenal_2007,2008-02-23,14,13,27,29,557.6,64,1845
2007,Arsenal,total,ft_total,1,Arsenal_Aston Villa_2007,2008-03-01,15,13,28,30,557.6,65,1857
2007,Arsenal,total,ft_total,1,Wigan_Arsenal_2007,2008-03-09,15,14,29,31,557.6,66,1868
2007,Arsenal,total,ft_total,1,Arsenal_Middlesbrough_2007,2008-03-15,16,14,30,32,557.6,67,1880
2007,Arsenal,total,ft_total,0,Chelsea_Arsenal_2007,2008-03-23,16,15,31,33,557.6,67,1865
2007,Arsenal,total,ft_total,3,Bolton_Arsenal_2007,2008-03-29,16,16,32,34,557.6,70,1930
2007,Arsenal,total,ft_total,1,Arsenal_Liverpool_2007,2008-04-05,17,16,33,35,557.6,71,1941
2007,Arsenal,total,ft_total,0,Man United_Arsenal_2007,2008-04-13,17,17,34,36,557.6,71,1927
2007,Arsenal,total,ft_total,3,Arsenal_Reading_2007,2008-04-19,18,17,35,37,557.6,74,1991
2007,Arsenal,total,ft_total,3,Derby_Arsenal_2007,2008-04-28,18,18,36,38,557.6,77,2055
2007,Arsenal,total,ft_total,3,Arsenal_Everton_2007,2008-05-04,19,18,37,39,557.6,80,2119
2007,Arsenal,total,ft_total,3,Sunderland_Arsenal_2007,2008-05-11,19,19,38,40,557.6,83,2184
2007,Arsenal,home,ft_home,3,Arsenal_Fulham_2007,2007-08-12,1,1,1,1,688.9,3,810
2007,Arsenal,home,ft_home,3,Arsenal_Man City_2007,2007-08-25,2,1,3,3,688.9,6,932
2007,Arsenal,home,ft_home,3,Arsenal_Portsmouth_2007,2007-09-02,3,1,4,4,688.9,9,1053
2007,Arsenal,home,ft_home,3,Arsenal_Derby_2007,2007-09-22,4,2,6,7,688.9,12,1175
2007,Arsenal,home,ft_home,3,Arsenal_Sunderland_2007,2007-10-07,5,3,8,9,688.9,15,1297
2007,Arsenal,home,ft_home,3,Arsenal_Bolton_2007,2007-10-20,6,3,9,11,688.9,18,1418
2007,Arsenal,home,ft_home,1,Arsenal_Man United_2007,2007-11-03,7,4,11,13,688.9,19,1435
2007,Arsenal,home,ft_home,3,Arsenal_Wigan_2007,2007-11-24,8,5,13,16,688.9,22,1556
2007,Arsenal,home,ft_home,3,Arsenal_Chelsea_2007,2007-12-16,9,8,17,19,688.9,25,1678
2007,Arsenal,home,ft_home,3,Arsenal_Tottenham_2007,2007-12-22,10,8,18,20,688.9,28,1800
2007,Arsenal,home,ft_home,3,Arsenal_West Ham_2007,2008-01-01,11,10,21,22,688.9,31,1921
2007,Arsenal,home,ft_home,1,Arsenal_Birmingham_2007,2008-01-12,12,10,22,23,688.9,32,1938
2007,Arsenal,home,ft_home,3,Arsenal_Newcastle_2007,2008-01-29,13,11,24,26,688.9,35,2059
2007,Arsenal,home,ft_home,3,Arsenal_Blackburn_2007,2008-02-11,14,12,26,27,688.9,38,2181
2007,Arsenal,home,ft_home,1,Arsenal_Aston Villa_2007,2008-03-01,15,13,28,30,688.9,39,2197
2007,Arsenal,home,ft_home,1,Arsenal_Middlesbrough_2007,2008-03-15,16,14,30,32,688.9,40,2214
2007,Arsenal,home,ft_home,1,Arsenal_Liverpool_2007,2008-04-05,17,16,33,35,688.9,41,2230
2007,Arsenal,home,ft_home,3,Arsenal_Reading_2007,2008-04-19,18,17,35,37,688.9,44,2352
2007,Arsenal,home,ft_home,3,Arsenal_Everton_2007,2008-05-04,19,18,37,39,688.9,47,2473
2007,Arsenal,away,ft_away,1,Blackburn_Arsenal_2007,2007-08-19,1,1,2,2,425.7,1,455
2007,Arsenal,away,ft_away,3,Tottenham_Arsenal_2007,2007-09-15,3,2,5,6,425.7,4,591
2007,Arsenal,away,ft_away,3,West Ham_Arsenal_2007,2007-09-29,4,3,7,8,425.7,7,726
2007,Arsenal,away,ft_away,1,Liverpool_Arsenal_2007,2007-10-28,6,4,10,12,425.7,8,757
2007,Arsenal,away,ft_away,3,Reading_Arsenal_2007,2007-11-12,7,5,12,14,425.7,11,892
2007,Arsenal,away,ft_away,3,Aston Villa_Arsenal_2007,2007-12-01,8,6,14,17,425.7,14,1028
2007,Arsenal,away,ft_away,1,Newcastle_Arsenal_2007,2007-12-05,8,7,15,18,425.7,15,1058
2007,Arsenal,away,ft_away,0,Middlesbrough_Arsenal_2007,2007-12-09,8,8,16,18,425.7,15,1035
2007,Arsenal,away,ft_away,1,Portsmouth_Arsenal_2007,2007-12-26,10,9,19,21,425.7,16,1066
2007,Arsenal,away,ft_away,3,Everton_Arsenal_2007,2007-12-29,10,10,20,21,425.7,19,1201
2007,Arsenal,away,ft_away,3,Fulham_Arsenal_2007,2008-01-19,12,11,23,24,425.7,22,1337
2007,Arsenal,away,ft_away,3,Man City_Arsenal_2007,2008-02-02,13,12,25,26,425.7,25,1472
2007,Arsenal,away,ft_away,1,Birmingham_Arsenal_2007,2008-02-23,14,13,27,29,425.7,26,1502
2007,Arsenal,away,ft_away,1,Wigan_Arsenal_2007,2008-03-09,15,14,29,31,425.7,27,1533
2007,Arsenal,away,ft_away,0,Chelsea_Arsenal_2007,2008-03-23,16,15,31,33,425.7,27,1510
2007,Arsenal,away,ft_away,3,Bolton_Arsenal_2007,2008-03-29,16,16,32,34,425.7,30,1646
2007,Arsenal,away,ft_away,0,Man United_Arsenal_2007,2008-04-13,17,17,34,36,425.7,30,1623
2007,Arsenal,away,ft_away,3,Derby_Arsenal_2007,2008-04-28,18,18,36,38,425.7,33,1759
2007,Arsenal,away,ft_away,3,Sunderland_Arsenal_2007,2008-05-11,19,19,38,40,425.7,36,1894
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Fulham_2007,2007-08-12,1,1,1,1,741.5,1,748
2007,Arsenal,total,ft_total_g>15,1,Blackburn_Arsenal_2007,2007-08-19,1,1,2,2,741.5,2,755
2007,Arsenal,total,ft_total_g>15,0,Arsenal_Man City_2007,2007-08-25,2,1,3,3,741.5,2,735
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Portsmouth_2007,2007-09-02,3,1,4,4,741.5,3,742
2007,Arsenal,total,ft_total_g>15,1,Tottenham_Arsenal_2007,2007-09-15,3,2,5,6,741.5,4,749
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Derby_2007,2007-09-22,4,2,6,7,741.5,5,756
2007,Arsenal,total,ft_total_g>15,0,West Ham_Arsenal_2007,2007-09-29,4,3,7,8,741.5,5,736
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Sunderland_2007,2007-10-07,5,3,8,9,741.5,6,743
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Bolton_2007,2007-10-20,6,3,9,11,741.5,7,750
2007,Arsenal,total,ft_total_g>15,1,Liverpool_Arsenal_2007,2007-10-28,6,4,10,12,741.5,8,756
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Man United_2007,2007-11-03,7,4,11,13,741.5,9,763
2007,Arsenal,total,ft_total_g>15,1,Reading_Arsenal_2007,2007-11-12,7,5,12,14,741.5,10,770
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Wigan_2007,2007-11-24,8,5,13,16,741.5,11,777
2007,Arsenal,total,ft_total_g>15,1,Aston Villa_Arsenal_2007,2007-12-01,8,6,14,17,741.5,12,784
2007,Arsenal,total,ft_total_g>15,1,Newcastle_Arsenal_2007,2007-12-05,8,7,15,18,741.5,13,790
2007,Arsenal,total,ft_total_g>15,1,Middlesbrough_Arsenal_2007,2007-12-09,8,8,16,18,741.5,14,797
2007,Arsenal,total,ft_total_g>15,0,Arsenal_Chelsea_2007,2007-12-16,9,8,17,19,741.5,14,778
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Tottenham_2007,2007-12-22,10,8,18,20,741.5,15,785
2007,Arsenal,total,ft_total_g>15,0,Portsmouth_Arsenal_2007,2007-12-26,10,9,19,21,741.5,15,765
2007,Arsenal,total,ft_total_g>15,1,Everton_Arsenal_2007,2007-12-29,10,10,20,21,741.5,16,772
2007,Arsenal,total,ft_total_g>15,1,Arsenal_West Ham_2007,2008-01-01,11,10,21,22,741.5,17,779
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Birmingham_2007,2008-01-12,12,10,22,23,741.5,18,785
2007,Arsenal,total,ft_total_g>15,1,Fulham_Arsenal_2007,2008-01-19,12,11,23,24,741.5,19,792
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Newcastle_2007,2008-01-29,13,11,24,26,741.5,20,799
2007,Arsenal,total,ft_total_g>15,1,Man City_Arsenal_2007,2008-02-02,13,12,25,26,741.5,21,806
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Blackburn_2007,2008-02-11,14,12,26,27,741.5,22,813
2007,Arsenal,total,ft_total_g>15,1,Birmingham_Arsenal_2007,2008-02-23,14,13,27,29,741.5,23,819
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Aston Villa_2007,2008-03-01,15,13,28,30,741.5,24,826
2007,Arsenal,total,ft_total_g>15,0,Wigan_Arsenal_2007,2008-03-09,15,14,29,31,741.5,24,807
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Middlesbrough_2007,2008-03-15,16,14,30,32,741.5,25,814
2007,Arsenal,total,ft_total_g>15,1,Chelsea_Arsenal_2007,2008-03-23,16,15,31,33,741.5,26,820
2007,Arsenal,total,ft_total_g>15,1,Bolton_Arsenal_2007,2008-03-29,16,16,32,34,741.5,27,827
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Liverpool_2007,2008-04-05,17,16,33,35,741.5,28,834
2007,Arsenal,total,ft_total_g>15,1,Man United_Arsenal_2007,2008-04-13,17,17,34,36,741.5,29,841
2007,Arsenal,total,ft_total_g>15,1,Arsenal_Reading_2007,2008-04-19,18,17,35,37,741.5,30,848
2007,Arsenal,total,ft_total_g>15,1,Derby_Arsenal_2007,2008-04-28,18,18,36,38,741.5,31,854
