year,team,home_away_total,type_rating,points,game_id,date,round_as_home,round_as_away,round_as_total,round_by_week_total,rating_initial,sum_points,rating_dynamic
2015,Arsenal,total,ft_total,0,Arsenal_West Ham_2015,2015-08-09,1,1,1,1,586.1,0,570
2015,Arsenal,total,ft_total,3,Crystal Palace_Arsenal_2015,2015-08-16,1,1,2,2,586.1,3,634
2015,Arsenal,total,ft_total,1,Arsenal_Liverpool_2015,2015-08-24,2,1,3,3,586.1,4,645
2015,Arsenal,total,ft_total,3,Newcastle_Arsenal_2015,2015-08-29,2,2,4,4,586.1,7,708
2015,Arsenal,total,ft_total,3,Arsenal_Stoke_2015,2015-09-12,3,2,5,6,586.1,10,772
2015,Arsenal,total,ft_total,0,Chelsea_Arsenal_2015,2015-09-19,3,3,6,7,586.1,10,756
2015,Arsenal,total,ft_total,3,Leicester_Arsenal_2015,2015-09-26,3,4,7,8,586.1,13,820
2015,Arsenal,total,ft_total,3,Arsenal_Man United_2015,2015-10-04,4,4,8,9,586.1,16,883
2015,Arsenal,total,ft_total,3,Watford_Arsenal_2015,2015-10-17,4,5,9,11,586.1,19,947
2015,Arsenal,total,ft_total,3,Arsenal_Everton_2015,2015-10-24,5,5,10,12,586.1,22,1010
2015,Arsenal,total,ft_total,3,Swansea_Arsenal_2015,2015-10-31,5,6,11,13,586.1,25,1074
2015,Arsenal,total,ft_total,1,Arsenal_Tottenham_2015,2015-11-08,6,6,12,14,586.1,26,1085
2015,Arsenal,total,ft_total,0,West Brom_Arsenal_2015,2015-11-21,6,7,13,16,586.1,26,1069
2015,Arsenal,total,ft_total,1,Norwich_Arsenal_2015,2015-11-29,6,8,14,17,586.1,27,1080
2015,Arsenal,total,ft_total,3,Arsenal_Sunderland_2015,2015-12-05,7,8,15,18,586.1,30,1144
2015,Arsenal,total,ft_total,3,Aston Villa_Arsenal_2015,2015-12-13,7,9,16,19,586.1,33,1207
2015,Arsenal,total,ft_total,3,Arsenal_Man City_2015,2015-12-21,8,9,17,20,586.1,36,1271
2015,Arsenal,total,ft_total,0,Southampton_Arsenal_2015,2015-12-26,8,10,18,21,586.1,36,1255
2015,Arsenal,total,ft_total,3,Arsenal_Bournemouth_2015,2015-12-28,9,10,19,21,586.1,39,1319
2015,Arsenal,total,ft_total,3,Arsenal_Newcastle_2015,2016-01-02,10,10,20,22,586.1,42,1382
2015,Arsenal,total,ft_total,1,Liverpool_Arsenal_2015,2016-01-13,10,11,21,24,586.1,43,1393
2015,Arsenal,total,ft_total,1,Stoke_Arsenal_2015,2016-01-17,10,12,22,24,586.1,44,1404
2015,Arsenal,total,ft_total,0,Arsenal_Chelsea_2015,2016-01-24,11,12,23,25,586.1,44,1389
2015,Arsenal,total,ft_total,1,Arsenal_Southampton_2015,2016-02-02,12,12,24,27,586.1,45,1400
2015,Arsenal,total,ft_total,3,Bournemouth_Arsenal_2015,2016-02-07,12,13,25,27,586.1,48,1463
2015,Arsenal,total,ft_total,3,Arsenal_Leicester_2015,2016-02-14,13,13,26,28,586.1,51,1527
2015,Arsenal,total,ft_total,0,Man United_Arsenal_2015,2016-02-28,13,14,27,30,586.1,51,1511
2015,Arsenal,total,ft_total,0,Arsenal_Swansea_2015,2016-03-02,14,14,28,31,586.1,51,1496
2015,Arsenal,total,ft_total,1,Tottenham_Arsenal_2015,2016-03-05,14,15,29,31,586.1,52,1507
2015,Arsenal,total,ft_total,3,Everton_Arsenal_2015,2016-03-19,14,16,30,33,586.1,55,1570
2015,Arsenal,total,ft_total,3,Arsenal_Watford_2015,2016-04-02,15,16,31,35,586.1,58,1634
2015,Arsenal,total,ft_total,1,West Ham_Arsenal_2015,2016-04-09,15,17,32,36,586.1,59,1645
2015,Arsenal,total,ft_total,1,Arsenal_Crystal Palace_2015,2016-04-17,16,17,33,37,586.1,60,1656
2015,Arsenal,total,ft_total,3,Arsenal_West Brom_2015,2016-04-21,17,17,34,38,586.1,63,1719
2015,Arsenal,total,ft_total,1,Sunderland_Arsenal_2015,2016-04-24,17,18,35,38,586.1,64,1730
2015,Arsenal,total,ft_total,3,Arsenal_Norwich_2015,2016-04-30,18,18,36,39,586.1,67,1794
2015,Arsenal,total,ft_total,1,Man City_Arsenal_2015,2016-05-08,18,19,37,40,586.1,68,1804
