Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
T1,2004-08-06,Rizespor,Fenerbahce,2,2,D,0,2,A,6.0,3.4,1.5,6.0,3.6,1.5,6.0,3.6,1.5,5.4,3.8,1.45,5.5,3.6,1.53,5.5,3.4,1.57,6.0,3.4,1.5,1.65,2.0,2.25,1.5,0.5,,,,,,,,
T1,2004-08-07,Denizlispor,Gaziantepspor,2,1,H,1,0,H,2.2,3.25,2.75,2.1,3.3,3.0,2.2,3.2,2.9,2.0,3.1,3.2,2.1,3.25,3.0,2.25,3.2,2.8,2.1,3.2,3.0,1.71,1.95,2.2,1.52,-0.5,,,,,,,,
T1,2004-08-07,Genclerbirligi,Sakaryaspor,1,0,H,1,0,H,1.5,3.4,6.0,1.45,3.7,6.5,1.45,3.7,6.6,1.45,3.8,5.4,1.53,3.6,5.5,1.5,3.5,6.0,1.4,3.75,7.0,1.6,2.1,1.45,2.37,-0.5,,,,,,,,
T1,2004-08-07,Kayserispor,Trabzonspor,0,3,A,0,1,A,4.33,3.4,1.66,5.0,3.5,1.6,4.2,3.5,1.7,4.4,3.3,1.65,4.33,3.6,1.67,4.5,3.4,1.67,4.4,3.4,1.65,1.6,2.1,1.91,1.7,0.5,,,,,,,,
T1,2004-08-07,Malatyaspor,Besiktas,1,1,D,1,0,H,3.2,3.2,2.0,3.3,3.2,2.0,3.1,3.2,2.1,3.5,3.1,1.9,3.5,3.25,1.91,3.5,3.25,1.91,2.8,3.2,2.2,1.65,2.0,1.57,2.1,0.5,,,,,,,,
T1,2004-08-08,A. Sebatspor,Ankaraspor,1,3,A,0,1,A,2.2,3.25,2.75,2.2,3.35,2.75,2.25,3.2,2.85,2.2,3.0,3.9,2.2,3.25,2.8,2.25,3.25,2.75,2.0,3.2,3.2,1.71,1.95,2.25,1.51,-0.5,,,,,,,,
T1,2004-08-08,Galatasaray,Konyaspor,3,1,H,2,1,H,1.36,4.0,7.0,1.35,4.1,7.75,1.35,4.0,8.3,1.4,3.9,6.0,1.33,4.33,7.5,1.36,4.0,7.5,1.4,3.75,7.0,1.55,2.2,1.35,2.7,-0.5,,,,,,,,
T1,2004-08-08,Istanbulspor,Diyarbakirspor,1,1,D,0,0,D,2.2,3.25,2.75,2.25,3.15,2.8,2.25,3.2,2.85,2.2,3.0,2.9,2.2,3.25,2.8,2.2,3.2,2.88,2.2,3.1,2.85,1.71,1.95,2.25,1.51,-0.5,,,,,,,,
T1,2004-08-08,Samsunspor,Ankaragucu,1,1,D,0,1,A,1.83,3.25,3.6,2.0,3.3,3.2,2.0,3.2,3.35,1.8,3.3,3.6,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,1.6,2.1,2.0,1.64,-0.5,,,,,,,,
T1,2004-08-13,Gaziantepspor,Galatasaray,1,0,H,0,0,D,3.0,3.2,2.1,3.35,3.3,1.95,2.95,3.25,2.1,3.1,3.0,2.1,3.0,3.2,2.1,2.8,3.25,2.2,2.62,3.2,2.3,1.65,2.0,1.55,2.1,-0.5,,,,,,,,
