,teams
0,Ajaccio
1,Ajaccio GFCO
2,Amiens
3,Angers
4,Arles
5,Auxerre
6,Bastia
7,Bordeaux
8,Boulogne
9,Brest
10,Caen
11,Dijon
12,Evian Thonon Gaillard
13,Grenoble
14,Guingamp
15,Istres
16,Le Havre
17,Le Mans
18,Lens
19,Lille
20,Lorient
21,Lyon
22,Marseille
23,Metz
24,Monaco
25,Montpellier
26,Nancy
27,Nantes
28,Nice
29,Nimes
30,Paris SG
31,Reims
32,Rennes
33,Sedan
34,Sochaux
35,St Etienne
36,Strasbourg
37,Toulouse
38,Troyes
39,Valenciennes
