,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
137,3.2,1.7,4.33,-0.5,1.8,4.2,3.4,-0.5,4.33,4.0,1.73,4.3,3.25,1.8,1.75,1.92,1.72,4.55,1.92,1.7,2.05,4.4,1.87,1.85,3.3,1.95,1.95,1.95,-0.5,1.75,3.1,3.2,3.3,1.85,Sevilla,Ath Bilbao,Sevilla_Ath Bilbao_2004
138,3.2,3.3,2.0,0.5,3.5,2.0,3.15,0.25,2.1,1.9,3.2,2.05,3.25,3.5,1.8,1.92,3.0,2.05,1.92,3.4,2.0,2.0,1.85,3.5,3.2,1.7,2.2,1.85,0.25,1.85,3.0,3.2,3.25,1.95,Villarreal,Real Madrid,Villarreal_Real Madrid_2004
139,3.1,2.2,3.0,-0.25,2.2,3.0,3.2,-0.25,3.1,2.8,2.1,3.15,3.25,2.2,1.75,1.92,2.1,3.2,1.92,2.1,2.05,2.9,1.9,2.2,3.25,1.95,1.95,2.0,-0.25,1.71,3.0,3.2,3.25,1.9,Zaragoza,Espanol,Zaragoza_Espanol_2004
140,3.3,4.4,1.5,1.0,5.5,1.62,3.55,1.0,1.57,1.61,6.0,1.63,3.4,6.0,1.72,2.04,5.5,1.55,1.8,5.75,2.0,1.65,2.0,5.75,3.6,1.85,2.05,1.85,1.0,1.85,3.3,3.4,3.4,1.8,Albacete,Barcelona,Albacete_Barcelona_2004
141,3.2,2.0,4.0,-0.5,2.0,3.4,3.3,-0.5,3.5,3.25,1.8,3.6,3.25,2.0,1.66,1.88,1.9,3.35,1.96,2.0,2.1,3.3,1.72,2.0,3.25,2.025,1.875,1.95,-0.5,1.75,3.0,3.2,3.3,2.0,Ath Bilbao,Ath Madrid,Ath Bilbao_Ath Madrid_2004
142,3.3,1.75,4.5,-0.5,1.73,4.5,3.35,-0.5,4.33,4.33,1.67,4.75,3.25,1.72,1.72,2.1,1.7,4.3,1.74,1.75,2.0,4.0,1.95,1.77,3.4,1.75,2.15,1.9,-0.5,1.79,3.2,3.25,3.3,1.77,Betis,Santander,Betis_Santander_2004
143,3.4,1.7,5.0,-0.75,1.67,4.8,3.5,-0.75,4.8,4.5,1.62,5.1,3.4,1.66,1.61,1.8,1.6,5.25,2.04,1.6,2.2,4.2,1.8,1.7,3.4,2.075,1.825,2.05,-0.75,1.65,3.2,3.25,3.4,2.0,Espanol,Mallorca,Espanol_Mallorca_2004
144,3.1,2.3,3.0,0.0,2.25,2.88,3.25,-0.25,2.87,2.75,2.1,3.0,3.25,2.25,1.61,1.7,2.2,2.85,2.14,2.25,2.2,2.8,2.05,2.3,3.25,1.825,2.075,2.0,0.0,1.71,2.9,3.2,3.2,1.75,Getafe,Villarreal,Getafe_Villarreal_2004
145,3.2,1.65,3.75,-0.5,1.83,4.0,3.35,-0.5,3.75,4.0,1.83,3.8,3.1,1.83,1.72,1.84,1.83,4.0,2.0,1.8,2.0,4.4,1.77,1.95,3.3,2.05,1.85,1.85,-0.5,1.85,3.3,3.2,3.3,1.95,La Coruna,Sevilla,La Coruna_Sevilla_2004
146,3.2,2.3,3.0,-0.25,2.2,3.0,3.25,-0.25,3.0,3.0,2.1,3.1,3.1,2.2,1.61,1.94,2.1,3.15,1.9,2.1,2.2,2.7,1.85,2.25,3.2,1.95,1.95,2.05,-0.25,1.65,3.0,3.2,3.2,1.95,Malaga,Levante,Malaga_Levante_2004
