,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
219,2,Osasuna,17,3,0,1,0,0,0,1,8,H,10,2014-02-03,Villarreal,SP1,2,8,5,13,D,2,Villarreal_Osasuna_2013
220,4,Granada,17,1,0,0,0,1,0,5,19,H,13,2014-02-07,Espanol,SP1,1,5,3,13,D,3,Espanol_Granada_2013
221,2,Ath Madrid,21,2,1,0,0,0,0,2,8,H,12,2014-02-08,Almeria,SP1,1,3,2,7,D,1,Almeria_Ath Madrid_2013
222,0,Villarreal,10,4,0,2,2,0,1,2,7,H,10,2014-02-08,Real Madrid,SP1,3,6,6,13,H,3,Real Madrid_Villarreal_2013
223,0,Betis,7,5,0,0,2,0,0,2,15,H,9,2014-02-08,Valencia,SP1,2,9,9,18,H,9,Valencia_Betis_2013
224,3,Malaga,20,4,1,1,3,0,0,3,14,H,15,2014-02-08,Vallecano,SP1,5,6,3,11,H,5,Vallecano_Malaga_2013
225,1,Getafe,19,2,0,0,1,0,0,4,11,H,18,2014-02-09,Osasuna,SP1,4,7,4,14,H,6,Osasuna_Getafe_2013
226,3,Barcelona,22,1,0,4,1,0,2,3,9,A,9,2014-02-09,Sevilla,SP1,5,4,6,15,A,0,Sevilla_Barcelona_2013
227,2,Levante,10,0,0,0,0,0,0,3,20,D,6,2014-02-09,Sociedad,SP1,0,6,7,18,D,3,Sociedad_Levante_2013
228,2,Elche,15,2,0,2,0,0,1,2,15,D,9,2014-02-09,Valladolid,SP1,4,3,9,13,A,2,Valladolid_Elche_2013
229,1,Ath Bilbao,12,0,0,0,0,0,0,3,9,D,7,2014-02-10,Celta,SP1,1,1,5,14,D,6,Celta_Ath Bilbao_2013
230,3,Osasuna,10,0,0,0,0,0,0,3,11,D,8,2014-02-14,Elche,SP1,3,2,7,11,D,7,Elche_Osasuna_2013
231,0,Valladolid,10,3,0,0,2,0,0,3,11,H,4,2014-02-15,Ath Madrid,SP1,0,5,8,13,H,3,Ath Madrid_Valladolid_2013
232,0,Vallecano,6,6,0,0,2,0,0,0,10,H,9,2014-02-15,Barcelona,SP1,4,10,12,21,H,5,Barcelona_Vallecano_2013
233,1,Almeria,13,1,0,0,0,0,0,4,16,H,13,2014-02-15,Levante,SP1,3,3,1,13,D,9,Levante_Almeria_2013
234,2,Celta,14,0,0,2,0,0,0,4,11,A,8,2014-02-15,Villarreal,SP1,2,5,9,19,D,2,Villarreal_Celta_2013
235,2,Espanol,15,1,0,2,0,1,1,2,14,A,14,2014-02-16,Ath Bilbao,SP1,7,3,5,10,A,6,Ath Bilbao_Espanol_2013
236,3,Real Madrid,16,0,0,3,0,0,2,4,14,A,16,2014-02-16,Getafe,SP1,7,1,8,9,A,10,Getafe_Real Madrid_2013
237,4,Betis,20,1,1,0,1,1,0,3,15,H,11,2014-02-16,Granada,SP1,6,4,4,13,H,4,Granada_Betis_2013
238,2,Valencia,22,0,1,0,0,1,0,5,13,D,9,2014-02-16,Sevilla,SP1,0,2,14,17,D,1,Sevilla_Valencia_2013
239,3,Sociedad,12,0,0,1,0,0,1,0,15,A,7,2014-02-17,Malaga,SP1,3,5,6,14,A,2,Malaga_Sociedad_2013
240,3,Levante,13,1,0,1,0,0,1,3,16,D,3,2014-02-21,Valladolid,SP1,1,2,4,11,A,1,Valladolid_Levante_2013
241,2,Malaga,14,0,0,0,0,0,0,5,23,D,14,2014-02-22,Almeria,SP1,2,2,5,7,D,5,Almeria_Malaga_2013
242,6,Getafe,15,1,1,1,0,0,1,4,16,D,6,2014-02-22,Celta,SP1,4,8,5,19,A,0,Celta_Getafe_2013
243,1,Elche,14,3,0,0,1,0,0,3,19,H,5,2014-02-22,Real Madrid,SP1,2,7,9,16,H,1,Real Madrid_Elche_2013
244,2,Barcelona,13,3,0,1,1,0,1,3,15,H,12,2014-02-22,Sociedad,SP1,3,3,2,15,D,13,Sociedad_Barcelona_2013
245,2,Ath Bilbao,14,0,0,2,0,2,1,1,10,A,14,2014-02-23,Betis,SP1,7,4,8,11,A,5,Betis_Ath Bilbao_2013
246,0,Ath Madrid,13,3,0,0,3,0,0,1,10,H,13,2014-02-23,Osasuna,SP1,6,4,6,10,H,9,Osasuna_Ath Madrid_2013
247,5,Granada,14,2,0,1,0,0,0,3,15,H,8,2014-02-23,Valencia,SP1,3,7,8,17,D,2,Valencia_Granada_2013
248,2,Sevilla,16,0,1,1,0,0,0,1,11,A,9,2014-02-23,Vallecano,SP1,2,1,1,9,D,7,Vallecano_Sevilla_2013
249,4,Villarreal,12,1,0,2,0,0,1,4,19,A,10,2014-02-24,Espanol,SP1,4,6,2,13,A,2,Espanol_Villarreal_2013
250,0,Granada,9,4,1,0,2,0,0,2,12,H,6,2014-02-28,Ath Bilbao,SP1,1,10,6,27,H,3,Ath Bilbao_Granada_2013
251,5,Celta,13,1,0,0,0,0,0,3,15,H,12,2014-03-01,Elche,SP1,3,1,3,9,D,12,Elche_Celta_2013
252,4,Espanol,9,0,0,0,0,0,0,3,11,D,17,2014-03-01,Getafe,SP1,3,7,10,15,D,11,Getafe_Espanol_2013
253,4,Osasuna,22,2,0,0,2,1,0,3,18,H,15,2014-03-01,Levante,SP1,4,3,3,7,H,6,Levante_Osasuna_2013
254,0,Valladolid,18,1,0,1,1,0,1,1,15,D,8,2014-03-01,Malaga,SP1,3,5,8,17,D,5,Malaga_Valladolid_2013
255,3,Real Madrid,17,2,0,2,2,0,1,2,10,D,15,2014-03-02,Ath Madrid,SP1,6,4,6,11,H,4,Ath Madrid_Real Madrid_2013
256,1,Almeria,8,4,0,1,2,0,1,4,12,H,6,2014-03-02,Barcelona,SP1,3,11,13,29,H,4,Barcelona_Almeria_2013
257,2,Sociedad,15,1,0,0,0,0,0,4,10,H,11,2014-03-02,Sevilla,SP1,3,5,3,10,D,4,Sevilla_Sociedad_2013
258,3,Valencia,19,1,1,0,0,0,0,1,16,H,11,2014-03-02,Vallecano,SP1,1,3,3,17,D,3,Vallecano_Valencia_2013
259,1,Betis,11,1,0,1,0,1,0,4,12,D,11,2014-03-02,Villarreal,SP1,3,3,7,4,D,8,Villarreal_Betis_2013
260,3,Getafe,15,2,0,0,2,0,0,3,16,H,9,2014-03-08,Betis,SP1,2,5,6,17,H,6,Betis_Getafe_2013
261,1,Ath Madrid,12,0,0,2,0,0,0,3,11,A,13,2014-03-08,Celta,SP1,7,2,2,9,D,5,Celta_Ath Madrid_2013
262,4,Villarreal,21,2,0,0,2,0,0,1,17,H,5,2014-03-08,Granada,SP1,1,4,3,13,H,3,Granada_Villarreal_2013
263,5,Barcelona,15,1,0,0,1,0,0,1,14,H,13,2014-03-08,Valladolid,SP1,6,2,4,7,H,3,Valladolid_Barcelona_2013
264,2,Sevilla,11,1,0,3,0,0,1,4,13,A,7,2014-03-09,Almeria,SP1,4,5,3,8,A,8,Almeria_Sevilla_2013
265,1,Elche,16,3,0,1,2,0,0,3,11,H,12,2014-03-09,Espanol,SP1,3,6,5,12,H,5,Espanol_Elche_2013
266,2,Levante,12,3,1,0,1,0,0,2,12,H,6,2014-03-09,Real Madrid,SP1,1,10,12,25,H,2,Real Madrid_Levante_2013
267,3,Ath Bilbao,15,1,0,1,1,0,0,2,15,D,13,2014-03-09,Valencia,SP1,4,4,9,13,H,6,Valencia_Ath Bilbao_2013
268,1,Malaga,5,0,1,2,0,0,1,3,19,A,11,2014-03-10,Osasuna,SP1,4,7,10,19,A,10,Osasuna_Malaga_2013
269,0,Vallecano,11,2,0,3,2,0,1,3,14,A,15,2014-03-10,Sociedad,SP1,4,6,3,15,H,8,Sociedad_Vallecano_2013
270,4,Granada,14,3,1,3,2,1,1,1,10,D,17,2014-03-14,Getafe,SP1,5,5,4,11,H,10,Getafe_Granada_2013
271,3,Espanol,11,1,0,0,0,0,0,3,17,H,8,2014-03-15,Ath Madrid,SP1,4,2,7,8,D,2,Ath Madrid_Espanol_2013
272,3,Celta,17,0,0,1,0,0,1,5,18,A,26,2014-03-15,Levante,SP1,8,8,4,18,A,9,Levante_Celta_2013
273,2,Real Madrid,10,0,0,1,0,0,1,0,6,A,13,2014-03-15,Malaga,SP1,6,4,7,12,A,6,Malaga_Real Madrid_2013
274,1,Almeria,11,3,0,1,1,0,0,3,16,H,7,2014-03-15,Vallecano,SP1,2,5,6,14,H,6,Vallecano_Almeria_2013
275,1,Osasuna,9,7,0,0,3,0,0,2,10,H,6,2014-03-16,Barcelona,SP1,3,11,4,20,H,4,Barcelona_Osasuna_2013
276,4,Betis,15,0,0,0,0,0,0,3,18,D,9,2014-03-16,Elche,SP1,3,1,6,12,D,3,Elche_Betis_2013
277,3,Valladolid,13,4,0,1,2,0,0,3,13,H,8,2014-03-16,Sevilla,SP1,2,6,9,14,H,2,Sevilla_Valladolid_2013
278,2,Valencia,16,1,0,0,0,0,0,4,20,H,12,2014-03-16,Sociedad,SP1,3,2,6,9,D,9,Sociedad_Valencia_2013
279,1,Ath Bilbao,14,1,0,1,0,1,0,2,12,D,7,2014-03-17,Villarreal,SP1,4,3,11,8,D,5,Villarreal_Ath Bilbao_2013
280,1,Malaga,8,0,1,2,0,0,2,5,14,A,9,2014-03-21,Celta,SP1,4,3,6,12,A,2,Celta_Malaga_2013
281,1,Getafe,14,1,0,0,1,0,0,3,25,H,9,2014-03-22,Ath Bilbao,SP1,3,8,10,14,H,4,Ath Bilbao_Getafe_2013
