,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
69,3.1,2.0,3.2,-0.5,2.0,3.4,3.25,-0.5,3.3,3.0,2.0,3.4,3.25,2.1,1.72,1.85,2.0,2.0,3.25,2.0,2.0,3.3,2.0,2.0,3.1,2.075,1.825,2.0,-0.25,1.71,3.0,3.2,3.25,1.8,Zaragoza,Valladolid,Zaragoza_Valladolid_2003
70,3.1,2.0,2.8,-0.25,2.2,3.1,3.1,-0.25,3.1,3.0,2.2,3.1,3.1,2.2,1.72,1.8,2.1,2.2,3.0,2.05,2.0,3.2,1.85,2.2,3.0,2.05,1.85,1.85,-0.25,1.74,3.1,3.2,3.1,1.95,La Coruna,Valencia,La Coruna_Valencia_2003
71,3.0,2.0,3.4,-0.5,1.9,3.6,3.6,-0.5,3.4,3.25,2.0,3.6,3.25,2.0,1.8,1.8,2.0,1.91,3.2,2.05,1.9,3.3,2.05,2.0,3.2,2.1,1.8,1.8,-0.25,1.8,3.0,3.0,3.1,1.75,Malaga,Zaragoza,Malaga_Zaragoza_2003
72,5.0,1.25,10.0,-1.75,1.2,10.0,10.0,-1.75,9.5,10.0,1.222,11.0,5.0,1.22,2.5,1.95,1.22,1.2,5.5,1.9,1.5,9.0,1.9,1.2,5.5,1.95,1.95,1.41,-1.75,2.45,4.5,5.0,5.2,1.9,Real Madrid,Santander,Real Madrid_Santander_2003
73,3.25,1.55,6.0,-0.75,1.53,6.0,6.0,-1.0,6.0,5.5,1.5,6.1,3.4,1.57,1.83,1.85,1.53,1.53,3.4,2.0,1.83,5.0,1.85,1.55,3.4,1.775,2.125,1.7,-1.0,1.9,3.4,3.4,3.45,1.95,Betis,Albacete,Betis_Albacete_2003
74,3.1,2.3,2.5,0.0,2.5,2.6,2.6,0.0,2.5,2.62,2.625,2.65,3.2,2.37,1.72,2.05,2.5,2.5,3.0,1.8,2.0,2.7,1.95,2.45,3.0,1.9,2.0,1.9,0.0,1.7,3.0,2.875,3.2,1.85,Espanol,Celta,Espanol_Celta_2003
75,3.1,2.7,2.375,0.0,2.62,2.37,2.38,0.0,2.37,2.5,2.6,2.45,3.2,2.5,1.75,1.75,2.62,2.63,3.2,2.1,1.95,2.3,1.8,2.65,3.2,2.025,1.875,1.8,0.0,1.8,3.0,3.2,3.2,2.0,Mallorca,Barcelona,Mallorca_Barcelona_2003
76,3.0,2.4,2.8,0.0,2.37,2.75,2.75,0.0,2.8,2.7,2.2,2.65,3.2,2.3,1.72,2.05,2.3,2.38,3.0,1.8,2.0,2.7,2.0,2.4,3.0,1.775,2.125,1.9,0.0,1.7,2.9,3.2,3.25,1.8,Murcia,Ath Madrid,Murcia_Ath Madrid_2003
77,3.1,1.8,4.333,-0.75,1.7,4.5,4.5,-0.75,4.5,4.33,1.727,4.5,3.25,1.72,1.83,1.8,1.72,1.7,3.25,2.05,1.83,3.8,1.75,1.75,3.25,2.1,1.8,1.8,-0.75,1.8,3.1,3.2,3.35,2.05,Sociedad,Osasuna,Sociedad_Osasuna_2003
78,3.1,2.3,2.5,0.0,2.3,2.87,2.88,-0.25,2.75,2.7,2.5,2.7,3.2,2.3,1.8,1.75,2.3,2.3,3.0,2.1,1.9,2.7,1.75,2.4,3.0,1.8,2.1,1.9,-0.25,1.7,3.0,3.2,3.25,2.05,Valladolid,Ath Bilbao,Valladolid_Ath Bilbao_2003
79,3.1,2.0,3.4,-0.25,2.1,3.25,3.25,-0.25,3.3,3.0,2.0,3.15,3.25,2.1,1.72,2.0,2.0,2.1,3.0,1.85,2.0,3.4,1.9,2.2,3.0,1.85,2.05,1.95,-0.25,1.66,2.9,3.0,3.05,1.9,Villarreal,Sevilla,Villarreal_Sevilla_2003
80,3.4,4.8,1.62,1.0,5.5,1.57,1.53,1.0,1.53,1.61,5.0,1.55,3.4,5.0,2.2,1.95,5.5,5.5,3.5,1.9,1.61,1.55,1.9,5.6,3.4,1.9,2.0,1.61,1.0,2.0,3.5,3.25,3.6,1.9,Zaragoza,Real Madrid,Zaragoza_Real Madrid_2003
