,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
252,20:00:00,0,Barcelona,4,0,0,2,0,0,1,2,12,A,13,2021-03-06,Osasuna,SP1,6,3,3,10,A,4,Osasuna_Barcelona_2020
253,13:00:00,0,Celta,12,0,3,4,2,0,2,2,21,A,10,2021-03-07,Huesca,SP1,7,7,6,19,D,3,Huesca_Celta_2020
254,15:15:00,5,Real Madrid,19,0,1,1,1,0,0,1,9,D,18,2021-03-07,Ath Madrid,SP1,8,5,1,11,H,6,Ath Madrid_Real Madrid_2020
255,17:30:00,0,Levante,13,0,1,0,1,0,0,2,14,H,6,2021-03-07,Sociedad,SP1,1,8,7,25,H,5,Sociedad_Levante_2020
256,20:00:00,2,Granada,10,0,2,1,1,0,0,2,10,H,13,2021-03-07,Ath Bilbao,SP1,3,5,6,7,H,9,Ath Bilbao_Granada_2020
257,20:00:00,0,Alaves,13,0,3,2,0,0,2,3,11,H,4,2021-03-08,Betis,SP1,3,8,12,23,A,1,Betis_Alaves_2020
258,18:00:00,2,Ath Bilbao,12,0,2,1,1,0,1,2,13,H,4,2021-03-10,Ath Madrid,SP1,2,5,5,11,D,4,Ath Madrid_Ath Bilbao_2020
259,20:00:00,3,Valencia,17,0,1,0,1,0,0,4,13,H,11,2021-03-12,Levante,SP1,2,3,3,11,H,3,Levante_Valencia_2020
260,13:00:00,3,Cadiz,22,0,1,1,1,1,0,3,6,D,9,2021-03-13,Alaves,SP1,1,3,2,9,H,5,Alaves_Cadiz_2020
261,15:15:00,1,Elche,11,0,2,1,0,0,0,1,16,H,3,2021-03-13,Real Madrid,SP1,2,4,6,17,D,1,Real Madrid_Elche_2020
262,17:30:00,2,Valladolid,12,0,0,0,0,0,0,3,9,D,12,2021-03-13,Osasuna,SP1,2,2,7,14,D,3,Osasuna_Valladolid_2020
263,20:00:00,1,Ath Madrid,9,0,0,0,0,1,0,4,17,D,15,2021-03-13,Getafe,SP1,7,2,3,11,D,11,Getafe_Ath Madrid_2020
264,13:00:00,3,Ath Bilbao,20,0,0,0,0,0,0,1,13,D,6,2021-03-14,Celta,SP1,1,3,1,13,D,3,Celta_Ath Bilbao_2020
265,15:15:00,2,Sociedad,23,0,1,0,0,0,0,3,16,H,7,2021-03-14,Granada,SP1,1,2,4,7,D,6,Granada_Sociedad_2020
266,17:30:00,2,Villarreal,12,1,1,3,0,0,2,2,9,A,13,2021-03-14,Eibar,SP1,8,7,7,16,A,2,Eibar_Villarreal_2020
267,20:00:00,3,Betis,12,0,1,0,1,0,0,5,14,H,13,2021-03-14,Sevilla,SP1,3,3,3,9,H,6,Sevilla_Betis_2020
268,20:00:00,0,Huesca,8,0,4,1,2,0,1,2,13,H,8,2021-03-15,Barcelona,SP1,4,5,7,12,H,3,Barcelona_Huesca_2020
269,18:00:00,2,Elche,9,0,2,0,1,0,0,1,8,H,11,2021-03-17,Sevilla,SP1,5,8,4,13,H,1,Sevilla_Elche_2020
270,20:00:00,2,Levante,14,0,2,0,0,0,0,0,10,H,7,2021-03-19,Betis,SP1,1,6,4,15,D,1,Betis_Levante_2020
271,13:00:00,1,Eibar,5,0,1,1,1,0,1,1,15,D,4,2021-03-20,Ath Bilbao,SP1,2,4,10,18,D,1,Ath Bilbao_Eibar_2020
272,15:15:00,3,Real Madrid,23,0,1,3,1,0,2,4,13,A,16,2021-03-20,Celta,SP1,4,3,1,8,A,7,Celta_Real Madrid_2020
273,17:30:00,1,Osasuna,9,0,0,0,0,0,0,2,13,D,7,2021-03-20,Huesca,SP1,2,3,5,15,D,1,Huesca_Osasuna_2020
274,20:00:00,3,Sevilla,17,0,1,1,1,0,0,1,10,D,12,2021-03-20,Valladolid,SP1,4,2,2,3,H,8,Valladolid_Sevilla_2020
275,13:00:00,3,Elche,17,0,1,1,0,0,1,7,21,D,6,2021-03-21,Getafe,SP1,2,5,4,12,A,8,Getafe_Elche_2020
276,15:15:00,0,Granada,11,0,2,1,1,0,0,3,11,H,15,2021-03-21,Valencia,SP1,3,9,3,18,H,4,Valencia_Granada_2020
277,15:15:00,3,Cadiz,14,0,2,1,1,0,0,3,6,H,9,2021-03-21,Villarreal,SP1,3,4,5,13,H,6,Villarreal_Cadiz_2020
278,17:30:00,3,Alaves,17,0,1,0,0,0,0,3,12,H,9,2021-03-21,Ath Madrid,SP1,3,4,5,8,D,5,Ath Madrid_Alaves_2020
279,20:00:00,3,Barcelona,11,0,1,6,0,0,2,2,12,A,14,2021-03-21,Sociedad,SP1,10,5,1,10,A,1,Sociedad_Barcelona_2020
280,20:00:00,2,Huesca,15,0,0,2,0,0,1,2,7,A,6,2021-04-02,Levante,SP1,2,3,8,13,A,2,Levante_Huesca_2020
281,13:00:00,2,Villarreal,14,0,0,3,0,0,2,2,14,A,15,2021-04-03,Granada,SP1,6,2,3,6,A,5,Granada_Villarreal_2020
282,15:15:00,0,Eibar,6,0,2,0,1,0,0,2,8,H,10,2021-04-03,Real Madrid,SP1,4,8,6,21,H,9,Real Madrid_Eibar_2020
283,17:30:00,2,Getafe,23,0,0,0,0,0,0,3,18,D,6,2021-04-03,Osasuna,SP1,2,1,2,4,D,4,Osasuna_Getafe_2020
284,13:00:00,4,Celta,9,1,1,3,0,0,3,5,21,A,8,2021-04-04,Alaves,SP1,6,7,6,17,A,2,Alaves_Celta_2020
285,15:15:00,1,Betis,9,0,1,1,1,0,1,4,15,D,13,2021-04-04,Elche,SP1,3,3,7,7,D,2,Elche_Betis_2020
286,17:30:00,2,Valencia,10,0,2,1,1,0,1,2,7,H,12,2021-04-04,Cadiz,SP1,6,2,4,6,D,13,Cadiz_Valencia_2020
287,20:00:00,2,Ath Madrid,13,0,1,0,0,0,0,4,11,H,9,2021-04-04,Sevilla,SP1,4,5,3,18,D,2,Sevilla_Ath Madrid_2020
288,20:00:00,3,Valladolid,12,1,1,0,0,0,0,3,13,H,7,2021-04-05,Barcelona,SP1,2,10,4,25,D,1,Barcelona_Valladolid_2020
289,20:00:00,3,Ath Bilbao,18,0,1,1,0,0,0,1,7,D,11,2021-04-07,Sociedad,SP1,2,2,3,12,D,6,Sociedad_Ath Bilbao_2020
290,20:00:00,2,Elche,17,0,3,1,2,0,1,2,13,H,8,2021-04-09,Huesca,SP1,2,5,6,8,H,6,Huesca_Elche_2020
291,13:00:00,3,Cadiz,10,0,0,1,0,0,0,2,13,A,8,2021-04-10,Getafe,SP1,3,4,10,19,D,4,Getafe_Cadiz_2020
292,15:15:00,2,Alaves,13,0,0,0,0,0,0,2,15,D,9,2021-04-10,Ath Bilbao,SP1,0,4,6,11,D,6,Ath Bilbao_Alaves_2020
293,17:30:00,3,Levante,9,0,0,1,0,0,1,2,7,A,6,2021-04-10,Eibar,SP1,1,4,6,10,A,3,Eibar_Levante_2020
294,20:00:00,3,Barcelona,16,0,2,1,2,1,0,4,10,H,18,2021-04-10,Real Madrid,SP1,4,3,5,14,H,6,Real Madrid_Barcelona_2020
295,13:00:00,0,Osasuna,6,0,1,2,0,0,0,0,12,A,12,2021-04-11,Villarreal,SP1,4,6,6,15,D,5,Villarreal_Osasuna_2020
296,15:15:00,6,Sociedad,11,0,2,2,0,1,2,4,17,D,16,2021-04-11,Valencia,SP1,5,2,4,9,A,5,Valencia_Sociedad_2020
297,17:30:00,4,Granada,14,0,1,2,1,0,0,2,15,A,12,2021-04-11,Valladolid,SP1,6,3,2,7,H,4,Valladolid_Granada_2020
298,20:00:00,0,Ath Madrid,12,0,1,1,1,0,1,0,13,D,10,2021-04-11,Betis,SP1,4,4,5,8,D,5,Betis_Ath Madrid_2020
299,20:00:00,3,Sevilla,18,0,3,4,3,0,2,2,15,A,13,2021-04-12,Celta,SP1,6,5,5,12,H,2,Celta_Sevilla_2020
300,13:00:00,2,Elche,14,0,2,0,1,0,0,1,15,H,8,2021-04-18,Osasuna,SP1,2,3,4,9,H,5,Osasuna_Elche_2020
301,13:00:00,3,Sevilla,20,0,1,2,1,0,2,2,15,A,15,2021-04-18,Sociedad,SP1,7,2,7,5,A,3,Sociedad_Sevilla_2020
302,15:15:00,1,Huesca,15,0,1,0,0,0,0,2,13,H,9,2021-04-18,Alaves,SP1,1,2,7,10,D,3,Alaves_Huesca_2020
