,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,2,Heerenveen,13,2,1,3,1,0,3,5,11,A,7,2018-08-10,Zwolle,N1,3,4,5,18,A,1,Zwolle_Heerenveen_2018
1,0,Heracles,13,1,0,1,0,0,0,3,25,D,11,2018-08-11,Ajax,N1,2,7,12,17,D,7,Ajax_Heracles_2018
2,3,For Sittard,12,1,0,1,1,1,0,1,11,D,18,2018-08-11,Excelsior,N1,6,3,4,13,H,8,Excelsior_For Sittard_2018
3,2,Utrecht,11,4,0,0,1,0,0,2,12,H,6,2018-08-11,PSV Eindhoven,N1,2,10,9,14,H,1,PSV Eindhoven_Utrecht_2018
4,2,VVV Venlo,11,0,0,1,0,0,1,2,18,A,7,2018-08-11,Willem II,N1,1,6,13,15,A,2,Willem II_VVV Venlo_2018
5,0,NAC Breda,9,5,0,0,3,0,0,2,9,H,5,2018-08-12,AZ Alkmaar,N1,4,12,14,29,H,1,AZ Alkmaar_NAC Breda_2018
6,2,FC Emmen,12,1,0,2,0,0,2,1,20,A,10,2018-08-12,Den Haag,N1,5,5,8,14,A,3,Den Haag_FC Emmen_2018
7,2,Feyenoord,16,2,2,0,1,0,0,4,15,H,14,2018-08-12,Graafschap,N1,6,5,3,9,H,5,Graafschap_Feyenoord_2018
8,0,Groningen,15,5,0,1,2,0,1,2,15,H,11,2018-08-12,Vitesse,N1,6,8,6,14,H,1,Vitesse_Groningen_2018
9,1,Willem II,18,0,0,1,0,0,1,1,11,A,7,2018-08-17,Groningen,N1,2,4,5,15,A,2,Groningen_Willem II_2018
10,2,Den Haag,13,4,0,2,3,0,2,4,17,H,19,2018-08-18,Heracles,N1,7,7,5,17,H,10,Heracles_Den Haag_2018
11,0,Graafschap,9,3,0,0,1,0,0,2,18,H,7,2018-08-18,NAC Breda,N1,2,3,3,7,H,4,NAC Breda_Graafschap_2018
12,1,PSV Eindhoven,13,1,0,2,0,0,1,1,16,A,17,2018-08-18,For Sittard,N1,8,6,5,10,A,8,For Sittard_PSV Eindhoven_2018
13,0,Ajax,8,0,0,1,0,0,0,1,9,A,18,2018-08-18,VVV Venlo,N1,9,1,5,9,D,7,VVV Venlo_Ajax_2018
14,0,AZ Alkmaar,10,1,0,4,1,0,3,1,15,A,16,2018-08-19,FC Emmen,N1,8,7,6,14,A,3,FC Emmen_AZ Alkmaar_2018
15,0,Excelsior,14,3,0,0,1,0,0,0,8,H,9,2018-08-19,Feyenoord,N1,2,6,10,23,H,1,Feyenoord_Excelsior_2018
16,3,Vitesse,17,1,0,1,1,0,0,2,15,D,20,2018-08-19,Heerenveen,N1,4,3,1,7,H,8,Heerenveen_Vitesse_2018
17,2,Zwolle,8,2,0,0,2,1,0,1,14,H,17,2018-08-19,Utrecht,N1,4,2,6,7,H,10,Utrecht_Zwolle_2018
18,5,For Sittard,10,3,0,1,2,0,0,1,13,H,14,2018-08-24,Den Haag,N1,3,6,14,12,H,10,Den Haag_For Sittard_2018
19,0,FC Emmen,10,5,0,0,2,0,0,1,9,H,6,2018-08-25,Ajax,N1,2,10,11,22,H,1,Ajax_FC Emmen_2018
20,2,Groningen,10,0,0,1,0,0,1,3,13,A,12,2018-08-25,Graafschap,N1,3,4,7,10,A,3,Graafschap_Groningen_2018
21,3,Excelsior,7,0,0,2,0,0,1,2,13,A,10,2018-08-25,NAC Breda,N1,3,3,3,12,A,3,NAC Breda_Excelsior_2018
22,1,PSV Eindhoven,11,1,0,2,0,0,1,2,8,A,15,2018-08-25,Zwolle,N1,6,5,6,18,A,6,Zwolle_PSV Eindhoven_2018
23,3,Vitesse,13,0,0,0,0,0,0,3,14,D,13,2018-08-26,AZ Alkmaar,N1,3,3,6,18,D,4,AZ Alkmaar_Vitesse_2018
