,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
166,19:00:00,1,Vitesse,15,0,4,1,3,0,0,1,14,H,24,2021-01-27,VVV Venlo,N1,5,6,5,11,H,4,VVV Venlo_Vitesse_2020
167,19:00:00,1,For Sittard,13,0,1,2,0,0,0,1,8,A,15,2021-01-27,Waalwijk,N1,9,7,8,14,D,5,Waalwijk_For Sittard_2020
168,20:00:00,1,Feyenoord,11,0,3,0,2,0,0,1,5,H,15,2021-01-27,Heerenveen,N1,1,6,6,15,H,9,Heerenveen_Feyenoord_2020
169,20:00:00,2,Willem II,14,0,3,1,0,0,0,0,6,H,7,2021-01-28,Ajax,N1,4,9,7,27,D,1,Ajax_Willem II_2020
170,17:45:00,1,Twente,4,0,0,0,0,0,0,0,7,D,6,2021-01-28,Sparta Rotterdam,N1,2,5,1,12,D,5,Sparta Rotterdam_Twente_2020
171,15:30:00,0,Groningen,14,0,1,0,1,0,0,1,15,H,13,2021-01-30,Heracles,N1,3,3,5,8,H,4,Heracles_Groningen_2020
172,17:45:00,2,Zwolle,13,1,3,3,1,0,2,1,13,D,10,2021-01-30,Utrecht,N1,4,8,16,19,A,3,Utrecht_Zwolle_2020
173,19:00:00,2,VVV Venlo,16,0,3,2,1,0,0,3,10,H,12,2021-01-30,For Sittard,N1,3,7,2,9,H,4,For Sittard_VVV Venlo_2020
174,20:00:00,1,Waalwijk,11,0,1,1,0,0,0,2,11,D,11,2021-01-30,Vitesse,N1,5,6,11,11,D,5,Vitesse_Waalwijk_2020
175,11:15:00,2,Heerenveen,10,0,0,0,0,0,0,1,7,D,4,2021-01-31,Twente,N1,1,4,8,19,D,5,Twente_Heerenveen_2020
176,13:30:00,1,PSV Eindhoven,12,0,3,1,3,0,0,2,10,H,17,2021-01-31,Feyenoord,N1,6,5,0,6,H,13,Feyenoord_PSV Eindhoven_2020
177,13:30:00,0,FC Emmen,14,0,2,0,1,0,0,1,12,H,18,2021-01-31,Willem II,N1,2,4,1,12,H,5,Willem II_FC Emmen_2020
178,15:45:00,0,Ajax,7,0,0,3,0,0,1,0,13,A,13,2021-01-31,AZ Alkmaar,N1,7,3,2,8,A,3,AZ Alkmaar_Ajax_2020
179,15:45:00,4,Sparta Rotterdam,11,0,1,1,1,0,0,1,17,D,12,2021-01-31,Den Haag,N1,4,5,4,8,H,3,Den Haag_Sparta Rotterdam_2020
180,19:00:00,2,Heracles,9,0,0,1,0,0,1,2,12,A,10,2021-02-05,For Sittard,N1,5,3,7,15,A,6,For Sittard_Heracles_2020
181,13:00:00,0,AZ Alkmaar,10,0,0,1,0,0,0,1,8,A,16,2021-02-06,FC Emmen,N1,5,1,2,6,D,8,FC Emmen_AZ Alkmaar_2020
182,13:00:00,0,Waalwijk,7,0,1,1,0,0,1,0,11,D,7,2021-02-06,Zwolle,N1,3,8,6,19,A,1,Zwolle_Waalwijk_2020
183,15:30:00,0,Vitesse,9,0,1,0,0,0,0,1,8,H,11,2021-02-06,Heerenveen,N1,3,3,3,11,D,4,Heerenveen_Vitesse_2020
184,15:30:00,0,Twente,6,1,3,0,2,0,0,0,7,H,5,2021-02-06,PSV Eindhoven,N1,2,8,7,25,H,4,PSV Eindhoven_Twente_2020
185,17:45:00,0,FC Emmen,9,0,1,0,0,0,0,0,8,H,5,2021-02-12,Waalwijk,N1,2,6,8,19,D,2,Waalwijk_FC Emmen_2020
186,11:00:00,1,Zwolle,11,1,1,0,1,0,0,1,15,H,12,2021-02-13,Groningen,N1,4,7,6,14,H,3,Groningen_Zwolle_2020
187,13:15:00,2,For Sittard,9,0,1,2,1,0,1,2,13,A,8,2021-02-13,Sparta Rotterdam,N1,3,6,3,16,D,4,Sparta Rotterdam_For Sittard_2020
188,15:30:00,0,PSV Eindhoven,5,0,2,2,1,0,0,1,11,D,35,2021-02-13,Den Haag,N1,15,2,1,5,H,17,Den Haag_PSV Eindhoven_2020
189,17:45:00,1,Ajax,11,0,0,2,0,0,1,1,13,A,7,2021-02-13,Heracles,N1,3,2,5,14,A,2,Heracles_Ajax_2020
190,11:15:00,1,Heerenveen,10,0,3,1,1,0,0,2,8,H,5,2021-02-14,AZ Alkmaar,N1,4,9,8,15,H,2,AZ Alkmaar_Heerenveen_2020
191,13:30:00,1,Willem II,12,0,5,0,1,0,0,1,8,H,6,2021-02-14,Feyenoord,N1,3,12,9,23,H,4,Feyenoord_Willem II_2020
192,13:30:00,0,VVV Venlo,16,0,3,1,0,0,0,0,7,H,11,2021-02-14,Utrecht,N1,3,11,6,24,D,3,Utrecht_VVV Venlo_2020
193,15:45:00,1,Twente,10,0,0,2,0,0,1,1,11,A,6,2021-02-14,Vitesse,N1,3,1,4,10,A,2,Vitesse_Twente_2020
194,19:00:00,1,Utrecht,6,0,0,6,0,0,3,0,8,A,20,2021-02-19,Willem II,N1,8,1,3,7,A,1,Willem II_Utrecht_2020
195,17:45:00,2,Zwolle,18,0,3,2,2,0,1,1,8,H,10,2021-02-20,FC Emmen,N1,2,5,7,14,H,3,FC Emmen_Zwolle_2020
196,19:00:00,0,AZ Alkmaar,13,0,1,4,1,1,1,1,9,A,20,2021-02-20,VVV Venlo,N1,10,1,2,5,D,12,VVV Venlo_AZ Alkmaar_2020
197,20:00:00,0,Den Haag,6,0,2,0,1,0,0,1,6,H,4,2021-02-20,For Sittard,N1,1,5,5,13,H,3,For Sittard_Den Haag_2020
