,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
200,1,N1,NAC Breda,D,0,2004-02-28,H,Roosendaal,1,1,Roosendaal_NAC Breda_2003
201,3,N1,AZ Alkmaar,H,1,2004-02-28,H,Twente,4,1,Twente_AZ Alkmaar_2003
202,0,N1,Waalwijk,A,0,2004-02-29,D,Groningen,1,2,Groningen_Waalwijk_2003
203,1,N1,Roda JC,A,2,2004-02-29,A,PSV Eindhoven,1,2,PSV Eindhoven_Roda JC_2003
204,0,N1,Ajax,H,0,2004-02-29,D,Utrecht,1,0,Utrecht_Ajax_2003
205,0,N1,Den Haag,A,0,2004-02-29,D,Volendam,0,2,Volendam_Den Haag_2003
206,0,N1,Feyenoord,A,0,2004-02-29,D,Willem II,0,3,Willem II_Feyenoord_2003
207,0,N1,Twente,A,1,2004-03-05,A,NAC Breda,0,1,NAC Breda_Twente_2003
208,1,N1,AZ Alkmaar,A,1,2004-03-06,D,Den Haag,2,3,Den Haag_AZ Alkmaar_2003
209,1,N1,Roosendaal,A,0,2004-03-06,H,Nijmegen,1,2,Nijmegen_Roosendaal_2003
210,0,N1,Zwolle,D,0,2004-03-06,D,Roda JC,1,1,Roda JC_Zwolle_2003
211,0,N1,Ajax,A,1,2004-03-06,A,Waalwijk,0,1,Waalwijk_Ajax_2003
212,0,N1,Groningen,H,0,2004-03-06,D,Willem II,2,0,Willem II_Groningen_2003
213,0,N1,Heerenveen,D,1,2004-03-07,A,Feyenoord,2,2,Feyenoord_Heerenveen_2003
214,0,N1,PSV Eindhoven,A,2,2004-03-07,A,Utrecht,0,4,Utrecht_PSV Eindhoven_2003
215,0,N1,Vitesse,D,0,2004-03-07,D,Volendam,0,0,Volendam_Vitesse_2003
216,1,N1,Nijmegen,A,1,2004-03-12,D,Twente,2,5,Twente_Nijmegen_2003
217,1,N1,Volendam,H,0,2004-03-13,H,Heerenveen,2,1,Heerenveen_Volendam_2003
218,2,N1,Zwolle,H,1,2004-03-13,H,NAC Breda,3,1,NAC Breda_Zwolle_2003
219,1,N1,Groningen,H,0,2004-03-13,H,Roosendaal,1,0,Roosendaal_Groningen_2003
220,3,N1,Roda JC,H,1,2004-03-14,H,Ajax,4,2,Ajax_Roda JC_2003
221,0,N1,Utrecht,A,0,2004-03-14,D,AZ Alkmaar,1,2,AZ Alkmaar_Utrecht_2003
222,0,N1,Feyenoord,A,1,2004-03-14,A,PSV Eindhoven,0,1,PSV Eindhoven_Feyenoord_2003
223,0,N1,Den Haag,H,0,2004-03-14,D,Vitesse,1,0,Vitesse_Den Haag_2003
224,0,N1,Willem II,D,0,2004-03-14,D,Waalwijk,1,1,Waalwijk_Willem II_2003
225,0,N1,Heerenveen,D,0,2004-03-19,D,Groningen,0,0,Groningen_Heerenveen_2003
226,0,N1,AZ Alkmaar,A,1,2004-03-20,A,Nijmegen,0,2,Nijmegen_AZ Alkmaar_2003
227,1,N1,NAC Breda,D,0,2004-03-20,H,PSV Eindhoven,1,1,PSV Eindhoven_NAC Breda_2003
228,3,N1,Willem II,H,0,2004-03-20,H,Roda JC,6,1,Roda JC_Willem II_2003
229,2,N1,Volendam,H,0,2004-03-20,H,Zwolle,3,0,Zwolle_Volendam_2003
230,3,N1,Vitesse,H,0,2004-03-21,H,Ajax,5,0,Ajax_Vitesse_2003
231,1,N1,Waalwijk,H,0,2004-03-21,H,Feyenoord,1,0,Feyenoord_Waalwijk_2003
232,0,N1,Den Haag,D,0,2004-03-21,D,Roosendaal,0,0,Roosendaal_Den Haag_2003
233,1,N1,Twente,H,0,2004-03-21,H,Utrecht,2,0,Utrecht_Twente_2003
234,1,N1,Zwolle,D,1,2004-03-26,D,Den Haag,1,1,Den Haag_Zwolle_2003
235,1,N1,Roosendaal,H,0,2004-03-27,H,Heerenveen,1,0,Heerenveen_Roosendaal_2003
236,5,N1,Nijmegen,H,0,2004-03-27,H,NAC Breda,5,2,NAC Breda_Nijmegen_2003
237,1,N1,Waalwijk,D,0,2004-03-27,H,Vitesse,3,3,Vitesse_Waalwijk_2003
238,0,N1,Ajax,D,0,2004-03-28,D,AZ Alkmaar,1,1,AZ Alkmaar_Ajax_2003
239,1,N1,Roda JC,H,0,2004-03-28,H,Feyenoord,3,0,Feyenoord_Roda JC_2003
240,1,N1,Twente,H,0,2004-03-28,H,Groningen,1,0,Groningen_Twente_2003
241,0,N1,Utrecht,A,0,2004-03-28,D,Volendam,1,2,Volendam_Utrecht_2003
242,0,N1,PSV Eindhoven,H,0,2004-03-28,D,Willem II,3,1,Willem II_PSV Eindhoven_2003
243,2,N1,Willem II,H,0,2004-04-02,H,Nijmegen,4,0,Nijmegen_Willem II_2003
244,0,N1,Vitesse,H,0,2004-04-03,D,AZ Alkmaar,2,1,AZ Alkmaar_Vitesse_2003
245,0,N1,Heerenveen,A,0,2004-04-03,D,Roda JC,0,1,Roda JC_Heerenveen_2003
246,1,N1,Zwolle,D,1,2004-04-03,D,Roosendaal,1,1,Roosendaal_Zwolle_2003
247,0,N1,Volendam,A,0,2004-04-03,D,Twente,1,2,Twente_Volendam_2003
248,0,N1,PSV Eindhoven,A,1,2004-04-03,A,Waalwijk,0,4,Waalwijk_PSV Eindhoven_2003
249,0,N1,Groningen,H,0,2004-04-04,D,Ajax,2,1,Ajax_Groningen_2003
250,0,N1,Feyenoord,A,0,2004-04-04,D,NAC Breda,0,3,NAC Breda_Feyenoord_2003
251,3,N1,Den Haag,H,3,2004-04-04,D,Utrecht,5,3,Utrecht_Den Haag_2003
252,1,N1,Nijmegen,H,0,2004-04-09,H,Roda JC,4,0,Roda JC_Nijmegen_2003
253,0,N1,Waalwijk,A,1,2004-04-10,A,Den Haag,1,3,Den Haag_Waalwijk_2003
254,3,N1,Utrecht,H,0,2004-04-10,H,Heerenveen,4,0,Heerenveen_Utrecht_2003
255,0,N1,Willem II,A,0,2004-04-10,D,Volendam,0,1,Volendam_Willem II_2003
256,1,N1,AZ Alkmaar,H,0,2004-04-10,H,Zwolle,2,0,Zwolle_AZ Alkmaar_2003
257,0,N1,Ajax,D,0,2004-04-11,D,Feyenoord,1,1,Feyenoord_Ajax_2003
258,2,N1,Groningen,H,0,2004-04-11,H,PSV Eindhoven,5,0,PSV Eindhoven_Groningen_2003
259,1,N1,Twente,A,0,2004-04-11,H,Roosendaal,1,2,Roosendaal_Twente_2003
260,0,N1,NAC Breda,D,2,2004-04-11,A,Vitesse,2,2,Vitesse_NAC Breda_2003
261,0,N1,Vitesse,D,0,2004-04-16,D,Willem II,1,1,Willem II_Vitesse_2003
262,1,N1,Twente,H,0,2004-04-17,H,Den Haag,1,0,Den Haag_Twente_2003
263,1,N1,Nijmegen,H,0,2004-04-17,H,PSV Eindhoven,3,0,PSV Eindhoven_Nijmegen_2003
264,1,N1,Roda JC,D,0,2004-04-17,H,Waalwijk,1,1,Waalwijk_Roda JC_2003
265,1,N1,Heerenveen,H,0,2004-04-17,H,Zwolle,1,0,Zwolle_Heerenveen_2003
266,1,N1,Roosendaal,D,1,2004-04-18,D,Ajax,1,1,Ajax_Roosendaal_2003
267,0,N1,AZ Alkmaar,D,0,2004-04-18,D,Groningen,1,1,Groningen_AZ Alkmaar_2003
268,0,N1,Feyenoord,A,0,2004-04-18,D,Utrecht,0,3,Utrecht_Feyenoord_2003
269,2,N1,NAC Breda,H,2,2004-04-18,D,Volendam,4,2,Volendam_NAC Breda_2003
270,1,N1,Utrecht,D,0,2004-04-23,H,Roda JC,1,1,Roda JC_Utrecht_2003
271,2,N1,Waalwijk,H,0,2004-04-24,H,AZ Alkmaar,7,0,AZ Alkmaar_Waalwijk_2003
272,0,N1,Vitesse,D,0,2004-04-24,D,Heerenveen,0,0,Heerenveen_Vitesse_2003
273,0,N1,PSV Eindhoven,A,2,2004-04-24,A,Roosendaal,0,3,Roosendaal_PSV Eindhoven_2003
274,0,N1,Willem II,H,0,2004-04-24,D,Twente,2,0,Twente_Willem II_2003
275,1,N1,Volendam,H,0,2004-04-25,H,Feyenoord,2,0,Feyenoord_Volendam_2003
276,2,N1,Zwolle,D,0,2004-04-25,H,Groningen,2,2,Groningen_Zwolle_2003
277,1,N1,Den Haag,H,0,2004-04-25,H,NAC Breda,1,0,NAC Breda_Den Haag_2003
278,0,N1,Ajax,D,0,2004-04-25,D,Nijmegen,0,0,Nijmegen_Ajax_2003
279,2,N1,NAC Breda,D,0,2004-05-01,H,AZ Alkmaar,2,2,AZ Alkmaar_NAC Breda_2003
280,0,N1,Heerenveen,H,0,2004-05-01,D,Den Haag,1,0,Den Haag_Heerenveen_2003
281,1,N1,Roda JC,A,1,2004-05-01,D,Twente,1,2,Twente_Roda JC_2003
282,1,N1,Roosendaal,H,0,2004-05-01,H,Willem II,3,0,Willem II_Roosendaal_2003
283,0,N1,Groningen,A,0,2004-05-02,D,Feyenoord,1,2,Feyenoord_Groningen_2003
284,0,N1,Nijmegen,D,0,2004-05-02,D,Vitesse,2,2,Vitesse_Nijmegen_2003
285,0,N1,PSV Eindhoven,A,1,2004-05-02,A,Volendam,0,5,Volendam_PSV Eindhoven_2003
286,0,N1,Utrecht,H,0,2004-05-02,D,Waalwijk,1,0,Waalwijk_Utrecht_2003
287,0,N1,Ajax,A,1,2004-05-02,A,Zwolle,0,5,Zwolle_Ajax_2003
288,2,N1,NAC Breda,H,0,2004-05-09,H,Ajax,2,0,Ajax_NAC Breda_2003
289,0,N1,AZ Alkmaar,H,0,2004-05-09,D,Heerenveen,1,0,Heerenveen_AZ Alkmaar_2003
290,0,N1,Volendam,D,1,2004-05-09,A,Nijmegen,1,1,Nijmegen_Volendam_2003
291,1,N1,Den Haag,H,0,2004-05-09,H,PSV Eindhoven,3,2,PSV Eindhoven_Den Haag_2003
292,2,N1,Vitesse,H,0,2004-05-09,H,Roda JC,2,0,Roda JC_Vitesse_2003
293,1,N1,Feyenoord,A,2,2004-05-09,A,Roosendaal,1,4,Roosendaal_Feyenoord_2003
294,1,N1,Groningen,H,0,2004-05-09,H,Utrecht,2,0,Utrecht_Groningen_2003
295,1,N1,Twente,D,1,2004-05-09,D,Waalwijk,3,3,Waalwijk_Twente_2003
296,0,N1,Willem II,D,0,2004-05-09,D,Zwolle,0,0,Zwolle_Willem II_2003
297,1,N1,PSV Eindhoven,A,1,2004-05-16,D,AZ Alkmaar,2,4,AZ Alkmaar_PSV Eindhoven_2003
298,2,N1,Nijmegen,H,1,2004-05-16,H,Den Haag,4,1,Den Haag_Nijmegen_2003
299,4,N1,Zwolle,H,0,2004-05-16,H,Feyenoord,7,1,Feyenoord_Zwolle_2003
300,0,N1,Roda JC,D,1,2004-05-16,A,Groningen,2,2,Groningen_Roda JC_2003
301,2,N1,Waalwijk,H,2,2004-05-16,D,NAC Breda,5,3,NAC Breda_Waalwijk_2003
302,2,N1,Heerenveen,H,0,2004-05-16,H,Twente,2,0,Twente_Heerenveen_2003
303,2,N1,Utrecht,H,0,2004-05-16,H,Vitesse,3,0,Vitesse_Utrecht_2003
304,1,N1,Roosendaal,H,0,2004-05-16,H,Volendam,2,1,Volendam_Roosendaal_2003
305,1,N1,Ajax,A,1,2004-05-16,D,Willem II,2,5,Willem II_Ajax_2003
