,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
238,1,PSV Eindhoven,8,5,1,0,1,0,0,3,9,H,15,2018-03-10,Willem II,N1,3,6,3,11,H,10,Willem II_PSV Eindhoven_2017
239,1,Heerenveen,14,4,0,1,1,0,1,1,21,H,8,2018-03-11,Ajax,N1,3,10,10,31,D,3,Ajax_Heerenveen_2017
240,2,AZ Alkmaar,16,2,0,1,1,0,0,2,17,H,15,2018-03-11,Feyenoord,N1,5,4,2,14,H,8,Feyenoord_AZ Alkmaar_2017
241,1,Zwolle,8,2,0,0,1,0,0,3,13,H,14,2018-03-11,Groningen,N1,4,4,1,13,H,4,Groningen_Zwolle_2017
242,2,Vitesse,12,5,0,1,2,0,0,1,9,H,16,2018-03-11,Utrecht,N1,3,7,5,12,H,12,Utrecht_Vitesse_2017
243,2,Den Haag,10,1,0,2,1,0,0,1,9,A,12,2018-03-16,Excelsior,N1,4,5,5,14,H,5,Excelsior_Den Haag_2017
244,0,Utrecht,11,2,0,2,1,0,1,1,13,D,13,2018-03-17,Heerenveen,N1,4,5,5,12,D,6,Heerenveen_Utrecht_2017
245,0,VVV Venlo,9,3,1,0,0,0,0,2,12,H,3,2018-03-17,PSV Eindhoven,N1,1,19,7,30,D,4,PSV Eindhoven_VVV Venlo_2017
246,2,Willem II,14,2,0,2,1,0,1,1,12,D,14,2018-03-17,Twente,N1,7,3,2,17,D,3,Twente_Willem II_2017
247,0,Heracles,8,0,0,0,0,0,0,0,11,D,6,2018-03-17,Vitesse,N1,2,9,11,24,D,1,Vitesse_Heracles_2017
248,0,Groningen,12,3,0,2,0,0,0,3,8,H,11,2018-03-18,AZ Alkmaar,N1,4,10,12,23,D,7,AZ Alkmaar_Groningen_2017
249,2,Roda,12,0,0,1,0,0,1,3,14,A,14,2018-03-18,NAC Breda,N1,5,8,6,21,A,4,NAC Breda_Roda_2017
250,2,Ajax,13,2,0,5,1,0,1,3,12,A,14,2018-03-18,Sparta Rotterdam,N1,8,4,4,11,D,4,Sparta Rotterdam_Ajax_2017
251,0,Feyenoord,9,3,0,4,0,0,2,1,14,A,10,2018-03-18,Zwolle,N1,8,7,6,19,A,5,Zwolle_Feyenoord_2017
252,1,AZ Alkmaar,3,0,0,3,0,0,3,2,10,A,12,2018-03-31,Den Haag,N1,5,5,7,11,A,7,Den Haag_AZ Alkmaar_2017
253,2,NAC Breda,16,5,0,1,1,0,0,4,13,H,6,2018-03-31,PSV Eindhoven,N1,3,14,9,36,H,0,PSV Eindhoven_NAC Breda_2017
254,0,Roda,13,0,0,3,0,0,1,0,14,A,18,2018-03-31,Vitesse,N1,9,3,6,13,A,5,Vitesse_Roda_2017
255,0,Utrecht,11,3,0,2,2,1,2,3,10,H,19,2018-03-31,Willem II,N1,4,5,2,8,D,4,Willem II_Utrecht_2017
256,0,Sparta Rotterdam,9,2,0,0,1,0,0,3,15,H,9,2018-03-31,Zwolle,N1,4,9,7,22,H,6,Zwolle_Sparta Rotterdam_2017
257,0,Excelsior,13,5,0,0,3,0,0,2,9,H,2,2018-04-01,Feyenoord,N1,0,6,8,14,H,2,Feyenoord_Excelsior_2017
258,1,Ajax,9,1,1,2,1,0,0,4,7,A,11,2018-04-01,Groningen,N1,4,5,5,13,H,1,Groningen_Ajax_2017
259,1,Heerenveen,16,1,0,2,0,0,2,3,16,A,11,2018-04-01,Heracles,N1,6,4,5,13,A,4,Heracles_Heerenveen_2017
260,4,Twente,12,0,0,0,0,0,0,2,17,D,17,2018-04-01,VVV Venlo,N1,4,2,7,10,D,6,VVV Venlo_Twente_2017
261,0,Willem II,9,2,1,1,2,0,1,1,7,H,13,2018-04-06,Excelsior,N1,4,9,10,19,H,6,Excelsior_Willem II_2017
262,3,PSV Eindhoven,18,2,0,3,0,1,0,1,15,A,18,2018-04-07,AZ Alkmaar,N1,6,3,6,10,D,8,AZ Alkmaar_PSV Eindhoven_2017
263,0,Vitesse,5,1,0,0,1,0,0,3,21,H,13,2018-04-07,NAC Breda,N1,2,2,4,13,H,5,NAC Breda_Vitesse_2017
264,3,Zwolle,18,3,0,2,2,0,1,2,16,H,19,2018-04-07,Roda,N1,8,4,1,7,H,7,Roda_Zwolle_2017
265,2,VVV Venlo,26,3,0,2,1,0,1,2,13,H,19,2018-04-07,Sparta Rotterdam,N1,6,7,6,23,D,4,Sparta Rotterdam_VVV Venlo_2017
266,1,Heracles,6,1,0,0,0,0,0,0,7,H,4,2018-04-08,Ajax,N1,0,8,10,34,D,1,Ajax_Heracles_2017
267,3,Groningen,17,1,0,1,1,0,0,2,15,D,8,2018-04-08,Heerenveen,N1,5,6,7,15,H,2,Heerenveen_Groningen_2017
268,1,Feyenoord,14,1,0,3,1,0,1,2,7,A,13,2018-04-08,Twente,N1,8,4,6,12,D,4,Twente_Feyenoord_2017
269,1,Den Haag,11,3,0,3,1,0,0,1,7,D,14,2018-04-08,Utrecht,N1,4,9,13,21,H,5,Utrecht_Den Haag_2017
270,2,AZ Alkmaar,17,0,0,3,0,0,2,1,9,A,23,2018-04-13,Heracles,N1,8,1,4,7,A,7,Heracles_AZ Alkmaar_2017
271,1,Twente,13,2,0,1,1,0,1,1,13,H,7,2018-04-14,Den Haag,N1,1,6,6,13,D,4,Den Haag_Twente_2017
272,1,Sparta Rotterdam,6,7,1,0,3,0,0,1,5,H,3,2018-04-14,Vitesse,N1,1,8,3,19,H,0,Vitesse_Sparta Rotterdam_2017
