,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,0,N1,Vitesse,A,2,2006-08-18,A,Sparta,1,2,Sparta_Vitesse_2006
1,2,N1,NAC Breda,H,0,2006-08-19,H,AZ Alkmaar,8,1,AZ Alkmaar_NAC Breda_2006
2,1,N1,Heerenveen,A,1,2006-08-19,D,Den Haag,2,3,Den Haag_Heerenveen_2006
3,0,N1,Roda JC,A,1,2006-08-19,A,Excelsior,0,1,Excelsior_Roda JC_2006
4,1,N1,Utrecht,H,1,2006-08-19,D,Willem II,2,1,Willem II_Utrecht_2006
5,2,N1,Waalwijk,H,0,2006-08-20,H,Ajax,5,0,Ajax_Waalwijk_2006
6,0,N1,Feyenoord,H,0,2006-08-20,D,Groningen,3,0,Groningen_Feyenoord_2006
7,1,N1,Twente,H,0,2006-08-20,H,Heracles,3,0,Heracles_Twente_2006
8,2,N1,Nijmegen,H,0,2006-08-20,H,PSV Eindhoven,3,1,PSV Eindhoven_Nijmegen_2006
9,0,N1,Den Haag,H,0,2006-08-25,D,Roda JC,1,0,Roda JC_Den Haag_2006
10,4,N1,Willem II,H,0,2006-08-26,H,Heerenveen,5,0,Heerenveen_Willem II_2006
11,2,N1,Sparta,D,1,2006-08-26,H,Utrecht,2,2,Utrecht_Sparta_2006
12,0,N1,AZ Alkmaar,A,1,2006-08-26,A,Vitesse,1,3,Vitesse_AZ Alkmaar_2006
13,1,N1,Excelsior,D,0,2006-08-26,H,Waalwijk,1,1,Waalwijk_Excelsior_2006
14,0,N1,Heracles,D,0,2006-08-27,D,Feyenoord,0,0,Feyenoord_Heracles_2006
15,0,N1,Ajax,A,0,2006-08-27,D,NAC Breda,1,2,NAC Breda_Ajax_2006
16,1,N1,Groningen,D,1,2006-08-27,D,Nijmegen,1,1,Nijmegen_Groningen_2006
17,0,N1,PSV Eindhoven,H,0,2006-08-27,D,Twente,1,0,Twente_PSV Eindhoven_2006
18,0,N1,NAC Breda,A,1,2006-09-08,A,Den Haag,0,2,Den Haag_NAC Breda_2006
19,1,N1,Roda JC,D,2,2006-09-08,A,Twente,2,2,Twente_Roda JC_2006
20,1,N1,Heerenveen,H,1,2006-09-09,D,Excelsior,3,1,Excelsior_Heerenveen_2006
