,teams
0,Anderlecht
1,Antwerp
2,Beerschot VA
3,Bergen
4,Beveren
5,Cercle Brugge
6,Charleroi
7,Club Brugge
8,Dender
9,Eupen
10,FC Brussels
11,Genk
12,Gent
13,Germinal
14,Heusden Zolder
15,Kortrijk
16,Lierse
17,Lokeren
18,Louvieroise
19,Mechelen
20,Mouscron
21,Mouscron-Peruwelz
22,Oostende
23,Oud-Heverlee Leuven
24,Roeselare
25,St Truiden
26,Standard
27,Tubize
28,Waasland-Beveren
29,Waregem
30,Westerlo
