,teams
0,Arsenal
1,Aston Villa
2,Birmingham
3,Blackburn
4,Blackpool
5,Bolton
6,Bournemouth
7,Brighton
8,Burnley
9,Cardiff
10,Charlton
11,Chelsea
12,Crystal Palace
13,Derby
14,Everton
15,Fulham
16,Huddersfield
17,Hull
18,Leeds
19,Leicester
20,Liverpool
21,Man City
22,Man United
23,Middlesbrough
24,Newcastle
25,Norwich
26,Portsmouth
27,QPR
28,Reading
29,Sheffield United
30,Southampton
31,Stoke
32,Sunderland
33,Swansea
34,Tottenham
35,Watford
36,West Brom
37,West Ham
38,Wigan
39,Wolves
