,teams
0,Alaves
1,Albacete
2,Almeria
3,Ath Bilbao
4,Ath Madrid
5,Barcelona
6,Betis
7,Cadiz
8,Celta
9,Cordoba
10,Eibar
11,Elche
12,Espanol
13,Getafe
14,Gimnastic
15,Girona
16,Granada
17,Hercules
18,Huesca
19,La Coruna
20,Las Palmas
21,Leganes
22,Levante
23,Malaga
24,Mallorca
25,Murcia
26,Numancia
27,Osasuna
28,Real Madrid
29,Recreativo
30,Santander
31,Sevilla
32,Sociedad
33,Sp Gijon
34,Tenerife
35,Valencia
36,Valladolid
37,Vallecano
38,Villarreal
39,Xerez
40,Zaragoza
