,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
123,0,P1,Sp Lisbon,H,0,2015-12-20,D,Uniao Madeira,1,0,Uniao Madeira_Sp Lisbon_2015
124,1,P1,Boavista,H,0,2015-12-21,H,Belenenses,1,0,Belenenses_Boavista_2015
125,1,P1,Pacos Ferreira,D,0,2015-12-21,H,Sp Braga,1,1,Sp Braga_Pacos Ferreira_2015
126,1,P1,Uniao Madeira,H,1,2016-01-02,D,Academica,3,1,Academica_Uniao Madeira_2015
127,0,P1,Moreirense,A,1,2016-01-02,A,Boavista,0,3,Boavista_Moreirense_2015
128,0,P1,Benfica,A,0,2016-01-02,D,Guimaraes,0,1,Guimaraes_Benfica_2015
129,1,P1,Estoril,D,0,2016-01-02,H,Maritimo,1,1,Maritimo_Estoril_2015
130,1,P1,Arouca,D,2,2016-01-02,A,Nacional,2,2,Nacional_Arouca_2015
131,1,P1,Belenenses,D,1,2016-01-02,D,Pacos Ferreira,2,2,Pacos Ferreira_Belenenses_2015
132,1,P1,Sp Braga,D,0,2016-01-02,H,Setubal,1,1,Setubal_Sp Braga_2015
133,1,P1,Porto,H,0,2016-01-02,H,Sp Lisbon,2,0,Sp Lisbon_Porto_2015
134,1,P1,Tondela,A,0,2016-01-03,H,Rio Ave,2,3,Rio Ave_Tondela_2015
135,1,P1,Estoril,H,0,2016-01-06,H,Arouca,1,0,Arouca_Estoril_2015
136,0,P1,Nacional,D,1,2016-01-06,A,Belenenses,2,2,Belenenses_Nacional_2015
137,3,P1,Maritimo,H,0,2016-01-06,H,Benfica,6,0,Benfica_Maritimo_2015
138,1,P1,Guimaraes,A,3,2016-01-06,A,Moreirense,3,4,Moreirense_Guimaraes_2015
139,1,P1,Rio Ave,D,1,2016-01-06,D,Porto,1,1,Porto_Rio Ave_2015
140,0,P1,Sp Lisbon,A,2,2016-01-06,A,Setubal,0,6,Setubal_Sp Lisbon_2015
141,2,P1,Academica,H,0,2016-01-06,H,Sp Braga,3,0,Sp Braga_Academica_2015
142,0,P1,Pacos Ferreira,A,1,2016-01-06,A,Tondela,0,2,Tondela_Pacos Ferreira_2015
143,0,P1,Boavista,H,0,2016-01-06,D,Uniao Madeira,1,0,Uniao Madeira_Boavista_2015
144,2,P1,Arouca,D,0,2016-01-09,H,Guimaraes,2,2,Guimaraes_Arouca_2015
145,0,P1,Tondela,H,1,2016-01-10,A,Academica,2,1,Academica_Tondela_2015
146,0,P1,Porto,A,1,2016-01-10,A,Boavista,0,5,Boavista_Porto_2015
147,0,P1,Belenenses,H,0,2016-01-10,D,Estoril,2,0,Estoril_Belenenses_2015
148,2,P1,Moreirense,H,0,2016-01-10,H,Maritimo,5,1,Maritimo_Moreirense_2015
149,1,P1,Uniao Madeira,H,0,2016-01-10,H,Rio Ave,1,0,Rio Ave_Uniao Madeira_2015
150,0,P1,Sp Braga,H,2,2016-01-10,A,Sp Lisbon,3,2,Sp Lisbon_Sp Braga_2015
151,0,P1,Benfica,A,1,2016-01-11,A,Nacional,1,4,Nacional_Benfica_2015
152,1,P1,Setubal,H,1,2016-01-11,D,Pacos Ferreira,2,1,Pacos Ferreira_Setubal_2015
153,0,P1,Tondela,D,1,2016-01-15,A,Sp Lisbon,2,2,Sp Lisbon_Tondela_2015
154,1,P1,Pacos Ferreira,D,1,2016-01-16,D,Academica,1,1,Academica_Pacos Ferreira_2015
155,1,P1,Benfica,A,0,2016-01-16,H,Estoril,1,2,Estoril_Benfica_2015
156,0,P1,Uniao Madeira,A,0,2016-01-16,D,Maritimo,0,1,Maritimo_Uniao Madeira_2015
157,1,P1,Moreirense,A,1,2016-01-17,D,Arouca,1,2,Arouca_Moreirense_2015
158,1,P1,Porto,H,0,2016-01-17,H,Guimaraes,1,0,Guimaraes_Porto_2015
159,1,P1,Sp Braga,A,1,2016-01-17,D,Nacional,2,3,Nacional_Sp Braga_2015
160,1,P1,Belenenses,A,2,2016-01-17,A,Rio Ave,1,2,Rio Ave_Belenenses_2015
161,1,P1,Setubal,H,0,2016-01-18,H,Boavista,4,0,Boavista_Setubal_2015
162,1,P1,Academica,H,0,2016-01-22,H,Setubal,2,1,Setubal_Academica_2015
163,2,P1,Arouca,H,0,2016-01-23,H,Benfica,3,1,Benfica_Arouca_2015
164,1,P1,Estoril,A,2,2016-01-23,A,Moreirense,1,3,Moreirense_Estoril_2015
165,0,P1,Sp Lisbon,A,1,2016-01-23,A,Pacos Ferreira,1,3,Pacos Ferreira_Sp Lisbon_2015
166,2,P1,Nacional,H,0,2016-01-23,H,Uniao Madeira,3,0,Uniao Madeira_Nacional_2015
167,2,P1,Guimaraes,D,2,2016-01-24,D,Belenenses,3,3,Belenenses_Guimaraes_2015
168,1,P1,Maritimo,H,0,2016-01-24,H,Porto,1,0,Porto_Maritimo_2015
169,2,P1,Rio Ave,H,0,2016-01-24,H,Sp Braga,5,1,Sp Braga_Rio Ave_2015
170,1,P1,Boavista,A,1,2016-01-25,D,Tondela,1,2,Tondela_Boavista_2015
171,1,P1,Uniao Madeira,H,1,2016-01-29,D,Guimaraes,3,1,Guimaraes_Uniao Madeira_2015
172,1,P1,Porto,A,2,2016-01-30,A,Estoril,1,3,Estoril_Porto_2015
173,2,P1,Academica,H,1,2016-01-30,H,Sp Lisbon,3,2,Sp Lisbon_Academica_2015
174,0,P1,Pacos Ferreira,D,1,2016-01-31,A,Arouca,2,2,Arouca_Pacos Ferreira_2015
175,0,P1,Sp Braga,D,0,2016-01-31,D,Boavista,0,0,Boavista_Sp Braga_2015
176,0,P1,Benfica,A,2,2016-01-31,A,Moreirense,1,4,Moreirense_Benfica_2015
177,2,P1,Tondela,H,0,2016-01-31,H,Nacional,3,1,Nacional_Tondela_2015
178,2,P1,Setubal,H,0,2016-01-31,H,Rio Ave,2,1,Rio Ave_Setubal_2015
179,0,P1,Belenenses,A,1,2016-02-01,A,Maritimo,1,2,Maritimo_Belenenses_2015
180,0,P1,Benfica,A,1,2016-02-05,A,Belenenses,0,5,Belenenses_Benfica_2015
181,1,P1,Maritimo,D,0,2016-02-06,H,Setubal,1,1,Setubal_Maritimo_2015
182,1,P1,Guimaraes,D,1,2016-02-06,D,Tondela,1,1,Tondela_Guimaraes_2015
183,1,P1,Nacional,D,0,2016-02-07,H,Academica,2,2,Academica_Nacional_2015
