,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,0,P1,Sp Lisbon,A,0,2003-08-16,D,Academica,1,2,Academica_Sp Lisbon_2003
1,0,P1,Benfica,D,0,2003-08-17,D,Boavista,0,0,Boavista_Benfica_2003
2,0,P1,Alverca,A,0,2003-08-17,D,Gil Vicente,0,1,Gil Vicente_Alverca_2003
3,0,P1,Beira Mar,H,0,2003-08-17,D,Maritimo,1,0,Maritimo_Beira Mar_2003
4,0,P1,Rio Ave,H,0,2003-08-17,D,Moreirense,1,0,Moreirense_Rio Ave_2003
5,1,P1,Pacos Ferreira,H,0,2003-08-17,H,Nacional,2,0,Nacional_Pacos Ferreira_2003
6,1,P1,Sp Braga,H,0,2003-08-17,H,Porto,2,0,Porto_Sp Braga_2003
7,0,P1,Leiria,H,0,2003-08-18,D,Guimaraes,1,0,Guimaraes_Leiria_2003
8,0,P1,Maritimo,A,0,2003-08-22,D,Alverca,0,1,Alverca_Maritimo_2003
9,1,P1,Guimaraes,H,0,2003-08-23,H,Benfica,2,0,Benfica_Guimaraes_2003
10,0,P1,Academica,A,2,2003-08-23,A,Leiria,0,2,Leiria_Academica_2003
11,2,P1,Belenenses,H,1,2003-08-23,H,Sp Lisbon,4,2,Sp Lisbon_Belenenses_2003
12,0,P1,Porto,D,0,2003-08-24,D,Est Amadora,1,1,Est Amadora_Porto_2003
13,0,P1,Moreirense,H,0,2003-08-24,D,Pacos Ferreira,1,0,Pacos Ferreira_Moreirense_2003
14,1,P1,Gil Vicente,D,0,2003-08-24,H,Rio Ave,1,1,Rio Ave_Gil Vicente_2003
15,1,P1,Nacional,H,0,2003-08-24,H,Sp Braga,1,0,Sp Braga_Nacional_2003
16,0,P1,Boavista,A,1,2003-08-25,A,Beira Mar,0,2,Beira Mar_Boavista_2003
17,0,P1,Guimaraes,H,0,2003-08-30,D,Boavista,1,0,Boavista_Guimaraes_2003
18,0,P1,Sp Braga,A,1,2003-08-30,A,Moreirense,0,2,Moreirense_Sp Braga_2003
19,1,P1,Alverca,H,0,2003-08-31,H,Beira Mar,1,0,Beira Mar_Alverca_2003
