,AST,HTHG,Date,AS,AF,Div,FTHG,HY,HS,AR,HR,HF,AC,HC,AY,HTAG,HST,Time,AwayTeam,HTR,FTR,HomeTeam,FTAG,idGame
36,5,0,2020-10-31,9,36,G1,0,3,3,0,0,26,5,0,3,1,1,15:15:00,Giannina,A,A,Atromitos,2,Atromitos_Giannina_2020
37,4,0,2020-10-31,9,18,G1,1,4,8,0,2,21,2,3,4,0,5,15:15:00,Larisa,D,D,Volos NFC,1,Volos NFC_Larisa_2020
38,6,0,2020-10-31,11,20,G1,0,1,4,0,0,16,9,1,3,1,0,17:30:00,Panathinaikos,A,A,Lamia,2,Lamia_Panathinaikos_2020
39,3,0,2020-11-01,4,19,G1,1,4,9,0,0,17,3,6,3,0,6,13:00:00,Asteras Tripolis,D,H,Aris,0,Aris_Asteras Tripolis_2020
40,9,0,2020-11-01,11,22,G1,1,3,4,0,0,16,9,0,6,1,2,15:15:00,PAOK,A,A,Panetolikos,3,Panetolikos_PAOK_2020
41,3,1,2020-11-01,6,14,G1,2,1,13,0,0,20,0,4,0,1,8,17:30:00,OFI Crete,D,H,AEK,1,AEK_OFI Crete_2020
42,2,1,2020-11-03,4,19,G1,1,4,4,0,1,22,4,5,6,0,1,15:15:00,Apollon,H,H,Panathinaikos,0,Panathinaikos_Apollon_2020
43,5,0,2020-11-04,6,15,G1,1,4,7,0,1,15,5,0,4,0,3,15:15:00,Larisa,D,A,Giannina,2,Giannina_Larisa_2020
44,1,0,2020-11-07,3,22,G1,0,2,9,0,0,15,2,7,2,0,3,15:15:00,Panetolikos,D,D,Giannina,0,Giannina_Panetolikos_2020
45,2,0,2020-11-07,6,14,G1,0,2,8,0,0,19,5,3,1,0,3,17:30:00,Atromitos,D,A,Panathinaikos,1,Panathinaikos_Atromitos_2020
46,6,0,2020-11-08,9,14,G1,0,3,4,0,0,15,6,3,3,0,1,13:00:00,Olympiakos,D,A,OFI Crete,2,OFI Crete_Olympiakos_2020
47,8,0,2020-11-08,9,17,G1,1,5,5,0,0,16,4,7,1,1,1,15:15:00,PAOK,A,A,Apollon,3,Apollon_PAOK_2020
48,2,0,2020-11-21,6,17,G1,2,2,6,0,0,20,5,3,3,1,4,13:00:00,Asteras Tripolis,A,D,Lamia,2,Lamia_Asteras Tripolis_2020
49,6,1,2020-11-21,7,19,G1,2,4,11,0,0,25,2,13,4,1,6,15:15:00,Apollon,D,D,Atromitos,2,Atromitos_Apollon_2020
50,1,1,2020-11-21,6,16,G1,1,3,6,0,0,22,5,3,3,0,3,17:30:00,Panathinaikos,H,H,Olympiakos,0,Olympiakos_Panathinaikos_2020
51,1,0,2020-11-22,1,15,G1,4,2,10,0,0,11,2,11,1,0,5,13:00:00,Larisa,D,H,AEK,1,AEK_Larisa_2020
52,3,0,2020-11-22,5,18,G1,0,2,6,0,0,13,4,7,4,1,3,15:15:00,Aris,A,A,Panetolikos,1,Panetolikos_Aris_2020
53,1,0,2020-11-22,2,15,G1,2,4,15,1,0,16,1,13,4,1,7,17:30:00,Giannina,A,H,PAOK,1,PAOK_Giannina_2020
54,7,0,2020-11-23,12,14,G1,1,1,9,0,1,14,5,7,4,1,6,17:30:00,OFI Crete,A,A,Volos NFC,4,Volos NFC_OFI Crete_2020
55,2,0,2020-11-25,3,17,G1,0,1,10,0,0,24,9,3,3,0,3,15:15:00,Apollon,D,D,Asteras Tripolis,0,Asteras Tripolis_Apollon_2020
56,2,0,2020-11-28,5,13,G1,0,3,6,0,0,26,3,5,0,0,3,15:15:00,Atromitos,D,D,Larisa,0,Larisa_Atromitos_2020
57,5,0,2020-11-28,7,19,G1,1,0,7,0,0,15,1,7,3,1,3,17:30:00,Olympiakos,A,A,Aris,2,Aris_Olympiakos_2020
58,1,2,2020-11-29,2,13,G1,2,5,5,0,0,30,3,4,2,0,5,13:00:00,Panetolikos,H,H,Panathinaikos,1,Panathinaikos_Panetolikos_2020
59,1,1,2020-11-29,7,27,G1,2,3,4,0,0,18,7,3,2,1,3,15:00:00,Giannina,D,H,OFI Crete,1,OFI Crete_Giannina_2020
60,4,0,2020-11-29,10,26,G1,0,2,5,0,0,18,3,1,2,1,1,15:15:00,PAOK,A,A,Lamia,2,Lamia_PAOK_2020
61,5,1,2020-11-29,10,14,G1,1,1,4,0,0,22,2,2,2,1,1,17:30:00,AEK,D,A,Asteras Tripolis,2,Asteras Tripolis_AEK_2020
62,3,1,2020-11-30,6,22,G1,3,4,16,0,0,20,8,2,3,0,10,17:30:00,Volos NFC,H,D,Apollon,3,Apollon_Volos NFC_2020
63,6,0,2020-12-02,9,22,G1,0,4,8,0,0,21,6,7,1,1,5,15:15:00,Aris,A,A,Larisa,3,Larisa_Aris_2020
64,3,1,2020-12-05,6,10,G1,2,4,5,1,0,30,3,1,2,0,3,15:15:00,Aris,H,D,Atromitos,2,Atromitos_Aris_2020
65,3,1,2020-12-05,5,17,G1,4,1,15,0,0,13,2,6,1,1,7,17:30:00,Volos NFC,D,H,Olympiakos,1,Olympiakos_Volos NFC_2020
66,4,0,2020-12-06,6,25,G1,0,2,15,0,0,13,4,7,4,1,7,13:00:00,Apollon,A,A,OFI Crete,2,OFI Crete_Apollon_2020
67,1,1,2020-12-06,3,16,G1,2,4,6,0,0,16,4,10,6,0,2,15:15:00,Lamia,H,H,Giannina,0,Giannina_Lamia_2020
68,1,0,2020-12-06,4,25,G1,2,6,6,0,1,17,4,5,5,0,2,15:15:00,Asteras Tripolis,D,H,PAOK,0,PAOK_Asteras Tripolis_2020
69,4,0,2020-12-06,7,17,G1,1,3,7,0,0,19,2,9,5,2,2,17:30:00,Panathinaikos,A,A,AEK,2,AEK_Panathinaikos_2020
70,6,1,2020-12-07,10,17,G1,2,4,4,0,0,15,7,1,6,0,3,17:30:00,Larisa,H,H,Panetolikos,1,Panetolikos_Larisa_2020
71,1,1,2020-12-09,5,19,G1,1,5,4,1,0,22,1,5,4,0,2,15:15:00,Volos NFC,H,D,Asteras Tripolis,1,Asteras Tripolis_Volos NFC_2020
72,3,0,2020-12-12,10,16,G1,0,5,5,0,0,24,5,2,2,0,1,15:15:00,OFI Crete,D,A,Larisa,1,Larisa_OFI Crete_2020
73,4,1,2020-12-12,12,22,G1,2,4,8,0,0,17,1,5,3,0,6,17:30:00,Giannina,H,H,Panathinaikos,0,Panathinaikos_Giannina_2020
74,9,0,2020-12-13,11,16,G1,0,3,6,0,1,12,9,3,1,3,2,13:00:00,Olympiakos,A,A,Lamia,6,Lamia_Olympiakos_2020
75,9,1,2020-12-13,9,25,G1,3,2,6,0,0,21,7,2,3,3,3,15:15:00,AEK,A,A,Apollon,4,Apollon_AEK_2020
76,0,0,2020-12-13,0,15,G1,0,2,14,1,0,26,4,10,3,0,5,15:15:00,Panetolikos,D,D,Volos NFC,0,Volos NFC_Panetolikos_2020
77,3,1,2020-12-13,8,16,G1,1,2,5,0,0,17,5,0,3,0,3,17:30:00,PAOK,H,H,Aris,0,Aris_PAOK_2020
78,1,1,2020-12-14,2,19,G1,2,2,17,0,0,11,3,4,2,0,9,17:30:00,Atromitos,H,H,Asteras Tripolis,0,Asteras Tripolis_Atromitos_2020
79,3,0,2020-12-16,7,12,G1,1,2,7,0,0,17,4,9,0,0,3,17:30:00,Olympiakos,D,D,AEK,1,AEK_Olympiakos_2020
80,3,0,2020-12-19,3,23,G1,0,2,5,0,0,16,2,3,3,1,3,15:15:00,Apollon,A,A,Panetolikos,1,Panetolikos_Apollon_2020
81,3,0,2020-12-19,6,23,G1,0,3,10,0,0,18,3,5,3,2,1,17:30:00,Aris,A,A,OFI Crete,3,OFI Crete_Aris_2020
82,3,2,2020-12-20,5,8,G1,5,0,12,0,0,17,3,8,1,1,9,13:00:00,Larisa,H,H,Olympiakos,1,Olympiakos_Larisa_2020
83,3,1,2020-12-20,7,21,G1,2,6,12,0,0,21,1,6,2,1,4,17:30:00,Panathinaikos,D,H,PAOK,1,PAOK_Panathinaikos_2020
84,7,1,2020-12-21,13,16,G1,2,1,6,0,1,10,2,2,4,1,2,15:15:00,Asteras Tripolis,D,D,Giannina,2,Giannina_Asteras Tripolis_2020
85,3,1,2020-12-21,6,23,G1,2,4,10,1,2,21,5,9,3,2,5,17:30:00,Volos NFC,A,D,AEK,2,AEK_Volos NFC_2020
86,3,0,2021-01-03,7,20,G1,0,4,3,0,0,19,3,2,3,0,1,13:00:00,Asteras Tripolis,D,D,Panathinaikos,0,Panathinaikos_Asteras Tripolis_2020
87,4,0,2021-01-03,9,21,G1,2,3,6,1,0,19,3,7,5,0,4,13:00:00,OFI Crete,D,H,Panetolikos,1,Panetolikos_OFI Crete_2020
88,5,1,2021-01-03,8,24,G1,1,2,6,0,0,21,2,4,4,1,2,15:15:00,Apollon,D,A,Giannina,3,Giannina_Apollon_2020
89,8,0,2021-01-03,14,19,G1,1,3,6,0,0,19,12,2,2,0,4,15:15:00,PAOK,D,D,Larisa,1,Larisa_PAOK_2020
90,3,1,2021-01-03,5,18,G1,3,3,7,0,0,11,1,3,2,0,3,17:30:00,AEK,H,H,Olympiakos,0,Olympiakos_AEK_2020
91,6,1,2021-01-04,11,15,G1,1,4,5,0,0,18,3,7,2,0,2,15:15:00,Atromitos,H,H,Volos NFC,0,Volos NFC_Atromitos_2020
92,3,2,2021-01-04,7,16,G1,2,2,3,1,0,29,5,4,5,0,3,17:30:00,Aris,H,H,Lamia,0,Lamia_Aris_2020
93,2,0,2021-01-06,3,19,G1,0,4,8,1,0,18,3,3,5,1,6,13:00:00,Panathinaikos,A,A,Apollon,1,Apollon_Panathinaikos_2020
94,1,1,2021-01-06,2,18,G1,1,2,10,0,0,21,2,5,3,0,6,15:15:00,Panetolikos,H,H,AEK,0,AEK_Panetolikos_2020
