,AST,HTHG,Date,AS,AF,Div,FTHG,HY,HS,AR,HR,HF,AC,HC,AY,HTAG,HST,Time,AwayTeam,HTR,FTR,HomeTeam,FTAG,idGame
133,2,0,2021-01-30,4,18,G1,0,2,9,0,0,25,2,8,1,0,7,17:30:00,Lamia,D,D,Panathinaikos,0,Panathinaikos_Lamia_2020
134,4,0,2021-01-31,5,33,G1,0,0,6,0,0,18,6,3,3,1,3,13:00:00,AEK,A,A,OFI Crete,2,OFI Crete_AEK_2020
135,6,0,2021-01-31,10,20,G1,0,2,6,0,0,14,1,9,3,1,2,15:15:00,Atromitos,A,A,Giannina,1,Giannina_Atromitos_2020
136,0,1,2021-01-31,4,14,G1,5,2,9,0,0,21,5,4,2,0,7,15:15:00,Panetolikos,H,H,PAOK,0,PAOK_Panetolikos_2020
137,7,0,2021-01-31,12,18,G1,1,3,3,0,0,15,9,1,2,1,3,17:30:00,Olympiakos,A,A,Apollon,3,Apollon_Olympiakos_2020
138,5,1,2021-02-06,6,19,G1,2,2,9,0,0,15,6,6,2,1,5,17:30:00,Panathinaikos,D,A,Atromitos,3,Atromitos_Panathinaikos_2020
139,2,1,2021-02-07,5,12,G1,2,1,15,0,0,10,2,15,1,0,7,13:00:00,Apollon,H,D,PAOK,2,PAOK_Apollon_2020
140,2,2,2021-02-07,7,17,G1,3,3,16,0,0,15,1,7,2,0,7,15:15:00,OFI Crete,H,H,Olympiakos,0,Olympiakos_OFI Crete_2020
141,2,0,2021-02-07,7,16,G1,0,2,8,0,0,24,0,3,3,1,3,15:15:00,Asteras Tripolis,A,A,Volos NFC,1,Volos NFC_Asteras Tripolis_2020
142,4,0,2021-02-07,7,22,G1,0,3,4,0,0,25,3,4,2,1,3,17:30:00,Aris,A,A,AEK,2,AEK_Aris_2020
143,3,1,2021-02-08,5,19,G1,1,2,6,0,0,15,5,4,2,0,2,17:30:00,Giannina,H,A,Panetolikos,2,Panetolikos_Giannina_2020
144,2,0,2021-02-13,6,13,G1,0,0,7,0,0,16,4,11,1,0,2,15:15:00,Lamia,D,D,Asteras Tripolis,0,Asteras Tripolis_Lamia_2020
145,5,1,2021-02-13,13,15,G1,2,1,3,0,0,20,3,1,2,0,3,17:30:00,Atromitos,H,H,Apollon,1,Apollon_Atromitos_2020
