,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
88,9,0,Birmingham,Blackburn,E0,11,2,5,3,17,0,B Knight,3,2,H,0,0,D,22,3,0,22/10/2005,0,Blackburn_Birmingham_2005
89,8,0,Liverpool,Fulham,E0,6,6,3,3,14,0,M Atkinson,14,2,H,1,0,H,9,2,0,22/10/2005,0,Fulham_Liverpool_2005
90,8,1,Tottenham,Man United,E0,13,7,9,7,12,0,U Rennie,9,1,D,1,0,H,15,3,0,22/10/2005,2,Man United_Tottenham_2005
91,5,2,Charlton,Portsmouth,E0,15,7,6,6,15,0,H Webb,11,1,A,1,0,H,10,3,0,22/10/2005,2,Portsmouth_Charlton_2005
92,1,0,West Brom,Bolton,E0,19,1,12,10,16,0,M Dean,2,2,H,0,0,D,13,2,0,23/10/2005,2,Bolton_West Brom_2005
93,11,1,Chelsea,Everton,E0,4,12,4,3,14,0,M Clattenburg,24,1,D,1,0,H,14,2,0,23/10/2005,2,Everton_Chelsea_2005
94,3,2,Sunderland,Newcastle,E0,12,5,9,5,13,2,R Styles,10,3,H,2,0,D,12,2,0,23/10/2005,2,Newcastle_Sunderland_2005
95,7,1,Middlesbrough,West Ham,E0,15,9,8,4,9,0,S Bennett,19,2,H,0,0,D,11,2,0,23/10/2005,1,West Ham_Middlesbrough_2005
96,6,1,Everton,Birmingham,E0,18,6,8,8,15,1,R Styles,11,0,A,0,0,A,11,1,0,29/10/2005,0,Birmingham_Everton_2005
97,2,1,Bolton,Charlton,E0,7,7,4,4,13,0,M Clattenburg,11,0,A,0,0,D,11,0,0,29/10/2005,1,Charlton_Bolton_2005
98,2,2,Blackburn,Chelsea,E0,19,4,10,5,19,2,M Riley,6,4,H,2,0,D,12,5,0,29/10/2005,1,Chelsea_Blackburn_2005
99,5,0,West Ham,Liverpool,E0,17,2,9,10,13,0,U Rennie,4,2,H,1,0,H,15,0,0,29/10/2005,2,Liverpool_West Ham_2005
100,6,1,Man United,Middlesbrough,E0,7,8,4,2,22,0,A Wiley,13,4,H,3,0,H,14,4,0,29/10/2005,1,Middlesbrough_Man United_2005
101,2,4,Portsmouth,Sunderland,E0,5,5,2,11,9,0,M Halsey,5,1,A,1,0,H,11,1,0,29/10/2005,0,Sunderland_Portsmouth_2005
102,1,1,Arsenal,Tottenham,E0,11,7,3,6,13,0,S Bennett,10,1,D,1,0,H,18,2,0,29/10/2005,4,Tottenham_Arsenal_2005
103,3,0,Fulham,Wigan,E0,12,1,6,6,7,0,A Marriner,7,1,H,0,0,D,11,1,0,29/10/2005,1,Wigan_Fulham_2005
104,4,3,Newcastle,West Brom,E0,8,8,4,9,14,0,H Webb,11,0,A,0,0,D,9,1,0,30/10/2005,0,West Brom_Newcastle_2005
105,6,1,Aston Villa,Man City,E0,13,5,5,2,10,0,D Gallagher,11,3,H,2,0,H,17,1,0,31/10/2005,1,Man City_Aston Villa_2005
106,6,1,Sunderland,Arsenal,E0,12,1,9,4,13,0,A Wiley,1,3,H,2,0,H,11,1,0,05/11/2005,0,Arsenal_Sunderland_2005
107,5,2,Liverpool,Aston Villa,E0,6,6,2,3,11,0,S Bennett,10,0,A,0,0,D,16,2,0,05/11/2005,2,Aston Villa_Liverpool_2005
108,9,1,Charlton,Blackburn,E0,9,9,3,7,15,1,P Dowd,10,4,H,2,0,H,9,2,0,05/11/2005,0,Blackburn_Charlton_2005
109,2,1,Man City,Fulham,E0,9,2,5,4,16,1,R Styles,4,2,H,2,0,H,10,3,0,05/11/2005,1,Fulham_Man City_2005
110,2,0,Birmingham,Newcastle,E0,10,3,5,3,18,0,M Dean,9,1,H,0,0,D,20,2,0,05/11/2005,3,Newcastle_Birmingham_2005
111,8,2,Wigan,Portsmouth,E0,7,5,4,5,13,0,M Clattenburg,7,0,A,0,0,D,11,2,0,05/11/2005,1,Portsmouth_Wigan_2005
112,5,0,West Brom,West Ham,E0,10,6,6,8,12,0,P Walton,10,1,H,0,0,D,15,0,0,05/11/2005,2,West Ham_West Brom_2005
113,3,0,Middlesbrough,Everton,E0,12,9,8,9,16,0,M Riley,17,1,H,1,0,H,21,1,0,06/11/2005,2,Everton_Middlesbrough_2005
114,9,0,Chelsea,Man United,E0,10,11,5,5,14,0,G Poll,21,1,H,1,0,H,19,4,0,06/11/2005,3,Man United_Chelsea_2005
115,5,0,Tottenham,Bolton,E0,9,7,8,6,9,0,H Webb,9,1,H,1,0,H,13,1,0,07/11/2005,0,Bolton_Tottenham_2005
116,3,3,Man United,Charlton,E0,18,7,11,4,11,1,M Riley,13,1,A,0,0,A,13,2,0,19/11/2005,0,Charlton_Man United_2005
117,5,0,Newcastle,Chelsea,E0,12,2,4,3,13,0,M Halsey,3,3,H,0,0,D,12,1,0,19/11/2005,2,Chelsea_Newcastle_2005
118,6,0,Portsmouth,Liverpool,E0,15,5,11,7,8,0,P Walton,7,3,H,2,0,H,7,1,0,19/11/2005,1,Liverpool_Portsmouth_2005
119,4,0,Blackburn,Man City,E0,12,4,4,4,15,0,M Atkinson,5,0,D,0,0,D,7,4,0,19/11/2005,2,Man City_Blackburn_2005
120,5,3,Aston Villa,Sunderland,E0,8,11,6,6,13,0,C Foy,16,1,A,0,0,D,10,1,0,19/11/2005,2,Sunderland_Aston Villa_2005
121,8,0,Everton,West Brom,E0,11,6,8,4,9,0,D Gallagher,11,4,H,1,0,H,11,0,0,19/11/2005,0,West Brom_Everton_2005
