,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,6,0,Southampton,Aston Villa,E0,14,2,5,12,9,0,U Rennie,6,2,H,2,0,H,14,0,0,14/08/2004,0,Aston Villa_Southampton_2004
1,5,1,West Brom,Blackburn,E0,12,2,4,4,17,1,C Foy,4,1,D,0,0,A,15,0,0,14/08/2004,1,Blackburn_West Brom_2004
2,5,1,Charlton,Bolton,E0,21,5,11,9,12,0,P Dowd,9,4,H,2,0,H,10,1,0,14/08/2004,1,Bolton_Charlton_2004
3,4,1,Fulham,Man City,E0,12,2,5,9,12,0,M Messias,4,1,D,1,0,H,14,2,0,14/08/2004,0,Man City_Fulham_2004
4,7,2,Newcastle,Middlesbrough,E0,15,4,8,6,13,1,S Bennett,11,2,D,0,0,A,16,1,0,14/08/2004,3,Middlesbrough_Newcastle_2004
5,11,1,Crystal Palace,Norwich,E0,14,8,10,6,16,0,P Walton,14,1,D,1,0,H,14,1,0,14/08/2004,0,Norwich_Crystal Palace_2004
6,4,1,Birmingham,Portsmouth,E0,14,11,8,8,16,1,H Webb,16,1,D,1,0,D,13,4,0,14/08/2004,2,Portsmouth_Birmingham_2004
7,8,1,Liverpool,Tottenham,E0,14,8,7,3,11,1,D Gallagher,16,1,D,0,0,A,17,1,0,14/08/2004,3,Tottenham_Liverpool_2004
8,3,0,Man United,Chelsea,E0,8,3,5,2,8,0,G Poll,11,1,H,1,0,H,17,0,0,15/08/2004,0,Chelsea_Man United_2004
9,7,4,Arsenal,Everton,E0,9,14,5,0,19,2,M Riley,18,1,A,0,0,A,14,1,0,15/08/2004,2,Everton_Arsenal_2004
10,2,1,Chelsea,Birmingham,E0,9,3,3,8,16,0,B Knight,7,0,A,0,0,D,10,0,0,21/08/2004,0,Birmingham_Chelsea_2004
11,6,1,Portsmouth,Charlton,E0,18,6,14,5,11,0,A Wiley,10,2,H,1,0,H,9,1,0,21/08/2004,0,Charlton_Portsmouth_2004
12,6,3,Everton,Crystal Palace,E0,15,7,9,6,18,1,M Clattenburg,14,1,A,1,1,D,6,1,0,21/08/2004,1,Crystal Palace_Everton_2004
13,4,0,Bolton,Fulham,E0,23,4,12,8,13,0,R Styles,10,2,H,1,0,H,11,0,0,21/08/2004,0,Fulham_Bolton_2004
14,3,1,Man City,Liverpool,E0,15,4,10,8,17,1,G Poll,7,2,H,0,1,A,9,3,0,21/08/2004,1,Liverpool_Man City_2004
15,5,1,Norwich,Man United,E0,17,2,7,11,23,0,N Barry,7,2,H,1,0,H,8,1,0,21/08/2004,0,Man United_Norwich_2004
