,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,4,3,Leicester,Arsenal,E0,27,3,10,9,12,2,M Dean,6,4,H,2,0,D,9,1,0,11/08/2017,0,Arsenal_Leicester_2017
1,10,2,Man City,Brighton,E0,6,4,2,3,9,0,M Oliver,14,0,A,0,0,D,6,2,0,12/08/2017,0,Brighton_Man City_2017
2,5,3,Burnley,Chelsea,E0,19,5,6,8,11,3,C Pawson,10,2,A,0,0,A,16,3,2,12/08/2017,3,Chelsea_Burnley_2017
3,9,3,Huddersfield,Crystal Palace,E0,14,6,4,12,19,2,J Moss,8,0,A,0,0,A,7,3,0,12/08/2017,1,Crystal Palace_Huddersfield_2017
4,7,0,Stoke,Everton,E0,9,1,4,6,10,0,N Swarbrick,9,1,H,1,0,H,13,1,0,12/08/2017,1,Everton_Stoke_2017
5,0,0,Swansea,Southampton,E0,29,0,2,13,13,0,M Jones,4,0,D,0,0,D,10,1,0,12/08/2017,2,Southampton_Swansea_2017
6,3,3,Liverpool,Watford,E0,9,5,4,3,8,1,A Taylor,14,3,D,2,0,H,14,3,0,12/08/2017,0,Watford_Liverpool_2017
7,2,0,Bournemouth,West Brom,E0,16,2,6,8,3,0,R Madley,9,1,H,1,0,H,15,1,0,12/08/2017,3,West Brom_Bournemouth_2017
8,1,0,West Ham,Man United,E0,22,1,6,11,7,0,M Atkinson,9,4,H,1,0,H,19,2,0,13/08/2017,2,Man United_West Ham_2017
9,7,2,Tottenham,Newcastle,E0,6,6,3,5,10,0,A Marriner,18,0,A,0,0,D,6,2,1,13/08/2017,1,Newcastle_Tottenham_2017
10,5,2,Watford,Bournemouth,E0,6,7,2,8,14,0,R East,19,0,A,0,0,D,6,3,0,19/08/2017,1,Bournemouth_Watford_2017
11,5,1,West Brom,Burnley,E0,20,1,0,5,11,0,M Atkinson,8,0,A,0,1,D,11,0,0,19/08/2017,1,Burnley_West Brom_2017
12,2,0,Brighton,Leicester,E0,14,2,4,6,10,0,L Probert,5,2,H,1,0,H,8,0,0,19/08/2017,1,Leicester_Brighton_2017
13,2,0,Crystal Palace,Liverpool,E0,23,1,13,4,13,0,K Friend,4,1,H,0,0,D,12,3,0,19/08/2017,1,Liverpool_Crystal Palace_2017
14,2,2,West Ham,Southampton,E0,14,8,5,7,10,1,L Mason,16,3,H,2,1,H,18,1,0,19/08/2017,1,Southampton_West Ham_2017
15,9,0,Arsenal,Stoke,E0,11,6,4,2,11,0,A Marriner,18,1,H,0,0,D,6,0,0,19/08/2017,0,Stoke_Arsenal_2017
16,5,4,Man United,Swansea,E0,6,8,1,3,11,1,J Moss,17,0,A,0,0,A,12,1,0,19/08/2017,1,Swansea_Man United_2017
17,3,0,Newcastle,Huddersfield,E0,7,5,3,7,10,0,C Pawson,13,1,H,0,0,D,13,4,0,20/08/2017,3,Huddersfield_Newcastle_2017
18,3,2,Chelsea,Tottenham,E0,18,2,6,14,21,1,A Taylor,9,1,A,0,0,A,14,3,0,20/08/2017,3,Tottenham_Chelsea_2017
19,1,1,Everton,Man City,E0,19,2,6,7,9,1,R Madley,7,1,D,0,1,A,7,2,1,21/08/2017,1,Man City_Everton_2017
20,5,2,Man City,Bournemouth,E0,9,8,3,2,14,1,M Dean,19,1,A,1,1,D,13,4,0,26/08/2017,5,Bournemouth_Man City_2017
21,1,2,Swansea,Crystal Palace,E0,16,3,3,1,6,1,A Marriner,7,0,A,0,0,A,9,1,0,26/08/2017,4,Crystal Palace_Swansea_2017
22,4,0,Southampton,Huddersfield,E0,16,3,6,5,10,0,S Attwell,6,0,D,0,0,D,10,1,0,26/08/2017,0,Huddersfield_Southampton_2017
23,3,0,Leicester,Man United,E0,22,4,7,9,7,0,M Oliver,11,2,H,0,0,D,8,2,0,26/08/2017,1,Man United_Leicester_2017
24,5,0,West Ham,Newcastle,E0,16,3,8,7,11,0,N Swarbrick,8,3,H,1,0,H,17,3,0,26/08/2017,1,Newcastle_West Ham_2017
25,11,0,Brighton,Watford,E0,8,2,0,3,18,0,G Scott,16,0,D,0,0,D,7,1,1,26/08/2017,0,Watford_Brighton_2017
