,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,9,1,Everton,Arsenal,E0,11,7,5,6,15,0,M Halsey,13,2,H,1,1,H,8,3,1,16/08/2003,1,Arsenal_Everton_2003
1,4,0,Tottenham,Birmingham,E0,10,7,5,1,27,0,R Styles,15,1,H,1,0,H,20,5,0,16/08/2003,3,Birmingham_Tottenham_2003
2,2,1,Wolves,Blackburn,E0,25,5,13,6,14,0,J Winter,8,5,H,2,0,H,8,1,0,16/08/2003,1,Blackburn_Wolves_2003
3,6,2,Middlesbrough,Fulham,E0,17,5,9,7,16,1,G Poll,8,3,H,1,0,D,18,1,0,16/08/2003,1,Fulham_Middlesbrough_2003
4,7,2,Southampton,Leicester,E0,12,10,7,2,15,0,M Riley,13,2,D,2,0,H,27,1,0,16/08/2003,3,Leicester_Southampton_2003
5,4,0,Bolton,Man United,E0,13,5,6,8,8,0,P Durkin,15,4,H,1,0,H,12,4,0,16/08/2003,0,Man United_Bolton_2003
6,9,1,Aston Villa,Portsmouth,E0,4,5,3,7,22,0,G Barber,9,2,H,1,1,H,18,1,0,16/08/2003,2,Portsmouth_Aston Villa_2003
7,7,3,Man City,Charlton,E0,10,8,5,4,16,2,M Dean,14,0,A,0,0,A,12,1,1,17/08/2003,2,Charlton_Man City_2003
8,8,2,Newcastle,Leeds,E0,8,10,3,4,16,1,R Martin,19,2,D,1,0,D,19,2,0,17/08/2003,4,Leeds_Newcastle_2003
9,6,2,Chelsea,Liverpool,E0,12,6,7,8,12,1,S Bennett,10,1,A,0,0,A,13,1,0,17/08/2003,3,Liverpool_Chelsea_2003
10,2,2,Blackburn,Bolton,E0,16,5,10,9,15,0,A D'Urso,10,2,D,2,1,H,11,4,0,23/08/2003,2,Bolton_Blackburn_2003
11,2,1,Leicester,Chelsea,E0,17,1,7,7,18,1,R Styles,5,2,H,2,2,H,12,3,1,23/08/2003,0,Chelsea_Leicester_2003
12,10,1,Fulham,Everton,E0,10,15,8,4,14,0,N Barry,23,3,H,3,0,H,15,4,0,23/08/2003,2,Everton_Fulham_2003
