,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,1,1,Aston Villa,Arsenal,E0,19,3,11,18,19,0,G Poll,5,1,D,0,0,D,10,2,0,19/08/2006,1,Arsenal_Aston Villa_2006
1,3,0,Tottenham,Bolton,E0,8,6,6,6,22,0,P Dowd,9,2,H,2,0,H,19,1,0,19/08/2006,0,Bolton_Tottenham_2006
2,6,1,Watford,Everton,E0,6,8,2,0,13,0,P Walton,12,2,H,1,0,H,12,2,0,19/08/2006,2,Everton_Watford_2006
3,11,1,Wigan,Newcastle,E0,9,9,8,4,20,0,M Atkinson,14,2,H,1,0,H,17,2,0,19/08/2006,1,Newcastle_Wigan_2006
4,2,0,Blackburn,Portsmouth,E0,21,7,16,6,17,0,A Wiley,9,3,H,1,2,H,20,1,0,19/08/2006,2,Portsmouth_Blackburn_2006
5,2,2,Middlesbrough,Reading,E0,14,5,9,8,15,2,M Halsey,7,3,H,2,0,D,8,3,0,19/08/2006,1,Reading_Middlesbrough_2006
6,12,1,Liverpool,Sheffield United,E0,5,7,3,0,16,0,R Styles,12,1,D,0,0,D,10,2,0,19/08/2006,1,Sheffield United_Liverpool_2006
7,0,1,Charlton,West Ham,E0,16,2,5,6,14,1,H Webb,4,3,H,0,1,A,14,2,0,19/08/2006,2,West Ham_Charlton_2006
8,2,0,Man City,Chelsea,E0,10,2,4,5,15,0,S Bennett,5,3,H,2,1,H,7,3,0,20/08/2006,1,Chelsea_Man City_2006
9,2,1,Fulham,Man United,E0,15,8,7,5,20,1,A Marriner,12,5,H,4,0,H,14,1,0,20/08/2006,1,Man United_Fulham_2006
10,4,0,Sheffield United,Tottenham,E0,18,3,13,6,9,0,P Walton,6,2,H,2,0,H,5,1,0,22/08/2006,0,Tottenham_Sheffield United_2006
11,1,1,West Ham,Watford,E0,11,4,4,5,12,0,M Atkinson,8,1,D,0,0,D,12,0,0,22/08/2006,0,Watford_West Ham_2006
12,7,1,Reading,Aston Villa,E0,11,3,6,2,6,1,L Mason,5,2,H,1,1,D,9,1,0,23/08/2006,2,Aston Villa_Reading_2006
13,3,1,Everton,Blackburn,E0,10,4,5,5,20,0,U Rennie,10,1,D,0,0,D,22,3,0,23/08/2006,4,Blackburn_Everton_2006
14,11,3,Man United,Charlton,E0,8,11,2,4,11,0,C Foy,21,0,A,0,0,D,14,1,0,23/08/2006,1,Charlton_Man United_2006
15,6,1,Bolton,Fulham,E0,11,1,4,1,16,0,A Wiley,4,1,D,0,0,D,9,2,0,23/08/2006,0,Fulham_Bolton_2006
16,0,0,Portsmouth,Man City,E0,6,1,3,8,13,0,D Gallagher,3,0,D,0,0,D,15,1,0,23/08/2006,2,Man City_Portsmouth_2006
